Gene,Rank,Positive,Negative,Agnositc,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YLR025W,1538,0,1,0,55,999,3064,50,0.748320537,0.052182163,0.523809524,0.24587743,0.75412257
YGL054C,1539,0,1,0,55,1000,3063,50,0.748080614,0.052132701,0.523809524,0.246123554,0.753876446
YDR411C,1540,0,1,0,55,1001,3062,50,0.747840691,0.052083333,0.523809524,0.246369678,0.753630322
YMR025W,1541,0,1,0,55,1002,3061,50,0.747600768,0.052034059,0.523809524,0.246615801,0.753384199
YDR354W,1542,0,1,0,55,1003,3060,50,0.747360845,0.051984877,0.523809524,0.246861925,0.753138075
YNL214W,1543,0,1,0,55,1004,3059,50,0.747120921,0.051935788,0.523809524,0.247108048,0.752891952
YDR201W,1545,0,1,0,55,1005,3058,50,0.746880998,0.051886792,0.523809524,0.247354172,0.752645828
YJR049C,1546,0,1,0,55,1006,3057,50,0.746641075,0.051837889,0.523809524,0.247600295,0.752399705
YPL011C,1547,0,1,0,55,1007,3056,50,0.746401152,0.051789077,0.523809524,0.247846419,0.752153581
YCL050C,1550,0,1,0,55,1008,3055,50,0.746161228,0.051740357,0.523809524,0.248092542,0.751907458
YLR045C,1552,0,1,0,55,1009,3054,50,0.745921305,0.051691729,0.523809524,0.248338666,0.751661334
YMR047C,1553,0,1,0,55,1010,3053,50,0.745681382,0.051643192,0.523809524,0.24858479,0.75141521
YBR272C,1554,0,1,0,55,1011,3052,50,0.745441459,0.051594747,0.523809524,0.248830913,0.751169087
YAR002W,1556,0,1,0,55,1012,3051,50,0.745201536,0.051546392,0.523809524,0.249077037,0.750922963
YNL015W,1557,0,1,0,55,1013,3050,50,0.744961612,0.051498127,0.523809524,0.24932316,0.75067684
YOL133W,1558,0,1,0,55,1014,3049,50,0.744721689,0.051449953,0.523809524,0.249569284,0.750430716
YDR245W,1559,0,1,0,55,1015,3048,50,0.744481766,0.051401869,0.523809524,0.249815407,0.750184593
YOR299W,1561,0,1,0,55,1016,3047,50,0.744241843,0.051353875,0.523809524,0.250061531,0.749938469
YPL254W,1562,0,1,0,55,1017,3046,50,0.744001919,0.05130597,0.523809524,0.250307654,0.749692346
YJR117W,1563,0,1,0,55,1018,3045,50,0.743761996,0.051258155,0.523809524,0.250553778,0.749446222
YNL292W,1564,0,1,0,55,1019,3044,50,0.743522073,0.051210428,0.523809524,0.250799902,0.749200098
YBL006C,1565,0,1,0,55,1020,3043,50,0.74328215,0.051162791,0.523809524,0.251046025,0.748953975
YGR120C,1566,0,1,0,55,1021,3042,50,0.743042226,0.051115242,0.523809524,0.251292149,0.748707851
YNR006W,1567,0,1,0,55,1022,3041,50,0.742802303,0.051067781,0.523809524,0.251538272,0.748461728
YDR459C,1568,0,1,0,55,1023,3040,50,0.74256238,0.051020408,0.523809524,0.251784396,0.748215604
YDR228C,1571,0,1,0,55,1024,3039,50,0.742322457,0.050973123,0.523809524,0.252030519,0.747969481
YMR311C,1572,0,1,0,55,1025,3038,50,0.742082534,0.050925926,0.523809524,0.252276643,0.747723357
YLR362W,1573,0,1,0,55,1026,3037,50,0.74184261,0.050878816,0.523809524,0.252522766,0.747477234
YNR043W,1574,0,1,0,55,1027,3036,50,0.741602687,0.050831793,0.523809524,0.25276889,0.74723111
YOR080W,1575,0,1,0,55,1028,3035,50,0.741362764,0.050784857,0.523809524,0.253015014,0.746984986
YHR086W,1576,0,1,0,55,1029,3034,50,0.741122841,0.050738007,0.523809524,0.253261137,0.746738863
YGL093W,1577,0,1,0,55,1030,3033,50,0.740882917,0.050691244,0.523809524,0.253507261,0.746492739
YJR052W,1578,0,1,0,55,1031,3032,50,0.740642994,0.050644567,0.523809524,0.253753384,0.746246616
YHR027C,1580,0,1,0,55,1032,3031,50,0.740403071,0.050597976,0.523809524,0.253999508,0.746000492
YGR005C,1581,0,1,0,55,1033,3030,50,0.740163148,0.050551471,0.523809524,0.254245631,0.745754369
YBL036C,1582,0,1,0,55,1034,3029,50,0.739923225,0.050505051,0.523809524,0.254491755,0.745508245
YNL001W,1583,0,1,0,55,1035,3028,50,0.739683301,0.050458716,0.523809524,0.254737878,0.745262122
YHR175W,1584,0,1,0,55,1036,3027,50,0.739443378,0.050412466,0.523809524,0.254984002,0.745015998
YGL064C,1585,0,1,0,55,1037,3026,50,0.739203455,0.0503663,0.523809524,0.255230126,0.744769874
YBR256C,1586,0,1,0,55,1038,3025,50,0.738963532,0.05032022,0.523809524,0.255476249,0.744523751
YDL137W,1588,0,1,0,55,1039,3024,50,0.738723608,0.050274223,0.523809524,0.255722373,0.744277627
YLR055C,1589,0,1,0,55,1040,3023,50,0.738483685,0.050228311,0.523809524,0.255968496,0.744031504
YDL019C,1590,0,1,0,55,1041,3022,50,0.738243762,0.050182482,0.523809524,0.25621462,0.74378538
YIL162W,1591,0,1,0,55,1042,3021,50,0.738003839,0.050136737,0.523809524,0.256460743,0.743539257
YIR037W,1592,0,1,0,55,1043,3020,50,0.737763916,0.050091075,0.523809524,0.256706867,0.743293133
YOL038W,1593,0,1,0,55,1044,3019,50,0.737523992,0.050045496,0.523809524,0.25695299,0.74304701
YLR319C,1594,0,1,0,55,1045,3018,50,0.737284069,0.05,0.523809524,0.257199114,0.742800886
YLL004W,1596,0,1,0,55,1046,3017,50,0.737044146,0.049954587,0.523809524,0.257445238,0.742554762
YNL261W,1597,0,1,0,55,1047,3016,50,0.736804223,0.049909256,0.523809524,0.257691361,0.742308639
YBR082C,1598,0,1,0,55,1048,3015,50,0.736564299,0.049864007,0.523809524,0.257937485,0.742062515
YJL005W,1599,0,1,0,55,1049,3014,50,0.736324376,0.049818841,0.523809524,0.258183608,0.741816392
YDR188W,1600,0,1,0,55,1050,3013,50,0.736084453,0.049773756,0.523809524,0.258429732,0.741570268
YDR288W,1601,0,1,0,55,1051,3012,50,0.73584453,0.049728752,0.523809524,0.258675855,0.741324145
YMR235C,1602,0,1,0,55,1052,3011,50,0.735604607,0.04968383,0.523809524,0.258921979,0.741078021
YBR087W,1603,0,1,0,55,1053,3010,50,0.735364683,0.049638989,0.523809524,0.259168102,0.740831898
YJL208C,1604,0,1,0,55,1054,3009,50,0.73512476,0.049594229,0.523809524,0.259414226,0.740585774
YOR103C,1605,0,1,0,55,1055,3008,50,0.734884837,0.04954955,0.523809524,0.259660349,0.740339651
YGL092W,1606,0,1,0,55,1056,3007,50,0.734644914,0.04950495,0.523809524,0.259906473,0.740093527
YAR003W,1607,0,1,0,55,1057,3006,50,0.73440499,0.049460432,0.523809524,0.260152597,0.739847403
YDR255C,1608,0,1,0,55,1058,3005,50,0.734165067,0.049415993,0.523809524,0.26039872,0.73960128
YML070W,1609,0,1,0,55,1059,3004,50,0.733925144,0.049371634,0.523809524,0.260644844,0.739355156
YML098W,1610,0,1,0,55,1060,3003,50,0.733685221,0.049327354,0.523809524,0.260890967,0.739109033
YBR011C,1612,0,1,0,55,1061,3002,50,0.733445298,0.049283154,0.523809524,0.261137091,0.738862909
YOL111C,1613,0,1,0,55,1062,3001,50,0.733205374,0.049239033,0.523809524,0.261383214,0.738616786
YDR289C,1614,0,1,0,55,1063,3000,50,0.732965451,0.049194991,0.523809524,0.261629338,0.738370662
YGR260W,1616,0,1,0,55,1064,2999,50,0.732725528,0.049151028,0.523809524,0.261875461,0.738124539
YGR119C,1617,0,1,0,55,1065,2998,50,0.732485605,0.049107143,0.523809524,0.262121585,0.737878415
YJL204C,1618,0,1,0,55,1066,2997,50,0.732245681,0.049063336,0.523809524,0.262367709,0.737632291
YJL093C,1619,0,1,0,55,1067,2996,50,0.732005758,0.049019608,0.523809524,0.262613832,0.737386168
YKL157W,1620,0,1,0,55,1068,2995,50,0.731765835,0.048975957,0.523809524,0.262859956,0.737140044
YDL224C,1621,0,1,0,55,1069,2994,50,0.731525912,0.048932384,0.523809524,0.263106079,0.736893921
YLR102C,1622,0,1,0,55,1070,2993,50,0.731285988,0.048888889,0.523809524,0.263352203,0.736647797
YBR289W,1623,0,1,0,55,1071,2992,50,0.731046065,0.048845471,0.523809524,0.263598326,0.736401674
YDR531W,1624,0,1,0,55,1072,2991,50,0.730806142,0.04880213,0.523809524,0.26384445,0.73615555
YOR026W,1625,0,1,0,55,1073,2990,50,0.730566219,0.048758865,0.523809524,0.264090573,0.735909427
YIL038C,1626,0,1,0,55,1074,2989,50,0.730326296,0.048715678,0.523809524,0.264336697,0.735663303
YAL009W,1629,0,1,0,55,1075,2988,50,0.730086372,0.048672566,0.523809524,0.264582821,0.735417179
YDR062W,1630,0,1,0,55,1076,2987,50,0.729846449,0.048629531,0.523809524,0.264828944,0.735171056
YLL019C,1631,0,1,0,55,1077,2986,50,0.729606526,0.048586572,0.523809524,0.265075068,0.734924932
YNL325C,1633,0,1,0,55,1078,2985,50,0.729366603,0.048543689,0.523809524,0.265321191,0.734678809
YNL097C,1635,0,1,0,55,1079,2984,50,0.729126679,0.048500882,0.523809524,0.265567315,0.734432685
YPR028W,1637,0,1,0,55,1080,2983,50,0.728886756,0.04845815,0.523809524,0.265813438,0.734186562
YKL041W,1638,0,1,0,55,1081,2982,50,0.728646833,0.048415493,0.523809524,0.266059562,0.733940438
YOR323C,1639,0,1,0,55,1082,2981,50,0.72840691,0.048372911,0.523809524,0.266305685,0.733694315
YPR055W,1641,0,1,0,55,1083,2980,50,0.728166987,0.048330404,0.523809524,0.266551809,0.733448191
YDL126C,1642,0,1,0,55,1084,2979,50,0.727927063,0.048287972,0.523809524,0.266797933,0.733202067
YDR302W,1643,0,1,0,55,1085,2978,50,0.72768714,0.048245614,0.523809524,0.267044056,0.732955944
YCR086W,1644,0,1,0,55,1086,2977,50,0.727447217,0.04820333,0.523809524,0.26729018,0.73270982
YJL187C,1645,0,1,0,55,1087,2976,50,0.727207294,0.048161121,0.523809524,0.267536303,0.732463697
YMR010W,1646,0,1,0,55,1088,2975,50,0.72696737,0.048118985,0.523809524,0.267782427,0.732217573
YLR183C,1647,0,1,0,55,1089,2974,50,0.726727447,0.048076923,0.523809524,0.26802855,0.73197145
YOR374W,1648,0,1,0,55,1090,2973,50,0.726487524,0.048034934,0.523809524,0.268274674,0.731725326
YFR003C,1649,0,1,0,55,1091,2972,50,0.726247601,0.047993019,0.523809524,0.268520797,0.731479203
YKR048C,1650,0,1,0,55,1092,2971,50,0.726007678,0.047951177,0.523809524,0.268766921,0.731233079
YPL152W,1651,0,1,0,55,1093,2970,50,0.725767754,0.047909408,0.523809524,0.269013045,0.730986955
YBL098W,1653,0,1,0,55,1094,2969,50,0.725527831,0.047867711,0.523809524,0.269259168,0.730740832
YML111W,1654,0,1,0,55,1095,2968,50,0.725287908,0.047826087,0.523809524,0.269505292,0.730494708
YPL023C,1655,0,1,0,55,1096,2967,50,0.725047985,0.047784535,0.523809524,0.269751415,0.730248585
YDR335W,1656,0,1,0,55,1097,2966,50,0.724808061,0.047743056,0.523809524,0.269997539,0.730002461
YER177W,1660,0,1,0,55,1098,2965,50,0.724568138,0.047701648,0.523809524,0.270243662,0.729756338
YKL048C,1661,0,1,0,55,1099,2964,50,0.724328215,0.047660312,0.523809524,0.270489786,0.729510214
YGL232W,1662,0,1,0,55,1100,2963,50,0.724088292,0.047619048,0.523809524,0.270735909,0.729264091
YDR353W,1663,0,1,0,55,1101,2962,50,0.723848369,0.047577855,0.523809524,0.270982033,0.729017967
YGL124C,1665,0,1,0,55,1102,2961,50,0.723608445,0.047536733,0.523809524,0.271228157,0.728771843
YHR178W,1666,0,1,0,55,1103,2960,50,0.723368522,0.047495682,0.523809524,0.27147428,0.72852572
YLR447C,1667,0,1,0,55,1104,2959,50,0.723128599,0.047454702,0.523809524,0.271720404,0.728279596
YFR044C,1668,0,1,0,55,1105,2958,50,0.722888676,0.047413793,0.523809524,0.271966527,0.728033473
YNL274C,1669,0,1,0,55,1106,2957,50,0.722648752,0.047372954,0.523809524,0.272212651,0.727787349
YJL030W,1670,0,1,0,55,1107,2956,50,0.722408829,0.047332186,0.523809524,0.272458774,0.727541226
YLR146C,1671,0,1,0,55,1108,2955,50,0.722168906,0.047291488,0.523809524,0.272704898,0.727295102
YIR002C,1672,0,1,0,55,1109,2954,50,0.721928983,0.047250859,0.523809524,0.272951021,0.727048979
YML036W,1673,0,1,0,55,1110,2953,50,0.72168906,0.0472103,0.523809524,0.273197145,0.726802855
YML104C,1676,1,0,0,56,1110,2953,49,0.721928983,0.048027444,0.533333333,0.273197145,0.726802855
YDL006W,1677,1,0,0,57,1110,2953,48,0.722168906,0.048843188,0.542857143,0.273197145,0.726802855
YJL137C,1678,0,1,0,57,1111,2952,48,0.721928983,0.04880137,0.542857143,0.273443269,0.726556731
YCR067C,1679,0,1,0,57,1112,2951,48,0.72168906,0.048759624,0.542857143,0.273689392,0.726310608
YDR057W,1680,0,1,0,57,1113,2950,48,0.721449136,0.048717949,0.542857143,0.273935516,0.726064484
YKL073W,1681,0,1,0,57,1114,2949,48,0.721209213,0.048676345,0.542857143,0.274181639,0.725818361
YJR130C,1682,0,1,0,57,1115,2948,48,0.72096929,0.048634812,0.542857143,0.274427763,0.725572237
YDR329C,1685,0,1,0,57,1116,2947,48,0.720729367,0.04859335,0.542857143,0.274673886,0.725326114
YOL072W,1686,0,1,0,57,1117,2946,48,0.720489443,0.048551959,0.542857143,0.27492001,0.72507999
YML012W,1687,0,1,0,57,1118,2945,48,0.72024952,0.048510638,0.542857143,0.275166133,0.724833867
YGL237C,1688,0,1,0,57,1119,2944,48,0.720009597,0.048469388,0.542857143,0.275412257,0.724587743
YML059C,1690,0,1,0,57,1120,2943,48,0.719769674,0.048428207,0.542857143,0.275658381,0.724341619
YOR172W,1692,0,1,0,57,1121,2942,48,0.71952975,0.048387097,0.542857143,0.275904504,0.724095496
YFR047C,1693,0,1,0,57,1122,2941,48,0.719289827,0.048346056,0.542857143,0.276150628,0.723849372
YGL105W,1694,0,1,0,57,1123,2940,48,0.719049904,0.048305085,0.542857143,0.276396751,0.723603249
YNR051C,1695,0,1,0,57,1124,2939,48,0.718809981,0.048264183,0.542857143,0.276642875,0.723357125
YDR287W,1696,0,1,0,57,1125,2938,48,0.718570058,0.04822335,0.542857143,0.276888998,0.723111002
YPR088C,1697,0,1,0,57,1126,2937,48,0.718330134,0.048182587,0.542857143,0.277135122,0.722864878
YLR442C,1698,0,1,0,57,1127,2936,48,0.718090211,0.048141892,0.542857143,0.277381245,0.722618755
YER118C,1699,0,1,0,57,1128,2935,48,0.717850288,0.048101266,0.542857143,0.277627369,0.722372631
YBR095C,1700,0,1,0,57,1129,2934,48,0.717610365,0.048060708,0.542857143,0.277873492,0.722126508
YMR263W,1701,0,1,0,57,1130,2933,48,0.717370441,0.048020219,0.542857143,0.278119616,0.721880384
YPL049C,1702,0,1,0,57,1131,2932,48,0.717130518,0.047979798,0.542857143,0.27836574,0.72163426
YMR100W,1703,0,1,0,57,1132,2931,48,0.716890595,0.047939445,0.542857143,0.278611863,0.721388137
YCL064C,1704,0,1,0,57,1133,2930,48,0.716650672,0.04789916,0.542857143,0.278857987,0.721142013
YLR258W,1705,0,1,0,57,1134,2929,48,0.716410749,0.047858942,0.542857143,0.27910411,0.72089589
YNL225C,1707,0,1,0,57,1135,2928,48,0.716170825,0.047818792,0.542857143,0.279350234,0.720649766
YJL097W,1709,0,1,0,57,1136,2927,48,0.715930902,0.047778709,0.542857143,0.279596357,0.720403643
YNL291C,1710,0,1,0,57,1137,2926,48,0.715690979,0.047738693,0.542857143,0.279842481,0.720157519
YIL049W,1711,0,1,0,57,1138,2925,48,0.715451056,0.047698745,0.542857143,0.280088604,0.719911396
YER171W,1712,0,1,0,57,1139,2924,48,0.715211132,0.047658863,0.542857143,0.280334728,0.719665272
YJR050W,1714,0,1,0,57,1140,2923,48,0.714971209,0.047619048,0.542857143,0.280580852,0.719419148
YJR060W,1717,0,1,0,57,1141,2922,48,0.714731286,0.047579299,0.542857143,0.280826975,0.719173025
YMR161W,1719,0,1,0,57,1142,2921,48,0.714491363,0.047539616,0.542857143,0.281073099,0.718926901
YAL060W,1720,0,1,0,57,1143,2920,48,0.71425144,0.0475,0.542857143,0.281319222,0.718680778
YER112W,1721,0,1,0,57,1144,2919,48,0.714011516,0.04746045,0.542857143,0.281565346,0.718434654
YGL203C,1722,0,1,0,57,1145,2918,48,0.713771593,0.047420965,0.542857143,0.281811469,0.718188531
YLR345W,1723,0,1,0,57,1146,2917,48,0.71353167,0.047381546,0.542857143,0.282057593,0.717942407
YGL067W,1724,0,1,0,57,1147,2916,48,0.713291747,0.047342193,0.542857143,0.282303716,0.717696284
YGR047C,1725,0,1,0,57,1148,2915,48,0.713051823,0.047302905,0.542857143,0.28254984,0.71745016
YDR362C,1726,0,1,0,57,1149,2914,48,0.7128119,0.047263682,0.542857143,0.282795964,0.717204036
YFR053C,1727,0,1,0,57,1150,2913,48,0.712571977,0.047224524,0.542857143,0.283042087,0.716957913
YGL153W,1728,0,1,0,57,1151,2912,48,0.712332054,0.04718543,0.542857143,0.283288211,0.716711789
YFL016C,1730,0,1,0,57,1152,2911,48,0.712092131,0.047146402,0.542857143,0.283534334,0.716465666
YGL058W,1731,0,1,0,57,1153,2910,48,0.711852207,0.047107438,0.542857143,0.283780458,0.716219542
YPL213W,1732,0,1,0,57,1154,2909,48,0.711612284,0.047068538,0.542857143,0.284026581,0.715973419
YHL020C,1733,0,1,0,57,1155,2908,48,0.711372361,0.047029703,0.542857143,0.284272705,0.715727295
YDL235C,1734,0,1,0,57,1156,2907,48,0.711132438,0.046990932,0.542857143,0.284518828,0.715481172
YJR136C,1735,0,1,0,57,1157,2906,48,0.710892514,0.046952224,0.542857143,0.284764952,0.715235048
YOL116W,1736,0,1,0,57,1158,2905,48,0.710652591,0.04691358,0.542857143,0.285011076,0.714988924
YDL116W,1737,0,1,0,57,1159,2904,48,0.710412668,0.046875,0.542857143,0.285257199,0.714742801
YBR060C,1739,0,1,0,57,1160,2903,48,0.710172745,0.046836483,0.542857143,0.285503323,0.714496677
YIL063C,1740,0,1,0,57,1161,2902,48,0.709932821,0.04679803,0.542857143,0.285749446,0.714250554
YAL033W,1741,0,1,0,57,1162,2901,48,0.709692898,0.046759639,0.542857143,0.28599557,0.71400443
YFL044C,1742,0,1,0,57,1163,2900,48,0.709452975,0.046721311,0.542857143,0.286241693,0.713758307
YOR179C,1743,0,1,0,57,1164,2899,48,0.709213052,0.046683047,0.542857143,0.286487817,0.713512183
YMR226C,1744,0,1,0,57,1165,2898,48,0.708973129,0.046644845,0.542857143,0.28673394,0.71326606
YIL048W,1746,0,1,0,57,1166,2897,48,0.708733205,0.046606705,0.542857143,0.286980064,0.713019936
YOR076C,1747,0,1,0,57,1167,2896,48,0.708493282,0.046568627,0.542857143,0.287226188,0.712773812
YGL244W,1748,0,1,0,57,1168,2895,48,0.708253359,0.046530612,0.542857143,0.287472311,0.712527689
YNL127W,1749,0,1,0,57,1169,2894,48,0.708013436,0.046492659,0.542857143,0.287718435,0.712281565
YNL206C,1750,0,1,0,57,1170,2893,48,0.707773512,0.046454768,0.542857143,0.287964558,0.712035442
YGR099W,1751,0,1,0,57,1171,2892,48,0.707533589,0.046416938,0.542857143,0.288210682,0.711789318
YHR152W,1752,0,1,0,57,1172,2891,48,0.707293666,0.04637917,0.542857143,0.288456805,0.711543195
YKR062W,1753,0,1,0,57,1173,2890,48,0.707053743,0.046341463,0.542857143,0.288702929,0.711297071
YPL204W,1754,0,1,0,57,1174,2889,48,0.70681382,0.046303818,0.542857143,0.288949052,0.711050948
YML049C,1758,0,1,0,57,1175,2888,48,0.706573896,0.046266234,0.542857143,0.289195176,0.710804824
YLR195C,1759,0,1,0,57,1176,2887,48,0.706333973,0.04622871,0.542857143,0.2894413,0.7105587
YKL173W,1760,0,1,0,57,1177,2886,48,0.70609405,0.046191248,0.542857143,0.289687423,0.710312577
YGR262C,1762,0,1,0,57,1178,2885,48,0.705854127,0.046153846,0.542857143,0.289933547,0.710066453
YGL127C,1763,0,1,0,57,1179,2884,48,0.705614203,0.046116505,0.542857143,0.29017967,0.70982033
YDR202C,1765,0,1,0,57,1180,2883,48,0.70537428,0.046079224,0.542857143,0.290425794,0.709574206
YIL077C,1767,0,1,0,57,1181,2882,48,0.705134357,0.046042003,0.542857143,0.290671917,0.709328083
YER030W,1768,0,1,0,57,1182,2881,48,0.704894434,0.046004843,0.542857143,0.290918041,0.709081959
YLR266C,1769,0,1,0,57,1183,2880,48,0.704654511,0.045967742,0.542857143,0.291164164,0.708835836
YPL188W,1770,0,1,0,57,1184,2879,48,0.704414587,0.045930701,0.542857143,0.291410288,0.708589712
YHR114W,1772,0,1,0,57,1185,2878,48,0.704174664,0.04589372,0.542857143,0.291656412,0.708343588
YLR299W,1773,0,1,0,57,1186,2877,48,0.703934741,0.045856798,0.542857143,0.291902535,0.708097465
YNL107W,1774,0,1,0,57,1187,2876,48,0.703694818,0.045819936,0.542857143,0.292148659,0.707851341
YDR219C,1775,1,0,0,58,1187,2876,47,0.703934741,0.046586345,0.552380952,0.292148659,0.707851341
YNL016W,1777,0,1,0,58,1188,2875,47,0.703694818,0.046548957,0.552380952,0.292394782,0.707605218
YOR307C,1778,0,1,0,58,1189,2874,47,0.703454894,0.046511628,0.552380952,0.292640906,0.707359094
YLR016C,1779,0,1,0,58,1190,2873,47,0.703214971,0.046474359,0.552380952,0.292887029,0.707112971
YJR139C,1781,0,1,0,58,1191,2872,47,0.702975048,0.04643715,0.552380952,0.293133153,0.706866847
YMR059W,1783,0,0,1,58,1191,2872,47,0.702975048,0.04643715,0.552380952,0.293133153,0.706866847
YFL001W,1784,0,1,0,58,1192,2871,47,0.702735125,0.0464,0.552380952,0.293379276,0.706620724
YML005W,1786,0,1,0,58,1193,2870,47,0.702495202,0.04636291,0.552380952,0.2936254,0.7063746
YCR082W,1787,0,1,0,58,1194,2869,47,0.702255278,0.046325879,0.552380952,0.293871524,0.706128476
YJL201W,1788,0,1,0,58,1195,2868,47,0.702015355,0.046288907,0.552380952,0.294117647,0.705882353
YPR034W,1791,0,1,0,58,1196,2867,47,0.701775432,0.046251994,0.552380952,0.294363771,0.705636229
YKL032C,1792,0,1,0,58,1197,2866,47,0.701535509,0.046215139,0.552380952,0.294609894,0.705390106
YLR128W,1793,0,1,0,58,1198,2865,47,0.701295585,0.046178344,0.552380952,0.294856018,0.705143982
YHL030W,1795,0,1,0,58,1199,2864,47,0.701055662,0.046141607,0.552380952,0.295102141,0.704897859
YLR006C,1796,0,1,0,58,1200,2863,47,0.700815739,0.046104928,0.552380952,0.295348265,0.704651735
YMR033W,1797,0,1,0,58,1201,2862,47,0.700575816,0.046068308,0.552380952,0.295594388,0.704405612
YDR503C,1799,0,1,0,58,1202,2861,47,0.700335893,0.046031746,0.552380952,0.295840512,0.704159488
YML058W,1800,1,0,0,59,1202,2861,46,0.700575816,0.046788263,0.561904762,0.295840512,0.704159488
YBR179C,1801,1,0,0,60,1202,2861,45,0.700815739,0.047543582,0.571428571,0.295840512,0.704159488
YEL036C,1802,0,1,0,60,1203,2860,45,0.700575816,0.047505938,0.571428571,0.296086635,0.703913365
YNL123W,1804,0,1,0,60,1204,2859,45,0.700335893,0.047468354,0.571428571,0.296332759,0.703667241
YDL092W,1805,0,1,0,60,1205,2858,45,0.700095969,0.04743083,0.571428571,0.296578883,0.703421117
YKL119C,1806,0,1,0,60,1206,2857,45,0.699856046,0.047393365,0.571428571,0.296825006,0.703174994
YJR103W,1808,0,1,0,60,1207,2856,45,0.699616123,0.047355959,0.571428571,0.29707113,0.70292887
YBR281C,1809,0,1,0,60,1208,2855,45,0.6993762,0.047318612,0.571428571,0.297317253,0.702682747
YOL004W,1810,0,1,0,60,1209,2854,45,0.699136276,0.047281324,0.571428571,0.297563377,0.702436623
YOR144C,1811,0,1,0,60,1210,2853,45,0.698896353,0.047244094,0.571428571,0.2978095,0.7021905
YOR046C,1812,0,1,0,60,1211,2852,45,0.69865643,0.047206924,0.571428571,0.298055624,0.701944376
YDR212W,1813,0,1,0,60,1212,2851,45,0.698416507,0.047169811,0.571428571,0.298301747,0.701698253
YDR226W,1814,0,1,0,60,1213,2850,45,0.698176583,0.047132757,0.571428571,0.298547871,0.701452129
YLR005W,1815,0,1,0,60,1214,2849,45,0.69793666,0.047095761,0.571428571,0.298793995,0.701206005
YDL200C,1816,0,1,0,60,1215,2848,45,0.697696737,0.047058824,0.571428571,0.299040118,0.700959882
YPL024W,1817,0,1,0,60,1216,2847,45,0.697456814,0.047021944,0.571428571,0.299286242,0.700713758
YPR138C,1818,0,1,0,60,1217,2846,45,0.697216891,0.046985121,0.571428571,0.299532365,0.700467635
YDR318W,1820,0,1,0,60,1218,2845,45,0.696976967,0.046948357,0.571428571,0.299778489,0.700221511
YPL015C,1821,0,1,0,60,1219,2844,45,0.696737044,0.04691165,0.571428571,0.300024612,0.699975388
YOR327C,1822,0,1,0,60,1220,2843,45,0.696497121,0.046875,0.571428571,0.300270736,0.699729264
YJR019C,1823,0,1,0,60,1221,2842,45,0.696257198,0.046838407,0.571428571,0.300516859,0.699483141
YBR049C,1824,0,1,0,60,1222,2841,45,0.696017274,0.046801872,0.571428571,0.300762983,0.699237017
YNL272C,1825,0,1,0,60,1223,2840,45,0.695777351,0.046765394,0.571428571,0.301009107,0.698990893
YPL195W,1826,0,1,0,60,1224,2839,45,0.695537428,0.046728972,0.571428571,0.30125523,0.69874477
YOR099W,1827,0,1,0,60,1225,2838,45,0.695297505,0.046692607,0.571428571,0.301501354,0.698498646
YKR086W,1828,0,1,0,60,1226,2837,45,0.695057582,0.046656299,0.571428571,0.301747477,0.698252523
YML085C,1830,0,1,0,60,1227,2836,45,0.694817658,0.046620047,0.571428571,0.301993601,0.698006399
YLR094C,1831,0,1,0,60,1228,2835,45,0.694577735,0.046583851,0.571428571,0.302239724,0.697760276
YNL262W,1833,0,1,0,60,1229,2834,45,0.694337812,0.046547711,0.571428571,0.302485848,0.697514152
YBR149W,1834,0,1,0,60,1230,2833,45,0.694097889,0.046511628,0.571428571,0.302731971,0.697268029
YGR230W,1835,0,1,0,60,1231,2832,45,0.693857965,0.0464756,0.571428571,0.302978095,0.697021905
YJR064W,1836,0,1,0,60,1232,2831,45,0.693618042,0.046439628,0.571428571,0.303224219,0.696775781
YLR347C,1837,0,1,0,60,1233,2830,45,0.693378119,0.046403712,0.571428571,0.303470342,0.696529658
YNL290W,1838,0,1,0,60,1234,2829,45,0.693138196,0.046367852,0.571428571,0.303716466,0.696283534
YDL084W,1840,0,1,0,60,1235,2828,45,0.692898273,0.046332046,0.571428571,0.303962589,0.696037411
YOR230W,1841,0,1,0,60,1236,2827,45,0.692658349,0.046296296,0.571428571,0.304208713,0.695791287
YLR357W,1842,0,1,0,60,1237,2826,45,0.692418426,0.046260601,0.571428571,0.304454836,0.695545164
YGL245W,1843,0,1,0,60,1238,2825,45,0.692178503,0.046224961,0.571428571,0.30470096,0.69529904
YER146W,1844,0,1,0,60,1239,2824,45,0.69193858,0.046189376,0.571428571,0.304947083,0.695052917
YOR347C,1845,0,1,0,60,1240,2823,45,0.691698656,0.046153846,0.571428571,0.305193207,0.694806793
YMR276W,1846,0,1,0,60,1241,2822,45,0.691458733,0.04611837,0.571428571,0.305439331,0.694560669
YGL257C,1847,0,1,0,60,1242,2821,45,0.69121881,0.046082949,0.571428571,0.305685454,0.694314546
YEL058W,1848,0,1,0,60,1243,2820,45,0.690978887,0.046047583,0.571428571,0.305931578,0.694068422
YOL020W,1850,0,1,0,60,1244,2819,45,0.690738964,0.04601227,0.571428571,0.306177701,0.693822299
YDL106C,1851,0,1,0,60,1245,2818,45,0.69049904,0.045977011,0.571428571,0.306423825,0.693576175
