YORF	NAME	GWEIGHT	1-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-5-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-4-aCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-6-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-1-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-2-bCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-3-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain
YKR073C	YKR073C	1	-0.0991	-0.1187	-0.4109	-0.1773	-0.1137	-0.3521	-0.2643	0.0284	0.0422	0.1457	-0.0079	-0.0949	0	-0.0702	-0.427	-0.3966	-0.021	-0.2005	0	0	0	-0.0771	-0.4083	-0.1808
YKR078W	YKR078W	1	0.3124	-0.0074	-0.1238	0.1062	0.0107	0.0359	0.1616	0.133	0.035	0.4831	0.1425	0.2402	0.0371	0.097	-0.0672	-0.0301	0.044	-0.1052	0.4434	0.0494	-0.1238	0.087	0.2407	-0.0845
YPL053C	YPL053C	1	0.0229	0.0293	-0.3342	-0.2222	-0.2582	-0.1252	0.2237	0.3027	-0.09	-0.189	0.1788	0.4673	-0.0819	-0.1634	-0.0093	-0.1665	0.0219	-0.2193	-0.2945	-0.1701	0.0032	-0.6082	-0.1677	-0.0514
YJL066C	YJL066C	1	-0.0938	-0.1766	0.1746	0.3217	-0.3664	-0.1641	-0.697	0.2989	0.2029	0.0193	0.1197	0.1897	-0.0615	0.2213	0.2623	-0.5514	0.1183	0.0644	-0.2818	-0.1754	-0.1276	-0.0016	-0.4682	-0.0409
YMR244C-A	YMR244C-A	1	-0.2744	0.0689	0.0868	0.1905	-0.2661	-0.176	-0.227	0.1236	0.1795	-0.3147	-0.0394	0.3323	-0.1185	0.6699	0.3017	-0.6571	0.0301	-0.1899	-0.3287	-0.2658	-0.1905	-0.1683	-0.345	-0.0724
YMR054W	YMR054W	1	-0.4344	-0.3612	-0.3427	-0.1094	-0.4716	-0.2557	-0.2264	-0.1175	-0.1983	-0.2656	-0.0574	0.2297	0.0056	0.1197	0.0445	-0.084	0.0951	0.0195	-0.2924	0.0444	0.061	-0.0601	0.0052	-0.0514
YCR032W	YCR032W	1	0.6857	0.5381	0.8066	0.9748	0.7551	0.802	2.1624	1.1247	0.9665	1.231	0.8448	-0.272	0.1867	0.3167	0.4533	0.9752	1.5649	0.2994	0.1132	0.8834	-0.4847	0.8639	2.0256	1.3476
YOR126C	YOR126C	1	0.1231	0.2466	-0.1337	-0.1773	-0.0153	0	0.0174	-0.0557	0.0335	-0.0624	-0.2038	-0.1448	0.4086	-0.4103	-0.2449	-0.1336	0.1224	-0.3021	0	0	0	-0.0871	0	0
YDR284C	YDR284C	1	-0.1346	0.0232	0.0924	-0.2714	-0.0789	0.1834	-0.3348	-0.4578	-0.3758	-0.4903	-0.4306	-0.2459	0.1018	-0.2785	0.2305	-0.5346	-0.1402	-0.0468	-0.2396	-0.3206	0.2776	-0.466	-0.092	0.1048
YJR005W	YJR005W	1	0.0888	0.0922	-0.0302	0.2227	-0.2439	-0.0171	-0.0135	0.3827	0.1376	0.2358	0.0086	-0.076	0.1224	0.2828	0.0943	0.9783	0.1963	-0.0336	0.039	0.0805	-0.2264	0.142	0.0317	0.0437
YNL152W	YNL152W	1	-0.0809	-0.0476	-0.0281	-0.0204	-0.0872	-0.0623	-0.0184	0.0751	-0.0121	0.0623	-0.0073	-0.099	-0.0073	0.0655	-0.0229	0.2745	-0.0219	-0.131	0.1641	0.0214	-0.2037	0.0502	-0.1567	0.0357
YHR211W	YHR211W	1	0.4281	-0.5408	0.7985	-0.0447	0.8175	-0.0857	-1.507	0	0.2987	-0.154	0	0	0.3228	0.4448	0.3625	0.5022	-0.5396	0.401	0.6382	0.1256	0.7485	0.7379	-0.2166	-0.112
YNL211C	YNL211C	1	0.0536	-0.1213	-0.2466	-0.3351	-0.0652	-0.1275	0.0049	-0.1833	-0.0403	-0.2795	-0.112	0.0556	-0.0636	-0.2241	-0.3227	-0.5656	-0.1426	-0.3473	0.0603	-0.0761	-0.2234	0.1447	-0.07	0
YKL162C	YKL162C	1	0.3028	0.6214	0.1909	0.6043	-0.025	0.3449	0.0094	0.1521	0.17	0.472	0.1703	0.4915	0.7202	-0.1858	0.8657	0.4969	0.3799	0.4531	1.039	0.0798	0.3696	-0.0248	0.3149	0.1938
YOR057W	YOR057W	1	0.2575	0.1929	0.0289	0.1449	0.304	0.3816	0.317	-0.2449	-0.1317	-0.0192	-0.2158	-0.1584	-0.0464	-0.5222	0.0534	-0.1188	0.2442	-0.1038	0.2789	0.1865	-0.0517	0.3854	0.0371	-0.0333
YLR126C	YLR126C	1	-0.0047	-0.3218	-0.1892	-0.0916	-0.053	0.0111	0.3363	-0.155	0.06	-0.0859	0.0885	-0.1897	0.1196	0.6733	-0.1312	-1.025	0.111	-0.0351	-0.3412	-0.0752	-0.2559	0.1552	0.326	0.0809
YJR091C	YJR091C	1	-0.1308	0.1593	-0.1043	0.3503	0.1736	0.1677	-0.268	0.0961	0.0907	0.1282	-0.1017	-1.2581	0.1037	-0.0046	0.2152	0.1025	0.2852	0.363	-0.1664	0.0742	0.2059	-0.0159	0.4785	0.0389
YFR032C-A	YFR032C-A	1	-0.0334	-0.1062	-0.4251	-0.3081	-0.2454	-0.3038	-0.5198	-0.6674	-0.4243	-0.2315	-0.3795	-0.6746	-0.7112	-0.189	-0.8405	-1.2293	-0.7712	-0.7811	-0.5868	-0.494	-0.7328	-0.5435	0.0055	-0.811
YDR473C	YDR473C	1	0.3764	0.1353	0.1856	0.1605	0.2046	-0.1742	0.0884	0.2233	-0.0128	0.0988	0.1584	0.2338	-0.0421	0.1489	-0.096	0.4711	0.0451	-0.1917	0.4391	0.2442	0.1075	-0.0719	0.1011	-0.0347
YOR346W	YOR346W	1	0.5552	0.4125	0.0215	0.0577	0.3508	0.0186	0.0294	0.088	0.6227	0.086	0.4817	0.1382	0.3509	1.0315	0.6432	0.1747	0.784	-0.3347	0.0687	0.4337	0.8738	0.4595	0.4044	-0.2129
YPL106C	YPL106C	1	0.3081	0.12	-0.2136	0.1146	0.5306	-0.1986	-0.0141	0.1055	-0.0932	0.1362	0.1255	-0.3171	-0.1329	-0.0855	-0.5272	0.3638	-0.3728	-0.0924	0.4003	0.4757	-0.1905	0.5225	0.4665	-0.748
YDR239C	YDR239C	1	0.1855	0.1331	0.0611	-0.001	-0.1497	-0.1197	-0.0601	0.0188	-0.0671	-0.0624	0.0289	-0.1458	0.0185	-0.2962	-0.2959	0.6714	-0.1437	-0.0587	0.594	0.1448	-0.0606	-0.0664	0.0875	-0.1783
YGL087C	YGL087C	1	-0.1744	-0.2801	0.205	-0.2146	-0.1151	0.2857	-0.1908	-0.1137	-0.0903	-0.4275	-0.0461	-0.1784	0.0144	-0.2917	0.1928	-0.5978	0.0728	-0.036	-0.1537	-0.0593	-0.0664	-0.0191	-0.2721	0.2083
YPR035W	YPR035W	1	-0.1472	0.4322	-0.2663	-0.3989	0.1622	-0.0954	0.0824	0.0582	0.0449	-0.4656	-0.0532	-0.6346	0.3749	-0.6169	-0.0869	0.5703	0.0043	-0.0146	-0.4143	0.2515	-0.1793	-0.1268	0.2117	0.1382
YDL017W	YDL017W	1	0.0935	0.0617	-0.0078	0.0772	0.0087	0.1329	0.079	0	-0.0253	0.1182	1.0239	0.0415	0.0517	-0.3465	-0.0413	1.4749	0.0341	0.1673	0.5362	0.3545	-0.0582	0.1376	0.0092	-0.0957
YDL087C	YDL087C	1	0.0555	0.3313	0.0733	0.2439	0.0745	0.0525	0.2157	0.3459	0.3423	0.3851	0.269	0.1141	0.3377	-0.3536	0.0672	-0.0556	0.1902	0.0959	0.8042	0.3002	0.2502	0.3494	0.3916	0.3892
YER094C	YER094C	1	0.0137	-0.3161	-0.0772	-0.1518	-0.3047	-0.1251	0.0103	-0.2302	-0.3099	-0.0567	-0.2288	-0.3153	-0.0614	-0.376	-0.0646	-0.323	-0.1766	-0.0816	-0.3669	-0.0994	-0.2351	-0.1158	-0.2705	-0.1874
YIL128W	YIL128W	1	-0.2237	-0.0271	-0.1586	0.0817	-0.1878	-0.2755	-0.1366	0.0702	-0.075	-0.0423	0.0012	0.072	-0.1572	0.034	-0.1053	0.3005	-0.1141	-0.2734	0.5882	0.0654	-0.1293	-0.0323	-0.0651	-0.3594
YIL112W	YIL112W	1	-0.0765	0.1006	0.2103	0.1718	0.1765	-0.0616	-0.0556	0.2083	0.0462	-0.1709	0.0614	-0.028	-0.0589	-0.0198	0.0495	-0.5501	0.1319	-0.005	-0.1648	0.0482	0.1724	0.1635	-0.0538	0.1264
YER076C	YER076C	1	0.3998	0.4127	0.4164	0.3822	0.1752	0.5238	0.6051	-0.9398	0.487	0.2241	-1.2547	-0.5772	0.1938	0.2923	0.5054	0.4165	0.6586	0.5261	0.4903	0.483	-0.0476	0.2612	0.5428	0.4834
YDL099W	YDL099W	1	0.2625	0.2289	0.2618	0.1993	0.3551	0.0685	0.207	-0.2856	0.0944	0.1592	-0.0962	-0.2359	-0.0447	0.1106	0.0112	0.1993	-0.001	-0.3345	0.2295	0.0276	0.2774	-0.1852	0.1655	-0.3499
YPR186C	YPR186C	1	0.2588	0.0909	0.1765	0.1234	0.2259	0.1479	0.1851	0.1086	0.0182	0.0867	-0.0522	0.3824	-0.1465	0.2206	0.022	0.4522	0.0232	-0.0499	0.8028	0.1811	-0.0561	-0.0863	-0.0417	-0.2038
YER001W	YER001W	1	-0.265	-0.2766	-0.3304	-0.4322	-0.3205	-0.4204	-0.8112	-0.2243	-0.4821	-0.4458	-0.3862	-0.0649	-0.49	-0.5062	-0.2362	-0.1697	-0.4391	0.089	-0.1099	-0.4233	-0.1499	-0.7174	-0.3447	-0.2681
YOR089C	YOR089C	1	0.2413	0.441	0.2693	0.2727	0.1857	0.4831	0.159	-0.0618	0.1789	-0.0583	-0.0106	0.023	0.1104	0.2887	0.233	0.061	0.0865	0.1397	0.046	0.0489	0.0048	-0.0022	0.0482	0.1561
YDR309C	YDR309C	1	0.3824	-0.4449	0.1912	-0.0784	-0.0379	0.0854	0.5728	-0.0518	0.158	-0.088	0.0605	-0.1339	0.2545	0.3707	0.1031	0.3995	0.5222	0.1707	-0.3825	0.7536	-0.0279	-0.0554	0.0146	0.0417
YNL229C	YNL229C	1	0.6823	0.1322	-0.0392	0.2307	-0.0673	-0.1148	-0.0803	0.3771	0.2495	0.4839	0.2922	0.2682	-0.033	0.3621	-0.1174	0.563	-0.1069	-0.057	0.5218	0.165	-0.1495	0.2768	0.1813	-0.0799
YGR015C	YGR015C	1	-0.4352	-0.2266	-0.2097	-0.0599	-0.3899	-0.1423	-0.1459	0.0361	-0.0569	-0.0883	0.0105	0.1036	-0.0303	0.0226	-0.0118	-0.0556	0.1579	-0.0307	-0.3412	0.1517	-0.1064	-0.1717	-0.0847	0.1058
YER036C	YER036C	1	0.0449	0.0125	-0.235	-0.2609	0.0725	0.2302	0.114	-0.3431	-0.2139	-0.1365	-0.3661	-0.1082	-0.2618	0.007	-0.3698	0.071	-0.2113	-0.045	0.03	0.0039	-0.3256	-0.219	-0.0912	-0.2744
YGL243W	YGL243W	1	0.4545	0.1654	-0.007	0.1233	0.2972	0.0673	0.2672	-0.0624	-0.0327	0.0743	0.0027	-0.0241	0.0398	0.3023	-0.0604	0.0819	0.0572	0.0064	0.2177	-0.0942	-0.1274	0.0224	0.1751	-0.1144
YEL033W	YEL033W	1	-0.0785	-0.5259	-0.1749	-0.7901	-0.4643	-0.6531	-1.1908	-0.2131	-0.843	-0.1847	-0.9757	-1.0772	-1.0183	-1.0753	-1.3288	-0.7043	-0.9805	-0.8354	-0.6645	-0.1417	-1.0051	-0.8143	-0.4886	-0.5045
YBL038W	YBL038W	1	-0.3552	-0.6734	-0.311	-0.2077	-0.732	-0.6347	-0.7116	-0.2279	-0.2899	-0.3578	-0.2639	0.0583	-0.4281	0.4375	-0.2415	-0.7461	-0.8028	-0.452	0.1569	-0.6189	-0.6306	-0.4097	-0.8342	-0.486
YKL013C	YKL013C	1	-0.1559	-0.0762	0.0312	-0.0161	-0.2799	0.2667	-0.1808	-0.1764	-0.3653	-0.1861	-0.263	-0.39	-0.072	-0.1287	0.1761	-0.8635	-0.1165	-0.2047	-0.4457	-0.2539	-0.259	-0.3456	-0.3933	0.0269
YDR139C	YDR139C	1	-0.0801	0.0374	-0.1897	-0.1314	0.3888	-0.1388	0	0	0	0	0	0	-0.1343	-0.1587	-0.1491	-0.7926	-0.1321	-0.2768	-0.4384	-0.1575	-0.1515	-0.1938	0.102	-0.3594
YGL174W	YGL174W	1	0.06	0.2035	0.1558	0.0342	0.0422	0.0234	-0.2631	-0.1788	-0.3079	0.0655	-0.009	0.0919	0.2795	-0.1879	0.0429	0.4664	0.2321	0.3782	0.1283	0.1175	0.1479	-0.1438	0.3642	0.3159
YJL160C	YJL160C	1	0.182	0.0728	0.3798	0.0644	0.4895	0	-0.1189	0.0291	0.1811	0.1425	-0.0031	0.3087	0	0.2774	0.1884	-0.0556	0	0.1863	0	-0.0374	0.2818	0	0	0.2542
YLR433C	YLR433C	1	0.3465	-0.0248	0.0756	-0.0276	0.3147	0.0729	0.2138	-0.0547	-0.0965	0.083	-0.1401	-0.2092	0.0683	-0.2049	0.074	0.172	0.1431	0.306	0.0226	0.2366	-0.2334	-0.0195	0.0806	0.1316
YIL092W	YIL092W	1	0.3162	0.3145	0.0826	0.2119	0.2659	0.1455	0.2335	0.2818	0.2056	0.3397	0.1938	0.2619	0.1456	-0.0186	0.0643	0.7675	0.1568	-0.0188	0.8356	0.2621	0.081	0.3193	0.3733	0.0143
YLR069C	YLR069C	1	-0.1069	-0.3713	-0.5765	0.0515	-1.0926	-0.7617	-0.7535	0.185	0.0273	0.1514	0.1591	0.3253	-0.5819	0.5655	-0.2707	0.424	-0.4157	-0.572	0.2451	-0.8386	-1.0156	0.1072	-0.4625	-0.6548
YMR223W	YMR223W	1	0.0968	0.1057	0.0283	0.1746	0.1179	0.3067	0.7013	0.1639	0.1748	0.1711	0.1708	0.1797	0.1179	0.1893	-0.0811	0.307	0.2363	0.007	0.608	0.056	0.092	0.2906	0.3089	-0.1896
YCL020W	YCL020W	1	0.1808	0.2179	0.0299	1.6893	1.0401	0.7631	1.2355	1.9612	1.7008	1.6324	1.634	0.4685	0.9252	2.3858	1.2631	0.8107	0.9024	-0.3905	0.8226	0.2523	-0.7151	0.9779	0.4348	0.3467
YBR123C	YBR123C	1	-0.0269	0.1478	0.0881	0.203	-0.031	0.2859	-0.1172	0.0884	0.0123	-0.116	0.1021	0.1727	0.1712	0.4416	0.1543	0.3641	0.1059	0.0043	0.4649	-0.1495	0.1635	-0.1011	-0.0931	0.1261
YGL036W	YGL036W	1	0.2005	0.1609	0.2514	0.2142	-0.0649	0.1154	-0.0523	0.007	0.1309	0.0916	0.0952	0.1799	-0.6394	-0.4603	0.0629	-0.1168	0.1738	0.126	-0.0252	0.2215	0.0321	-0.1291	0.4956	0.0369
YHR196W	YHR196W	1	0.3469	-0.0975	-0.1588	0.0192	0.2207	-0.0824	0.403	0.0911	-0.0437	0.2786	0.0001	0.1968	-0.3354	-0.0477	-0.471	0.3512	-0.2441	-0.464	0.3891	0.1359	-0.3031	-0.0412	0.094	-0.4766
YHR133C	YHR133C	1	0.0006	-0.0324	0.0821	-0.399	0.142	0.2289	0.3311	-0.4054	-0.2915	-0.3703	-0.2094	-0.2742	0.1198	-0.0242	0.0432	-0.0715	0.0996	0.2108	0.095	0.1464	0.3487	-0.0354	0.0768	0.0504
YPR112C	YPR112C	1	0.2529	-0.1098	-0.1424	-0.1249	0.1694	0.0303	0.0033	0.1795	-0.0696	0.2678	0.1027	0.0143	-0.1207	-0.4536	-0.3676	0.6114	-0.0423	-0.0214	0.3476	0	-0.0305	0.0284	0.1566	-0.1652
YDR515W	YDR515W	1	0.0297	-0.0454	-0.363	0.0323	-0.1583	-0.5018	-0.0641	0.2487	0.0271	0.4071	0.2861	0.2793	-0.0855	0.8413	-0.2385	0.874	-0.3558	0.0157	0.3853	-0.346	-0.6054	-0.2597	0.0291	-0.4266
YKR048C	YKR048C	1	-0.0548	-0.3249	-0.099	-0.3494	-0.2137	0.0052	0.0332	-0.0331	-0.1717	-0.2555	-0.2096	-0.4217	0.0573	-0.3164	-0.1358	0.2424	-0.0913	-0.1149	-0.1327	0.038	0.0988	-0.1177	-0.1282	0.1933
YGL098W	YGL098W	1	0.2082	0.0586	0.0513	-0.253	0.2152	-0.1989	-0.0114	-0.0441	-0.0592	0.1064	-0.2782	-0.3846	-0.4045	0.7353	0.0226	0.3413	-0.3051	0.1837	0.0593	-0.0371	-0.4345	0.0281	0.083	0.1025
YGR005C	YGR005C	1	0.098	-0.0545	-0.2346	-0.0738	-0.1296	-0.1467	0.1512	0.1156	-0.0589	0.2007	0.1018	-0.1343	0.0344	-0.1394	-0.2867	0.3341	-0.1622	-0.0375	-0.0968	-0.069	-0.2462	-0.2313	0.0516	-0.1432
YMR151W	YMR151W	1	0	0	0	-0.4046	0.2928	1.2808	-0.064	1.0829	0.4364	0.5226	0.4328	0.8161	-0.2399	-0.5858	-0.2816	-0.2728	0.4484	-0.3936	0	0	0	0	0.2469	0
YJR158W	YJR158W	1	0.1039	-1.3577	0.2551	0.8853	0.593	0.58	0.9366	1.2499	0.9814	0.8201	1.1333	0.5311	0.4381	2.6898	0.4558	0.4482	0.605	-0.2364	-0.1219	0.3588	-0.1929	0.9575	0.5392	-0.1636
YOR040W	YOR040W	1	-0.2545	0.1535	0.3616	-0.1018	0.1296	0.2909	-0.1579	-0.1446	-0.0481	-0.2488	-0.2212	0.1203	0.0222	-0.1482	0.2476	-0.0556	0.0452	0.2633	0.217	0.2113	0.1803	-0.0217	-0.1434	0.0063
YKL048C	YKL048C	1	0.1965	0.2067	0.178	0.0515	0.0407	0.1657	0.174	-0.0273	0.0954	-0.1128	0.0006	0.2949	0.1354	0.1876	0.2406	0.3469	0.0799	-0.0562	0.4721	0.2226	0.1891	0.0051	0.092	0.0789
YGR056W	YGR056W	1	0.2824	0.1025	-0.1756	0.1595	0.0236	0.2649	0.1145	0.0644	0.0855	0.0933	0.1179	0.1075	0.0735	0.3926	-0.0235	0.549	0.0488	0.0239	0.2833	0.0643	0.0311	0.3197	0.0667	0.0171
YPL165C	YPL165C	1	-0.037	0.8853	0.7357	0.6732	-0.0289	0.6149	-0.0785	0.1978	0.5877	0.2787	0.2643	0.7941	0.7618	0.3409	0.7153	0.1612	0.9699	0.3562	0.397	0.0129	0.4867	0.4495	0.4382	0.5118
YLR249W	YLR249W	1	-0.0999	-0.0091	-0.7407	-0.7366	0.2377	-0.5475	-0.0969	-0.5209	-0.3667	-0.0957	-0.3697	-0.2806	-0.2809	-0.1569	-0.5403	0.2776	0.0982	-0.2605	-0.2123	-0.0222	-0.2256	-0.1573	0.1495	-0.5464
YML133C	YML133C	1	-0.2301	0.471	0.2217	1.8777	0.8393	-0.0685	0.6801	1.0431	0.3591	1.1528	0.826	0.5148	0.3278	1.4515	0.7817	1.3449	0.1327	0.0608	0.7518	-0.0652	0.1805	0.6133	0.3093	1.3722
YBR085W	YBR085W	1	-0.9061	-0.5406	-0.9129	-0.4854	-0.9737	-1.136	-1.3995	-0.509	-0.5439	-0.4731	-0.0522	-0.0476	-0.7598	-0.3601	-0.2828	-0.9739	-0.7569	-0.4016	-0.5662	-0.3468	-0.6373	-0.586	-0.469	-0.6061
YIL051C	YIL051C	1	0.2957	0.4591	0.8012	-0.1344	-0.3581	0.5695	0.003	-0.2879	-0.0767	-0.4515	-0.1621	-0.2497	-0.0044	-0.2218	0.278	-0.9667	-0.2677	-0.1835	0.2426	0.0335	-0.2081	0.4279	-0.3094	0.7143
YNL178W	YNL178W	1	-0.3097	-0.4516	-0.8266	-0.5306	-0.5619	-0.8118	-0.1809	-0.7401	-0.7145	-0.499	-0.6637	-0.8279	-0.5585	-0.6338	-0.7168	-0.6475	-0.637	-0.4698	-0.4567	-0.6527	-0.964	-0.6211	-0.5804	-0.8363
YHR206W	YHR206W	1	-0.1059	-0.2482	-0.3165	0.0946	-0.3499	-0.2988	-0.1225	0.3664	0.0018	0.1638	0.2178	0.019	-0.1442	0.0559	-0.4345	0.5448	-0.1424	0.0228	0.0702	0.1075	-0.1593	0.0952	0.274	-0.0713
YKL210W	YKL210W	1	0.219	0.1688	0.2953	0.4257	0.275	0.6008	-0.0168	-0.1	-0.108	-0.2609	0.2715	0.3818	0.2401	-0.057	0.4595	0.3726	0.5148	-0.0893	0.1772	0.3119	0.472	-0.3696	0.4167	0.0016
YIL116W	YIL116W	1	0.5138	-0.9978	-0.5656	-0.9783	0.6056	0.6324	0.0301	-0.4532	0.4557	0.3328	0.1476	0.2567	0.4665	-0.9872	-0.1683	-0.575	0.2133	-0.2817	-0.7238	0.6878	0.2689	-0.3998	0.3287	-0.6394
YLR377C	YLR377C	1	-0.0921	-0.0262	0.7237	0	-0.0211	0.2687	0.3559	0.2057	0.1719	0.1764	0.1826	0.7007	0	0.1588	0	1.6606	0.5715	0.248	1.2614	0	0	0	0	0
YPR124W	YPR124W	1	-0.0175	-1.1878	-0.1275	-0.0744	0.2218	-0.0412	-0.5997	-0.4331	-0.1982	-0.1464	-0.8033	-0.3453	-0.8791	0.0183	-0.8397	0.1712	-0.3524	-0.0534	0.4683	-0.0661	-0.1595	0.6265	-0.1925	0.0759
YJR148W	YJR148W	1	0.8115	0.8044	0.8	0.3026	0.6606	1.1459	0.2535	0.6135	0.4779	0.4363	0.3702	-1.176	0.6865	-1.0957	0.6805	0.1223	0.2568	1.0064	0.4149	0.45	0.762	0.4171	0.543	0.7955
YPL021W	YPL021W	1	-0.3492	-0.2619	-0.1274	-0.4951	-0.1698	-0.1991	-0.2671	-0.281	-0.2602	-0.2537	-0.131	-0.4266	-0.0889	-0.4304	-0.0797	-0.4132	-0.0768	-0.2055	-0.5203	-0.14	0.1044	0.0102	-0.2828	0.2564
YLR444C	YLR444C	1	0.1266	-0.111	0.1223	0.0082	0.3786	0.0002	-0.0351	0.022	-0.285	0.0064	0.2081	-0.1258	0.0336	-0.3992	0.0775	0.1123	0.1748	-0.0437	0.1778	0.1762	0.0174	0.2209	0.202	0.1774
YGR135W	YGR135W	1	0	0	0	0	0	0	-0.1627	-0.0334	-0.0612	-0.1254	-0.1339	-0.147	0	-0.3609	-0.0476	-0.6907	0	-0.2088	0	0	0	0	0	0
YPR108W	YPR108W	1	0.1732	0.0738	-0.0683	0.2057	0.0604	0.3618	0.2808	-0.1937	-0.086	0.0531	0.0941	0.031	0.2661	0.3253	0.2454	0.0271	0.065	0.1075	-0.0503	-0.0622	-0.0341	-0.1943	0.0749	-0.0424
YJL212C	YJL212C	1	0.1496	0.8165	0.2817	0.0287	0.601	1.8924	0.1305	0.1271	0.7158	0.0061	0.5595	-0.0083	-0.2454	-0.484	0.2503	-0.8071	-0.4131	0.4661	0.7416	0.0358	-0.221	0.3041	-0.0675	-0.3637
YCR081W	YCR081W	1	0.1269	0.1996	-0.1267	0.0023	-0.089	0.0557	-0.1922	0.2201	0.1564	-0.0185	0.1866	-0.0014	0.4824	-0.0154	0.2895	0.8095	0.1621	0.3647	0.0343	0.3348	0.2958	0.0543	0.4295	0.2953
YCR042C	YCR042C	1	0.2163	0.2954	0.0146	-0.0491	0.1161	0.0252	0.3583	0.2586	-0.0704	0.1413	0.0476	0.0584	0.0275	-0.1966	-0.129	0.786	0.0948	0.1985	0.219	0.037	0.1333	0.095	0.3296	0.1469
YGL230C	YGL230C	1	0	-0.3049	-0.0248	0	-0.1154	0.3407	0.3899	0.2295	0.1752	0.0355	0.1225	0.128	0	-0.1143	-0.156	-0.0556	-0.3931	0.2246	-0.4753	-0.2618	-0.2812	-0.1577	-0.0658	-0.2122
YOR304C-A	YOR304C-A	1	0.2633	0.2096	0.1146	1.2568	0.3439	-0.1252	0.2005	0.2434	0.0255	0.3022	0.3366	0.1802	0.0464	0.2116	0.0186	1.883	0.2418	-0.1056	0.3394	-0.2584	-0.0584	-0.0966	0.1476	0.14
YGR088W	YGR088W	1	-2.6374	0.1275	1.3348	-0.0015	-1.5482	0.7313	-3.2064	0.1722	-0.1723	-0.9327	-0.2775	1.3104	-0.1712	1.8387	1.8371	-3.0745	0.684	-0.8803	-1.404	-1.8837	1.3134	-0.9819	-1.5705	0.219
YMR245W	YMR245W	1	0.3147	0.2498	0.18	-0.1685	0.1525	0.2062	0.3997	0.434	0.4186	0.1133	-0.0624	-0.1217	0	0.0089	0.0402	-0.7958	-0.0023	-0.001	0.1529	-0.0786	0.4133	0.5214	0.507	0.2758
YGR186W	YGR186W	1	0.4026	0.3564	0.0908	0.2809	0.3877	0.0783	0.3002	0.1114	-0.0248	0.1857	0.1929	0.0119	0.1755	0.2219	0.1736	0.7333	0.244	0.2891	-0.0145	0.0611	0.1114	0.0628	0.109	0.2869
YOR385W	YOR385W	1	-0.045	-0.0205	-0.2127	-0.0046	-0.0131	-0.1217	-0.0817	-0.0561	-0.0024	0.0373	0.1366	0.0104	0.1833	0.8568	0.0704	-0.4242	-0.2534	-0.1815	0.2401	0.1277	0.0147	0.0719	-0.158	-0.0005
YDL101C	YDL101C	1	0.2454	-0.0282	0.0382	0.2301	-0.2033	0.0406	-0.2239	0.3184	0.0419	0.3619	0.0638	0.1094	-0.0491	-0.6412	-0.0556	0.0484	0.0068	-0.2443	-0.1389	-0.0322	-0.1156	-0.045	0.052	0.0322
YHL037C	YHL037C	1	0.1611	0.1868	0.4322	0.2632	0.045	0.3413	0.0312	-0.0398	-0.0064	0.1914	0.2687	0.1537	0	-0.4003	0.3171	0.8024	0.3354	0.216	0.537	0.1782	0.0694	0.2615	0.465	0
YKL173W	YKL173W	1	0.1107	0.139	-0.235	0.0778	0.0544	0.2161	0.1128	0.001	0.019	0.312	0.034	0.0754	0.0387	0.3049	0.1114	0.6269	0.1223	0.1538	0.0563	0.0654	0.1441	-0.1584	0.106	0.1295
