YORF,Common
YMR231W,PEP5
YML021C,UNG1
YGL115W,SNF4
YLR305C,STT4
YNL309W,STB1
YIL147C,SLN1
YDL040C,NAT1
YOR276W,CAF20
YNL267W,PIK1
YDR009W,GAL3
YML116W,ATR1
YLR234W,TOP3
YBR234C,ARC40
YNL238W,KEX2
YLR081W,GAL2
YDR122W,KIN1
YOR168W,GLN4
YPL049C,DIG1
YML106W,URA5
YNR006W,VPS27
YBR036C,CSG2
YDR480W,DIG2
YAL040C,CLN3
YNL102W,POL1
YLR398C,SKI2
YDR210W-B,YDR210W-B
YGL082W,YGL082W
YLR241W,CSC1
YDR062W,LCB2
YFL036W,RPO41
YBL021C,HAP3
YMR012W,CLU1
YML113W,DAT1
YIL034C,CAP2
YMR296C,LCB1
YNL042W,BOP3
YHR084W,STE12
YGL167C,PMR1
YDR040C,ENA1
YBL069W,AST1
YDR158W,HOM2
YGL205W,POX1
YBR195C,MSI1
YGR152C,RSR1
YOL108C,INO4
YKL059C,MPE1
YKL144C,RPC25
YKL064W,MNR2
YPR183W,DPM1
YCR046C,IMG1
YKL138C,MRPL31
YOR120W,GCY1
YDL069C,CBS1
YGL030W,RPL30
YOR063W,RPL3
YDR447C,RPS17B
YKL112W,ABF1
YBR038W,CHS2
YNL082W,PMS1
YPL167C,REV3
YLR263W,RED1
YLR178C,TFS1
YJL151C,SNA3
YOL059W,GPD2
YKL060C,FBA1
YJL141C,YAK1
YDR054C,CDC34
YHR083W,SAM35
YFR036W,CDC26
YER162C,RAD4
YDR217C,RAD9
YKR026C,GCN3
YKL104C,GFA1
YLR195C,NMT1
YML057W,CMP2
YLL015W,BPT1
YDR155C,CPR1
YDR035W,ARO3
YKL103C,APE1
YDR197W,CBS2
YOR254C,SEC63
YJL041W,NSP1
YBR275C,RIF1
YHR166C,CDC23
YLR354C,TAL1
YDR037W,KRS1
YDR256C,CTA1
YPL106C,SSE1
YBR169C,SSE2
YER133W,GLC7
YEL051W,VMA8
YMR266W,RSN1
YMR274C,RCE1
YML035C,AMD1
YPR181C,SEC23
YKL040C,NFU1
YJR152W,DAL5
YIR022W,SEC11
YDR085C,AFR1
YKL032C,IXR1
YDR283C,GCN2
YDL226C,GCS1
YMR272C,SCS7
YBL084C,CDC27
YPL117C,IDI1
YAL046C,BOL3
YDR120C,TRM1
YLR060W,FRS1
YFL022C,FRS2
YMR203W,TOM40
YJL036W,SNX4
YDL014W,NOP1
YKL024C,URA6
YJR122W,IBA57
YGR282C,BGL2
YOR027W,STI1
YDR059C,UBC5
YGL126W,SCS3
YIL035C,CKA1
YOR330C,MIP1
YBR213W,MET8
YMR284W,YKU70
YNR017W,TIM23
YBR088C,POL30
YCR088W,ABP1
YKR086W,PRP16
YBR072W,HSP26
YCR053W,THR4
YBR127C,VMA2
YDR414C,ERD1
YNL172W,APC1
YIL021W,RPB3
YER178W,PDA1
YGR193C,PDX1
YGR098C,ESP1
YLR134W,PDC5
YLR249W,YEF3
YHR117W,TOM71
YNL210W,MER1
YIL136W,OM45
YCL050C,APA1
YDR319C,YFT2
YLR386W,VAC14
YLL027W,ISA1
YDR118W,APC4
YHR042W,NCP1
YOR176W,HEM15
YGL017W,ATE1
YJL178C,ATG27
YLR105C,SEN2
YOR144C,ELG1
YBR110W,ALG1
YDR137W,RGP1
YJL054W,TIM54
YGR240C,PFK1
YMR205C,PFK2
YDL008W,APC11
YNL026W,SAM50
YPR067W,ISA2
YGR008C,STF2
YER056C,FCY2
YNL272C,SEC2
YHL033C,RPL8A
YAL044W-A,BOL1
YPR133W-A,TOM5
YPL063W,TIM50
YDR389W,SAC7
YHR153C,SPO16
YHR152W,SPO12
YPL031C,PHO85
YMR106C,YKU80
YLR233C,EST1
YLR423C,ATG17
YNL322C,KRE1
YCR075C,ERS1
YHR025W,THR1
YGR233C,PHO81
YDR238C,SEC26
YKL085W,MDH1
YDL217C,TIM22
YOR158W,PET123
YDR138W,HPR1
YPR049C,ATG11
YNL151C,RPC31
YGR019W,UGA1
YDR513W,GRX2
YCL040W,GLK1
YPR189W,SKI3
YGR167W,CLC1
YNL130C,CPT1
YCL043C,PDI1
YBR085W,AAC3
YBL030C,PET9
YAL010C,MDM10
YAL009W,SPO7
YAL008W,FUN14
YBR083W,TEC1
YJL085W,EXO70
YEL011W,GLC3
YBL040C,ERD2
YKL058W,TOA2
YER040W,GLN3
YLR393W,ATP10
YOL140W,ARG8
YHR128W,FUR1
YLR392C,ART10
YBR080C,SEC18
YMR292W,GOT1
YOR212W,STE4
YJR086W,STE18
YHL025W,SNF6
YDR311W,TFB1
YNL307C,MCK1
YMR173W,DDR48
YBR003W,COQ1
YMR104C,YPK2
YHR028C,DAP2
YBR140C,IRA1
YMR293C,HER2
YML076C,WAR1
YLR229C,CDC42
YPL231W,FAS2
YKR039W,GAP1
YDL137W,ARF2
YOL081W,IRA2
YJR047C,ANB1
YDR148C,KGD2
YGL163C,RAD54
YNL207W,RIO2
YDR502C,SAM2
YLR304C,ACO1
YOR061W,CKA2
YNL215W,IES2
YMR216C,SKY1
YPL132W,COX11
YOR326W,MYO2
YPL133C,RDS2
YPL036W,PMA2
YMR218C,TRS130
YKL151C,NNR2
YBR055C,PRP6
YDL030W,PRP9
YGL077C,HNM1
YMR009W,ADI1
YBL035C,POL12
YML007W,YAP1
YDL236W,PHO13
YLR259C,HSP60
YFR049W,YMR31
YKL189W,HYM1
YMR225C,MRPL44
YMR013C,SEC59
YMR142C,RPL13B
YIL072W,HOP1
YLR420W,URA4
YOL001W,PHO80
YPR178W,PRP4
YNL135C,FPR1
YNR011C,PRP2
YMR243C,ZRC1
YPR176C,BET2
YPR088C,SRP54
YBR154C,RPB5
YPR187W,RPO26
YOR224C,RPB8
YMR199W,CLN1
YGR102C,GTF1
YGR113W,DAM1
YLL058W,HSU1
YPL256C,CLN2
YOL100W,PKH2
YKL125W,RRN3
YER160C,YER160C
YKL045W,PRI2
YJR007W,SUI2
YKL021C,MAK11
YNL234W,YNL234W
YHR134W,WSS1
YNL230C,ELA1
YIL036W,CST6
YNL232W,CSL4
YCL001W-B,YCL001W-B
YIL113W,SDP1
YDL047W,SIT4
YPL218W,SAR1
YDR310C,SUM1
YOR098C,NUP1
YLR396C,VPS33
YGL054C,ERV14
YGL137W,SEC27
YJR004C,SAG1
YGL180W,ATG1
YIL125W,KGD1
YGL055W,OLE1
YPR185W,ATG13
YGR284C,ERV29
YOL052C,SPE2
YJR094C,IME1
YLR131C,ACE2
YOR362C,PRE10
YPL166W,ATG29
YGL011C,SCL1
YOR128C,ADE2
YJL157C,FAR1
YOR279C,RFM1
YOR119C,RIO1
YER168C,CCA1
YLR196W,PWP1
YKL051W,SFK1
YOR188W,MSB1
YBR237W,PRP5
YJR049C,UTR1
YJR050W,ISY1
YJR051W,OSM1
YER070W,RNR1
YBR049C,REB1
YPL215W,CBP3
YHR080C,LAM4
YKR001C,VPS1
YPL172C,COX10
YDR402C,DIT2
YGL178W,MPT5
YDR403W,DIT1
YJR021C,REC107
YIR023W,DAL81
YNL132W,KRE33
YKR101W,SIR1
YNL314W,DAL82
YDR177W,UBC1
YDR337W,MRPS28
YDR326C,YSP2
YPL094C,SEC62
YGL097W,SRM1
YNL220W,ADE12
YFL029C,CAK1
YFL030W,AGX1
YOR197W,MCA1
YEL061C,CIN8
YHL020C,OPI1
YPL268W,PLC1
YDL090C,RAM1
YOR336W,KRE5
YKR099W,BAS1
YPL269W,KAR9
YNL219C,ALG9
YDR530C,APA2
YOL126C,MDH2
YER142C,MAG1
YJL180C,ATP12
YFL025C,BST1
YOL069W,NUF2
YMR282C,AEP2
YPR010C,RPA135
YOR210W,RPB10
YHR123W,EPT1
YFL017C,GNA1
YER012W,PRE1
YBL034C,STU1
YMR307W,GAS1
YFL013C,IES1
YGL173C,XRN1
YFL011W,HXT10
YFL006W,YFL006W
YFL007W,BLM10
YFR001W,LOC1
YOL116W,MSN1
YGL071W,AFT1
YER103W,SSA4
YBR276C,PPS1
YOR332W,VMA4
YBR107C,IML3
YBR233W,PBP2
YGR092W,DBF2
YAR018C,KIN3
YNL183C,NPR1
YFR003C,YPI1
YDR254W,CHL4
YDR189W,SLY1
YLR268W,SEC22
YPL209C,IPL1
YOR307C,SLY41
YLR043C,TRX1
YER018C,SPC25
YBR097W,VPS15
YGL233W,SEC15
YER106W,MAM1
YAR007C,RFA1
YER116C,SLX8
YIL144W,NDC80
YJL063C,MRPL8
YKR085C,MRPL20
YGL248W,PDE1
YGR171C,MSM1
YGL086W,MAD1
YDR143C,SAN1
YKL210W,UBA1
YPL008W,CHL1
YMR168C,CEP3
YGR188C,BUB1
YOL016C,CMK2
YLR045C,STU2
YLR240W,VPS34
YOL004W,SIN3
YNL186W,UBP10
YJR089W,BIR1
YDR242W,AMD2
YJR017C,ESS1
YBL102W,SFT2
YOL058W,ARG1
YGR209C,TRX2
YJR135C,MCM22
YIL004C,BET1
YNL185C,MRPL19
YKL114C,APN1
YFL014W,HSP12
YCR020C-A,MAK31
YCR019W,MAK32
YGL093W,SPC105
YHL021C,AIM17
YLL021W,SPA2
YHL017W,YHL017W
YGL060W,YBP2
YAL011W,SWC3
YIL119C,RPI1
YPR074C,TKL1
YGR179C,OKP1
YCR042C,TAF2
YNL180C,RHO5
YHR057C,CPR2
YLR433C,CNA1
YNL177C,MRPL22
YDL028C,MPS1
YHR135C,YCK1
YNL154C,YCK2
YML039W,YML039W
YPL018W,CTF19
YKL093W,MBR1
YKR052C,MRS4
YKR053C,YSR3
YDR130C,FIN1
YNL240C,NAR1
YCR077C,PAT1
YLR088W,GAA1
YNL084C,END3
YHL016C,DUR3
YDR532C,KRE28
YMR117C,SPC24
YDR318W,MCM21
YNL161W,CBK1
YML062C,MFT1
YLR441C,RPS1A
YOR045W,TOM6
YHR014W,SPO13
YML092C,PRE8
YJR077C,MIR1
YOR073W,SGO1
YOR191W,ULS1
YML115C,VAN1
YDR495C,VPS3
YBL041W,PRE7
YNL155W,CUZ1
YMR036C,MIH1
YNL153C,GIM3
YPR046W,MCM16
YOR292C,YOR292C
YMR281W,GPI12
YBR037C,SCO1
YCL010C,SGF29
YDR538W,PAD1
YKR056W,TRM2
YHR026W,VMA16
YGR148C,RPL24B
YML010W,SPT5
YLR381W,CTF3
YNL284C-B,YNL284C-B
YBR122C,MRPL36
YDR293C,SSD1
YML009C,MRPL39
YEL032W,MCM3
YMR079W,SEC14
YMR220W,ERG8
YBL105C,PKC1
YGL241W,KAP114
YNL010W,PYP1
YPL119C,DBP1
YDR423C,CAD1
YJR090C,GRR1
YMR032W,HOF1
YOR131C,YOR131C
YNL289W,PCL1
YGR108W,CLB1
YPR119W,CLB2
YDL155W,CLB3
YLR210W,CLB4
YDL122W,UBP1
YBL005W-B,YBL005W-B
YCL057W,PRD1
YOL023W,IFM1
YLR069C,MEF1
YPR065W,ROX1
YOR157C,PUP1
YDL230W,PTP1
YOR019W,YOR019W
YML008C,ERG6
YOR201C,MRM1
YCR079W,PTC6
YML123C,PHO84
YDR160W,SSY1
YPL026C,SKS1
YMR152W,YIM1
YMR061W,RNA14
YGL044C,RNA15
YCR038C,BUD5
YDR004W,RAD57
YER111C,SWI4
YCR008W,SAT4
YDR236C,FMN1
YCR069W,CPR4
YCR092C,MSH3
YCR063W,BUD31
YGL010W,MPO1
YGL014W,PUF4
YGL012W,ERG4
YOR231W,MKK1
YCR091W,KIN82
YCR009C,RVS161
YLR085C,ARP6
YAL029C,MYO4
YCR001W,YCR001W
YCR003W,MRPL32
YCR004C,YCP4
YCR006C,YCR006C
YCR023C,YCR023C
YCR025C,YCR025C
YCR026C,NPP1
YCR007C,YCR007C
YCR054C,CTR86
YDR196C,CAB5
YCR032W,BPH1
YCR033W,SNT1
YCR034W,ELO2
YCR035C,RRP43
YCR037C,PHO87
YCR043C,YCR043C
YCR020C,PET18
YCR067C,SED4
YCR095C,OCA4
YCL028W,RNQ1
YCL031C,RRP7
YCL034W,LSB5
YCR011C,ADP1
YCR083W,TRX3
YCL035C,GRX1
YCL017C,NFS1
YCL025C,AGP1
YOL154W,ZPS1
YCR027C,RHB1
YCL064C,CHA1
YCL048W,SPS22
YCR045C,RRT12
YCR072C,RSA4
YCL020W,YCL020W
YLR078C,BOS1
YPR072W,NOT5
YDL058W,USO1
YCL024W,KCC4
YDL150W,RPC53
YER094C,PUP3
YER179W,DMC1
YER095W,RAD51
YNL064C,YDJ1
YKL015W,PUT3
YEL027W,VMA3
YBL014C,RRN6
YCL011C,GBP2
YCL014W,BUD3
YNL221C,POP1
YKL139W,CTK1
YDR175C,RSM24
YCL016C,DCC1
YCL001W,RER1
YCL002C,YCL002C
YCL033C,MXR2
YCL037C,SRO9
YCL038C,ATG22
YCL039W,GID7
YCL042W,YCL042W
YCL044C,MGR1
YCL045C,EMC1
YCL047C,POF1
YCL049C,YCL049C
YDR416W,SYF1
YCL051W,LRE1
YDR185C,UPS3
YCL055W,KAR4
YCL056C,PEX34
YCL058C,FYV5
YDR429C,TIF35
YCL059C,KRR1
YCL005W,LDB16
YCL061C,MRC1
YOL149W,DCP1
YKR061W,KTR2
YCL063W,VAC17
YCL068C,YCL068C
YCR100C,EMA35
YCR101C,YCR101C
YCR104W,PAU3
YDL056W,MBP1
YCR015C,CTO1
YCR016W,YCR016W
YCR017C,CWH43
YCR022C,YCR022C
YCR028C,FEN2
YCR030C,SYP1
YCR044C,PER1
YCR047C,BUD23
YCR048W,ARE1
YCR050C,YCR050C
YCR051W,YCR051W
YCR052W,RSC6
YCR057C,PWP2
YCR059C,YIH1
YCR060W,TAH1
YCR061W,TVS1
YCR068W,ATG15
YCR071C,IMG2
YFR021W,ATG18
YCR081W,SRB8
YCR085W,YCR085W
YCR086W,CSM1
YCR089W,FIG2
YCR090C,YCR090C
YCR093W,CDC39
YCR094W,CDC50
YCR099C,YCR099C
YCR076C,FUB1
YNL139C,THO2
YNL253W,TEX1
YDL127W,PCL2
YNL054W,VAC7
YML078W,CPR3
YML019W,OST6
YPL131W,RPL5
YDR381W,YRA1
YKL033W-A,YKL033W-A
YMR055C,BUB2
YML016C,PPZ1
YPL160W,CDC60
YJL139C,YUR1
YNL312W,RFA2
YMR045C,YMR045C
YPL244C,HUT1
YDR516C,EMI2
YNL069C,RPL16B
YOR096W,RPS7A
YPR016C,TIF6
YDR123C,INO2
YFR014C,CMK1
YLR258W,GSY2
YNR013C,PHO91
YML045W,YML045W
YER131W,RPS26B
YMR062C,ARG7
YNR012W,URK1
YAR015W,ADE1
YAR019C,CDC15
YBR067C,TIP1
YOL096C,COQ3
YMR306W,FKS3
YLL062C,MHT1
YGL119W,COQ8
YGL035C,MIG1
YIL160C,POT1
YNL062C,GCD10
YLR148W,PEP3
YDR483W,KRE2
YOR099W,KTR1
YER144C,UBP5
YER101C,AST2
YOR269W,PAC1
YAL058W,CNE1
YGR029W,ERV1
YPR108W,RPN7
YNL137C,NAM9
YGL070C,RPB9
YNL113W,RPC19
YDR315C,IPK1
YAL034C,FUN19
YAL032C,PRP45
YAL033W,POP5
YHR089C,GAR1
YMR267W,PPA2
YER065C,ICL1
YOR136W,IDH2
YEL012W,UBC8
YKL216W,URA1
YKL215C,OXP1
YBR006W,UGA2
YBL039C,URA7
YKL096W,CWP1
YKL095W,YJU2
YKL094W,YJU3
YKL007W,CAP1
YKL008C,LAC1
YAL035W,FUN12
YLL035W,GRC3
YOL119C,MCH4
YPL062W,YPL062W
YMR201C,RAD14
YKR050W,TRK2
YMR150C,IMP1
YKL117W,SBA1
YMR162C,DNF3
YPL207W,TYW1
YKL116C,PRR1
YGR028W,MSP1
YBL063W,KIP1
YGL148W,ARO2
YKL003C,MRP17
YDL205C,HEM3
YDR498C,SEC20
YDR329C,PEX3
YER154W,OXA1
YDR036C,EHD3
YNL037C,IDH1
YLR286C,CTS1
YPR086W,SUA7
YGR246C,BRF1
YPL204W,HRR25
YBR123C,TFC1
YGR133W,PEX4
YBR200W,BEM1
YLR335W,NUP2
YLL045C,RPL8B
YLR371W,ROM2
YER044C-A,MEI4
YGR047C,TFC4
YAL001C,TFC3
YML105C,SEC65
YLR274W,MCM5
YDR093W,DNF2
YDR353W,TRR1
YPL048W,CAM1
YBR269C,SDH8
YHR093W,AHT1
YKL019W,RAM2
YHR190W,ERG9
YAR002W,NUP60
YER003C,PMI40
YPR120C,CLB5
YMR271C,URA10
YDR497C,ITR1
YDR164C,SEC1
YOR001W,RRP6
YPL233W,NSL1
YMR137C,PSO2
YER147C,SCC4
YGR121C,MEP1
YOR317W,FAA1
YFR050C,PRE4
YIL115C,NUP159
YIL026C,IRR1
YBR105C,VID24
YBR106W,SND3
YJL025W,RRN7
YGL143C,MRF1
YGL142C,GPI10
YMR113W,FOL3
YFL004W,VTC2
YGR218W,CRM1
YKL016C,ATP7
YNL117W,MLS1
YAL030W,SNC1
YJL012C,VTC4
YJL012C-A,YJL012C-A
YDR285W,ZIP1
YIL131C,FKH1
YIL130W,ASG1
YDL175C,AIR2
YDL171C,GLT1
YAL031C,GIP4
YJR139C,HOM6
YGR119C,NUP57
YDR192C,NUP42
YGL092W,NUP145
YBR114W,RAD16
YIL132C,CSM2
YGR220C,MRPL9
YAL012W,CYS3
YAL017W,PSK1
YGL172W,NUP49
YAL014C,SYN8
YAL015C,NTG1
YGL194C,HOS2
YDL156W,CMR1
YKL068W,NUP100
YMR047C,NUP116
YPL019C,VTC3
YAL018C,LDS1
YAL019W,FUN30
YAL022C,FUN26
YMR153W,NUP53
YAL023C,PMT2
YDR180W,SCC2
YAL021C,CCR4
YAL013W,DEP1
YML043C,RRN11
YDR090C,ILT1
YAL020C,ATS1
YKL080W,VMA5
YDR362C,TFC6
YDR074W,TPS2
YGL038C,OCH1
YGR037C,ACB1
YNL074C,MLF3
YNL073W,MSK1
YNL287W,SEC21
YPR060C,ARO7
YOL077C,BRX1
YOL064C,MET22
YHL032C,GUT1
YIL155C,GUT2
YKL120W,OAC1
YLR120C,YPS1
YPL191C,YPL191C
YDR300C,PRO1
YOR211C,MGM1
YDL082W,RPL13A
YPL007C,TFC8
YPR035W,GLN1
YBL015W,ACH1
YEL052W,AFG1
YGR144W,THI4
YKL119C,VPH2
YLR205C,HMX1
YPL171C,OYE3
YJL028W,YJL028W
YOR110W,TFC7
YDL173W,PAR32
YBL017C,PEP1
YNR044W,AGA1
YDR052C,DBF4
YOR291W,YPK9
YBR218C,PYC2
YPR111W,DBF20
YJL118W,YJL118W
YKL121W,DGR2
YPR058W,YMC1
YPL082C,MOT1
YHR139C,SPS100
YLR203C,MSS51
YOR373W,NUD1
YMR308C,PSE1
YGR044C,RME1
YOL012C,HTZ1
YDL114W,YDL114W
YML120C,NDI1
YPR056W,TFB4
YKL122C,SRP21
YKL124W,SSH4
YLR204W,QRI5
YDR075W,PPH3
YJL193W,YJL193W
YMR187C,YMR187C
YPR190C,RPC82
YDR047W,HEM12
YLL019C,KNS1
YOL003C,PFA4
YPL257W,YPL257W
YIL154C,IMP21
YNR066C,YNR066C
YMR202W,ERG2
YLR056W,ERG3
YIL150C,MCM10
YNL256W,FOL1
YPL124W,SPC29
YDR001C,NTH1
YBL074C,AAR2
YHR079C,IRE1
YPL175W,SPT14
YKL079W,SMY1
YLR447C,VMA6
YKL212W,SAC1
YIR027C,DAL1
YDL201W,TRM8
YGR253C,PUP2
YDR356W,SPC110
YDL029W,ARP2
YLL046C,RNP1
YLL048C,YBT1
YDR405W,MRP20
YDR211W,GCD6
YER025W,GCD11
YKL167C,MRP49
YNL103W,MET4
YDL078C,MDH3
YGL089C,MF(ALPHA)2
YCR028C-A,RIM1
YJL115W,ASF1
YDL197C,ASF2
YFL010W-A,AUA1
YGR286C,BIO2
YNL316C,PHA2
YNL315C,ATP11
YKL157W,APE2
YIR032C,DAL3
YIR030C,DCG1
YKL191W,DPH2
YNL280C,ERG24
YKL192C,ACP1
YHR094C,HXT1
YDR345C,HXT3
YHR092C,HXT4
YLR383W,SMC6
YGL184C,STR3
YBR263W,SHM1
YOR190W,SPR1
YLR172C,DPH5
YAL003W,EFB1
YDR519W,FPR2
YBR221C,PDB1
YDR518W,EUG1
YGR175C,ERG1
YJL101C,GSH1
YJL159W,HSP150
YOR038C,HIR2
YBR159W,IFA38
YLR113W,HOG1
YOR117W,RPT5
YPR159W,KRE6
YMR081C,ISF1
YPL121C,MEI5
YPR008W,HAA1
YLR106C,REA1
YDL095W,PMT1
YBR163W,EXO5
YMR064W,AEP1
YDR176W,NGG1
YDL208W,NHP2
YFR052W,RPN12
YMR309C,NIP1
YML031W,NDC1
YKL054C,DEF1
YLR291C,GCD7
YGR140W,CBF2
YGL122C,NAB2
YIR006C,PAN1
YLR067C,PET309
YLL036C,PRP19
YJL203W,PRP21
YGL252C,RTG2
YGR285C,ZUO1
YBR208C,DUR12
YJR063W,RPA12
YBR164C,ARL1
YBR017C,KAP104
YGL207W,SPT16
YMR023C,MSS1
YNL330C,RPD3
YBR217W,ATG12
YBR167C,POP7
YHL036W,MUP3
YDR030C,RAD28
YOR270C,VPH1
YER110C,KAP123
YER120W,SCS2
YGR049W,SCM4
YIL075C,RPN2
YGR229C,SMI1
YMR165C,PAH1
YJR035W,RAD26
YDR011W,SNQ2
YIL102C-A,YIL102C-A
YBR253W,SRB6
YDR069C,DOA4
YNL204C,SPS18
YJL004C,SYS1
YNL202W,SPS19
YDR422C,SIP1
YGL169W,SUA5
YGL022W,STT3
YOR272W,YTM1
YGR055W,MUP1
YGR155W,CYS4
YBR024W,SCO2
YKR076W,ECM4
YKR092C,SRP40
YDR410C,STE14
YGR104C,SRB5
YBL088C,TEL1
YNL016W,PUB1
YJL176C,SWI3
YHR030C,SLT2
YIL126W,STH1
YPL051W,ARL3
YPL125W,KAP120
YMR264W,CUE1
YIL048W,NEO1
YDR129C,SAC6
YMR159C,ATG16
YJL002C,OST1
YDL124W,YDL124W
YPR029C,APL4
YOR271C,FSF1
YPR017C,DSS4
YBL050W,SEC17
YJL155C,FBP26
YHR052W,CIC1
YHR206W,SKN7
YBR119W,MUD1
YFL034W,MIL1
YDR323C,PEP7
YPR095C,SYT1
YEL050C,RML2
YEL049W,PAU2
YEL048C,TCA17
YEL047C,FRD1
YEL044W,IES6
YEL043W,GTA1
YEL042W,GDA1
YEL041W,YEF1
YEL040W,UTR2
YOR130C,ORT1
YOR103C,OST2
YEL037C,RAD23
YOR160W,MTR10
YEL036C,ANP1
YEL035C,UTR5
YEL033W,MTC7
YER132C,PMD1
YJL143W,TIM17
YER173W,RAD24
YNL032W,SIW14
YER175C,TMT1
YER176W,ECM32
YER180C,ISC10
YER163C,GCG1
YER164W,CHD1
YER166W,DNF1
YKR084C,HBS1
YGL016W,KAP122
YAR050W,FLO1
YDL167C,NRP1
YDL168W,SFA1
YDL169C,UGX2
YER159C,BUR6
YGL225W,VRG4
YGL032C,AGA2
YBR236C,ABD1
YBL011W,SCT1
YJR144W,MGM101
YBL010C,LAA2
YBL009W,ALK2
YBL007C,SLA1
YLR214W,FRE1
YHR017W,YSC83
YHR016C,YSC84
YMR149W,SWP1
YIL164C,NIT1
YGR027W-B,YGR027W-B
YLR397C,AFG2
YPR024W,YME1
YML042W,CAT2
YIR007W,EGH1
YJL136C,RPS21B
YIR038C,GTT1
YOR316C,COT1
YMR188C,MRPS17
YGL191W,COX13
YJL210W,PEX2
YKL048C,ELM1
YPL148C,PPT2
YLR083C,EMP70
YGL200C,EMP24
YGL255W,ZRT1
YGL254W,FZF1
YJL044C,GYP6
YDL013W,SLX5
YFL050C,ALR2
YGR085C,RPL11B
YFL041W,FET5
YMR224C,MRE11
YMR277W,FCP1
YBR212W,NGR1
YMR091C,NPL6
YBR060C,ORC2
YJR065C,ARP3
YDR465C,RMT2
YLR293C,GSP1
YOR185C,GSP2
YDR063W,AIM7
YDL210W,UGA4
YGL226C-A,OST5
YNR032W,PPG1
YDR375C,BCS1
YMR133W,REC114
YMR302C,YME2
YIL068C,SEC6
YLR032W,RAD5
YPR055W,SEC8
YKL037W,AIM26
YKL035W,UGP1
YKL038W,RGT1
YOR370C,MRS6
YPL232W,SSO1
YPL115C,BEM3
YMR207C,HFA1
YOR196C,LIP5
YDL174C,DLD1
YGR166W,TRS65
YKL181W,PRS1
YDR081C,PDC2
YDR430C,CYM1
YHR148W,IMP3
YHR149C,SKG6
YKR093W,PTR2
YHL004W,MRP4
YCR024C-A,PMP1
YHR147C,MRPL6
YGR214W,RPS0A
YBR172C,SMY2
YNR003C,RPC34
YNL244C,SUI1
YDR376W,ARH1
YHR041C,SRB2
YPL129W,TAF14
YDR292C,SRP101
YML001W,YPT7
YGR078C,PAC10
YGR109C,CLB6
YJL187C,SWE1
YBR242W,YBR242W
YPL179W,PPQ1
YOR344C,TYE7
YGL015C,BIL2
YBL005W,PDR3
YKL009W,MRT4
YKL012W,PRP40
YER100W,UBC6
YDL003W,MCD1
YGR005C,TFG2
YGL101W,YGK1
YDR394W,RPT3
YKL145W,RPT1
YPL057C,SUR1
YDR369C,XRS2
YOR153W,PDR5
YJR095W,SFC1
YER167W,BCK2
YGL238W,CSE1
YNR010W,CSE2
YNL001W,DOM34
YLR188W,MDL1
YPL270W,MDL2
YBR153W,RIB7
YMR158W,MRPS8
YBR155W,CNS1
YKL092C,BUD2
YBR117C,TKL2
YBR252W,DUT1
YLR175W,CBF5
YHR157W,REC104
YKL091C,YKL091C
YDL215C,GDH2
YOR327C,SNC2
YDR436W,PPZ2
YOR184W,SER1
YER009W,NTF2
YER008C,SEC3
YDL052C,SLC1
YHR165C,PRP8
YPR198W,SGE1
YGR143W,SKN1
YNL243W,SLA2
YDL051W,LHP1
YHL027W,RIM101
YDR397C,NCB2
YKL127W,PGM1
YGR006W,PRP18
YGR007W,ECT1
YDR258C,HSP78
YKL205W,LOS1
YPL174C,NIP100
YKL141W,SDH3
YGR124W,ASN2
YDR428C,BNA7
YDR261C,EXG2
YDL093W,PMT5
YBR248C,HIS7
YMR037C,MSN2
YLL023C,POM33
YDR198C,RKM2
YDL004W,ATP16
YKL062W,MSN4
YMR311C,GLC8
YGR125W,VSB1
YPL266W,DIM1
YLL011W,SOF1
YBR171W,SEC66
YOR108W,LEU9
YBR250W,SPO23
YBR251W,MRPS5
YNL118C,DCP2
YEL002C,WBP1
YOR010C,TIR2
YGL195W,GCN1
YBL080C,PET112
YOR219C,STE13
YNL076W,MKS1
YFR002W,NIC96
YDR277C,MTH1
YJL127C,SPT10
YKL143W,LTV1
YDR404C,RPB7
YJL154C,VPS35
YML126C,ERG13
YBL079W,NUP170
YMR125W,STO1
YML027W,YOX1
YHR096C,HXT5
YKL140W,TGL1
YGL208W,SIP2
YDR342C,HXT7
YDR461W,MFA1
YNL145W,MFA2
YPR163C,TIF3
YBR144C,YBR144C
YBL047C,EDE1
YBL051C,PIN4
YBL052C,SAS3
YBL054W,TOD6
YBL055C,YBL055C
YBL057C,PTH2
YBL059W,IAI11
YBL060W,YEL1
YBL061C,SKT5
YBL064C,PRX1
YBL066C,SEF1
YKL188C,PXA2
YKL187C,FAT3
YKL186C,MTR2
YKL185W,ASH1
YKL183W,LOT5
YKL179C,COY1
YKL176C,LST4
YKL175W,ZRT3
YKL014C,URB1
YLR038C,COX12
YKL101W,HSL1
YLR144C,ACF2
YKL097C,YKL097C
YKL098W,MTC2
YKL099C,UTP11
YKL100C,YPF1
YKL102C,YKL102C
YKL105C,SEG2
YKL108W,SLD2
YKL110C,KTI12
YNL231C,PDR16
YDR099W,BMH2
YFR019W,FAB1
YMR067C,UBX4
YOR329C,SCD5
YOR147W,MDM32
YML028W,TSA1
YPL065W,VPS28
YNL197C,WHI3
YER068W,MOT2
YDR244W,PEX5
YJR099W,YUH1
YJR066W,TOR1
YDR304C,CPR5
YBR081C,SPT7
