Gene,+/0/-,430Net rank,PIXIE rank,Difference (430Net-PIXIE),Absoulte Difference
YNL297C,-1,1436,3705,-2269,2269
YBL097W,-1,4187,1918,2269,2269
YLR321C,-1,801,3068,-2267,2267
YER074W-A,-1,4129,1862,2267,2267
YMR266W,-1,3401,1134,2267,2267
YBL043W,-1,2389,124,2265,2265
YPL115C,-1,790,3052,-2262,2262
YOR360C,-1,3587,1327,2260,2260
YJL031C,-1,469,2728,-2259,2259
YPR128C,-1,3311,1052,2259,2259
YJR010W,-1,3973,1715,2258,2258
YNL080C,-1,3545,1288,2257,2257
YPR178W,-1,1104,3361,-2257,2257
YBR127C,-1,2809,553,2256,2256
YJL129C,-1,1248,3502,-2254,2254
YHL024W,-1,420,2673,-2253,2253
YHR211W,-1,4397,2147,2250,2250
YLR423C,-1,973,3221,-2248,2248
YGL227W,-1,161,2408,-2247,2247
YJR041C,-1,914,3161,-2247,2247
YMR049C,-1,1337,3582,-2245,2245
YJL058C,-1,3929,1684,2245,2245
YBL054W,-1,1505,3749,-2244,2244
YNL287W,-1,1267,3509,-2242,2242
YHR158C,-1,1226,3468,-2242,2242
YLR394W,-1,148,2390,-2242,2242
YMR251W,-1,3982,1741,2241,2241
YGR002C,-1,910,3149,-2239,2239
YDR078C,-1,3395,1156,2239,2239
YDR440W,-1,882,3121,-2239,2239
YJR120W,1,13,2250,-2237,2237
YHR048W,-1,4152,1916,2236,2236
YPL036W,-1,3295,1060,2235,2235
YGR044C,-1,2930,695,2235,2235
Q0050,-1,4084,1850,2234,2234
YOR272W,-1,951,3185,-2234,2234
YPL131W,-1,1926,4160,-2234,2234
YML095C,-1,2972,739,2233,2233
YPL157W,-1,864,3096,-2232,2232
YER021W,-1,406,2638,-2232,2232
YJR004C,-1,3499,1270,2229,2229
YBR042C,-1,2683,455,2228,2228
YOR306C,-1,3404,1177,2227,2227
YOR237W,-1,4190,1964,2226,2226
YDL092W,-1,1034,3259,-2225,2225
YDL078C,-1,336,2561,-2225,2225
YER095W,-1,2647,422,2225,2225
YIR029W,-1,3107,883,2224,2224
YOL130W,-1,2993,770,2223,2223
YIL005W,-1,806,3027,-2221,2221
YHR111W,-1,2969,748,2221,2221
YJL033W,-1,1856,4076,-2220,2220
YGR074W,-1,1759,3978,-2219,2219
YMR015C,-1,2530,311,2219,2219
YDL042C,-1,1748,3966,-2218,2218
YHR142W,-1,2322,104,2218,2218
YFL007W,-1,3739,1523,2216,2216
YGR249W,-1,3906,1691,2215,2215
YER078C,-1,2403,190,2213,2213
YKL018W,-1,1525,3737,-2212,2212
YJL024C,-1,1172,3383,-2211,2211
YCR084C,-1,2976,766,2210,2210
YGL245W,-1,1032,3242,-2210,2210
YIL131C,-1,724,2934,-2210,2210
YIL064W,-1,3529,1320,2209,2209
YHR082C,-1,542,2750,-2208,2208
YLR433C,-1,3567,1361,2206,2206
YNL133C,-1,1242,3448,-2206,2206
YNL204C,-1,3281,1075,2206,2206
YLR066W,-1,388,2594,-2206,2206
YJR068W,-1,1137,3343,-2206,2206
YAL016W,-1,225,2430,-2205,2205
YMR313C,-1,3296,1092,2204,2204
YOL065C,-1,316,2519,-2203,2203
YGR019W,-1,462,2665,-2203,2203
YIL168W,-1,3468,1266,2202,2202
YOR224C,-1,1460,3662,-2202,2202
YJR099W,-1,641,2839,-2198,2198
YGL156W,-1,330,2527,-2197,2197
YNL283C,-1,3017,825,2192,2192
YMR211W,1,35,2225,-2190,2190
YLR160C,-1,4057,1869,2188,2188
YBR082C,-1,2660,472,2188,2188
YDL051W,-1,1857,4043,-2186,2186
YAL024C,-1,2880,694,2186,2186
YOR134W,-1,3943,1759,2184,2184
YGR145W,-1,1934,4116,-2182,2182
YLR341W,-1,4054,1874,2180,2180
YDR168W,-1,887,3067,-2180,2180
YDR044W,-1,3465,1285,2180,2180
YKL012W,-1,1316,3495,-2179,2179
YLR270W,-1,181,2360,-2179,2179
YGL162W,-1,3526,1348,2178,2178
YOL081W,-1,3025,847,2178,2178
YNL098C,-1,229,2407,-2178,2178
YOR270C,-1,3220,1043,2177,2177
YLR442C,-1,1410,3586,-2176,2176
YNL075W,-1,1979,4152,-2173,2173
YOL139C,-1,1769,3941,-2172,2172
YGL166W,-1,1079,3250,-2171,2171
YIL071C,-1,3768,1598,2170,2170
YHL009C,-1,3469,1302,2167,2167
YMR004W,-1,581,2748,-2167,2167
YDL097C,-1,222,2386,-2164,2164
Q0120,-1,4106,1946,2160,2160
YFL034C-A,-1,3673,1514,2159,2159
YGL144C,-1,3164,1006,2158,2158
YPR083W,1,38,2196,-2158,2158
YDL059C,-1,3594,1436,2158,2158
YKR025W,-1,1365,3522,-2157,2157
YGL043W,-1,1859,4015,-2156,2156
YOL021C,-1,1334,3490,-2156,2156
YDR437W,-1,3921,1766,2155,2155
YOR298W,-1,4034,1879,2155,2155
YNL245C,-1,3967,1816,2151,2151
YGR120C,-1,822,2973,-2151,2151
YMR116C,-1,1622,3772,-2150,2150
YMR014W,-1,1692,3842,-2150,2150
YDR170C,-1,3016,867,2149,2149
YGR097W,-1,4123,1975,2148,2148
YDL028C,-1,1870,4018,-2148,2148
YOL004W,-1,2397,251,2146,2146
YDR240C,-1,2868,722,2146,2146
YOL095C,1,24,2169,-2145,2145
YDL226C,-1,2274,130,2144,2144
YHR196W,-1,1917,4060,-2143,2143
YLR181C,-1,1344,3485,-2141,2141
YPR182W,-1,3032,894,2138,2138
YIL009W,-1,1142,3280,-2138,2138
YKL154W,-1,999,3136,-2137,2137
YPL006W,-1,635,2772,-2137,2137
YOL132W,-1,4091,1955,2136,2136
YKR103W,-1,4117,1983,2134,2134
YPL130W,-1,3974,1840,2134,2134
YPL057C,-1,2932,799,2133,2133
YJL071W,-1,2522,389,2133,2133
YFL017W-A,-1,2266,133,2133,2133
YKL197C,-1,3132,999,2133,2133
YDR439W,-1,955,3085,-2130,2130
YJR002W,-1,2055,4184,-2129,2129
YOR068C,-1,4283,2156,2127,2127
YER044C-A,-1,4319,2194,2125,2125
YMR198W,-1,2332,208,2124,2124
YOR255W,-1,4202,2078,2124,2124
YLR210W,-1,565,2689,-2124,2124
YHR055C,-1,4344,2221,2123,2123
YJL115W,-1,3920,1797,2123,2123
YNL194C,-1,3595,1473,2122,2122
YGL061C,-1,879,3000,-2121,2121
YBL006C,-1,2347,227,2120,2120
YMR016C,-1,3336,1217,2119,2119
YBR258C,-1,2352,233,2119,2119
YPR072W,-1,1615,3734,-2119,2119
YPR180W,-1,614,2732,-2118,2118
YJL178C,-1,2640,523,2117,2117
YKL080W,-1,1619,3736,-2117,2117
YBL098W,-1,2789,673,2116,2116
YPR055W,-1,783,2898,-2115,2115
YGR089W,-1,3231,1117,2114,2114
YPL012W,-1,2057,4168,-2111,2111
YKL165C,-1,2973,864,2109,2109
YOR191W,-1,680,2788,-2108,2108
YMR013C,-1,2938,830,2108,2108
YNR031C,-1,2752,645,2107,2107
YGR260W,-1,4093,1989,2104,2104
YHR164C,-1,2690,586,2104,2104
YBR265W,-1,2491,388,2103,2103
YGR175C,-1,2514,411,2103,2103
YOL100W,-1,640,2742,-2102,2102
YMR318C,-1,1972,4070,-2098,2098
YGR272C,-1,4354,2257,2097,2097
YPL123C,-1,373,2470,-2097,2097
YOR075W,-1,1955,4050,-2095,2095
YIL167W,-1,3928,1834,2094,2094
YDR045C,-1,1236,3329,-2093,2093
YGL255W,-1,963,3055,-2092,2092
YNL180C,-1,3532,1441,2091,2091
YPL274W,-1,3141,1051,2090,2090
YPL152W,-1,485,2574,-2089,2089
YIL090W,-1,3275,1188,2087,2087
YML047C,-1,4087,2001,2086,2086
YHR175W,-1,1555,3641,-2086,2086
YOL088C,-1,371,2457,-2086,2086
YGL249W,-1,4134,2049,2085,2085
YIL153W,-1,2480,395,2085,2085
YOR171C,-1,523,2608,-2085,2085
YLR390W-A,-1,3945,1861,2084,2084
YGR065C,-1,735,2819,-2084,2084
YFR004W,-1,454,2537,-2083,2083
YOR119C,-1,544,2627,-2083,2083
YDR395W,-1,1397,3480,-2083,2083
YLR447C,-1,1377,3459,-2082,2082
YDR138W,-1,1981,4063,-2082,2082
YLL035W,-1,996,3076,-2080,2080
YBR210W,-1,2349,269,2080,2080
YPL248C,-1,3503,1423,2080,2080
YCL040W,-1,320,2399,-2079,2079
YJL035C,-1,3379,1300,2079,2079
YNL233W,-1,2193,115,2078,2078
YHR044C,-1,4173,2095,2078,2078
YKL088W,-1,3852,1777,2075,2075
YMR236W,-1,1592,3667,-2075,2075
YDR453C,-1,1393,3465,-2072,2072
YLL005C,-1,4019,1950,2069,2069
YDL246C,-1,4130,2062,2068,2068
YKL188C,-1,446,2512,-2066,2066
YIL035C,-1,1588,3653,-2065,2065
YKL138C-A,-1,4403,2338,2065,2065
YDR469W,-1,1534,3596,-2062,2062
YER006W,-1,2048,4108,-2060,2060
YPR185W,-1,3556,1496,2060,2060
YKL189W,-1,1939,3999,-2060,2060
YOR038C,-1,1363,3422,-2059,2059
YOR359W,-1,3542,1484,2058,2058
YLR097C,-1,795,2848,-2053,2053
YLL039C,-1,245,2298,-2053,2053
YJL173C,-1,1942,3994,-2052,2052
YLL002W,-1,710,2761,-2051,2051
YOR233W,-1,1249,3299,-2050,2050
YPL153C,-1,3593,1545,2048,2048
YOR064C,-1,489,2536,-2047,2047
YNR051C,-1,2573,529,2044,2044
YOR275C,-1,540,2583,-2043,2043
YER089C,-1,2316,275,2041,2041
YOR180C,-1,4092,2052,2040,2040
YFR003C,-1,287,2327,-2040,2040
YHR066W,-1,1607,3647,-2040,2040
Q0055,-1,3971,1932,2039,2039
YDR353W,-1,1998,4037,-2039,2039
YKR092C,-1,1039,3078,-2039,2039
YOR377W,-1,2869,831,2038,2038
YJL117W,-1,3668,1632,2036,2036
YMR169C,-1,269,2305,-2036,2036
YER173W,-1,1379,3414,-2035,2035
YER179W,-1,3510,1477,2033,2033
YGR054W,-1,3918,1885,2033,2033
YGL123W,-1,1775,3805,-2030,2030
YCR020C,1,52,2080,-2028,2028
YOL063C,-1,413,2441,-2028,2028
YER172C,-1,1991,4019,-2028,2028
YKL146W,-1,499,2526,-2027,2027
YOR046C,-1,2075,4100,-2025,2025
YEL018W,-1,1411,3434,-2023,2023
YGR091W,-1,928,2950,-2022,2022
YER083C,-1,2061,40,2021,2021
YBL027W,-1,2576,557,2019,2019
YOR007C,-1,2777,758,2019,2019
YGR282C,-1,2650,632,2018,2018
YPL179W,-1,3179,1162,2017,2017
YML088W,-1,3602,1586,2016,2016
YML068W,-1,525,2541,-2016,2016
YEL055C,-1,1509,3525,-2016,2016
YER061C,-1,3081,1066,2015,2015
YFR050C,-1,329,2343,-2014,2014
YPR001W,-1,1536,3550,-2014,2014
YMR028W,-1,1083,3097,-2014,2014
YMR106C,-1,3121,1108,2013,2013
YLL063C,-1,4100,2087,2013,2013
YKL198C,-1,4278,2269,2009,2009
YBR238C,-1,4028,2019,2009,2009
YMR123W,-1,3560,1551,2009,2009
YJL139C,-1,3177,1169,2008,2008
YDL168W,-1,2040,4047,-2007,2007
YIL002C,-1,3010,1003,2007,2007
YMR184W,-1,2851,845,2006,2006
YPL121C,-1,4086,2081,2005,2005
YHR170W,-1,2191,4196,-2005,2005
YMR161W,-1,3765,1762,2003,2003
YIL077C,-1,2351,349,2002,2002
YEL040W,-1,1019,3021,-2002,2002
YMR250W,-1,490,2491,-2001,2001
YDL084W,-1,2004,4002,-1998,1998
YKL164C,-1,2562,564,1998,1998
YJR025C,-1,3372,1375,1997,1997
YGL001C,-1,2380,383,1997,1997
YPL122C,-1,1398,3394,-1996,1996
Q0065,-1,3817,1822,1995,1995
YBR010W,-1,2018,4010,-1992,1992
YJR078W,-1,1513,3500,-1987,1987
YGL030W,-1,2059,4045,-1986,1986
YGR274C,-1,1967,3953,-1986,1986
YFL025C,-1,3264,1278,1986,1986
YNR053C,-1,1928,3913,-1985,1985
YDR496C,-1,1884,3869,-1985,1985
YJR060W,-1,2621,636,1985,1985
YDL090C,-1,2584,604,1980,1980
YDL130W,-1,3210,1231,1979,1979
YJL073W,-1,2490,511,1979,1979
YDR120C,0,2084,4062,-1978,1978
YGR059W,-1,4292,2315,1977,1977
YJL002C,-1,2158,4132,-1974,1974
YDL212W,-1,1501,3474,-1973,1973
YHR110W,-1,352,2325,-1973,1973
YJR006W,-1,1105,3077,-1972,1972
YMR177W,-1,2774,803,1971,1971
YAL044C,-1,2983,1012,1971,1971
YDL055C,-1,3102,1133,1969,1969
YJR095W,-1,2914,950,1964,1964
YML043C,-1,1893,3857,-1964,1964
YCR020C-A,-1,3154,1190,1964,1964
YCR032W,-1,1066,3028,-1962,1962
YKR054C,-1,2541,580,1961,1961
YOR336W,-1,1161,3122,-1961,1961
YDR052C,-1,2042,4003,-1961,1961
YMR223W,-1,1846,3806,-1960,1960
YER014W,-1,2679,723,1956,1956
YDR213W,-1,3717,1761,1956,1956
YKL096W,-1,3297,1342,1955,1955
YJL100W,-1,730,2684,-1954,1954
YLR020C,-1,604,2558,-1954,1954
YOR356W,-1,2109,155,1954,1954
YDR468C,-1,253,2206,-1953,1953
YPR201W,-1,4124,2172,1952,1952
YPR171W,-1,2003,51,1952,1952
YGR166W,-1,2353,402,1951,1951
YPL076W,-1,4038,2088,1950,1950
YLR120C,-1,1437,3387,-1950,1950
YDR490C,-1,1082,3030,-1948,1948
YDR097C,-1,2788,840,1948,1948
YAL019W,-1,1627,3575,-1948,1948
YJL109C,-1,2180,4127,-1947,1947
YNL094W,-1,780,2726,-1946,1946
YLR015W,-1,2199,4145,-1946,1946
YJL050W,-1,948,2893,-1945,1945
YCR052W,-1,1755,3699,-1944,1944
YOR303W,-1,3963,2020,1943,1943
YCL050C,-1,3613,1672,1941,1941
YGL076C,-1,1977,3918,-1941,1941
YOL002C,-1,2582,642,1940,1940
YNL141W,-1,2141,4081,-1940,1940
YBR298C,-1,2105,4042,-1937,1937
YNL110C,-1,2087,4023,-1936,1936
YJL174W,-1,3251,1316,1935,1935
YML085C,-1,2395,460,1935,1935
YOL103W,-1,1057,2991,-1934,1934
YMR294W,-1,2518,585,1933,1933
YHR148W,-1,2169,4102,-1933,1933
YKR093W,-1,3250,1318,1932,1932
YDR350C,-1,506,2435,-1929,1929
YKR059W,-1,3831,1903,1928,1928
YCL048W,-1,3893,1966,1927,1927
YNL262W,-1,1488,3415,-1927,1927
YDR472W,-1,2704,778,1926,1926
YDL056W,-1,1647,3572,-1925,1925
YOR308C,-1,1640,3564,-1924,1924
YMR073C,-1,2711,787,1924,1924
YLR254C,-1,3522,1599,1923,1923
YBR198C,-1,2439,516,1923,1923
YDR122W,-1,211,2133,-1922,1922
YDR190C,-1,1730,3651,-1921,1921
YJR070C,-1,1347,3268,-1921,1921
YPL151C,-1,1495,3416,-1921,1921
YJL034W,-1,2364,444,1920,1920
YGR040W,-1,1757,3674,-1917,1917
YMR061W,-1,3290,1373,1917,1917
YKR099W,-1,3830,1913,1917,1917
YHR096C,-1,1077,2993,-1916,1916
YMR288W,-1,548,2463,-1915,1915
YML057W,-1,200,2115,-1915,1915
YPL037C,-1,3090,1175,1915,1915
YPR141C,-1,2418,504,1914,1914
YDL232W,-1,1603,3516,-1913,1913
YML005W,-1,3258,1346,1912,1912
YJL110C,-1,3486,1574,1912,1912
YNL329C,-1,2469,558,1911,1911
YIL150C,-1,1414,3325,-1911,1911
YDR419W,-1,3864,1953,1911,1911
YNL088W,-1,1951,3861,-1910,1910
YMR025W,-1,1111,3020,-1909,1909
YBR256C,-1,915,2824,-1909,1909
YHL043W,-1,4011,2102,1909,1909
YDL043C,-1,1537,3445,-1908,1908
YOR361C,-1,655,2563,-1908,1908
YHR069C,-1,1584,3489,-1905,1905
YKL221W,-1,3954,2050,1904,1904
YHR197W,-1,2131,4034,-1903,1903
YGL207W,-1,2280,4183,-1903,1903
YOL086C,-1,3802,1899,1903,1903
YOL101C,-1,2551,651,1900,1900
YPL200W,-1,3877,1978,1899,1899
YIR011C,-1,3581,1683,1898,1898
YMR270C,-1,738,2636,-1898,1898
YAL022C,-1,2545,649,1896,1896
YOR243C,-1,1589,3483,-1894,1894
YHL035C,-1,1819,3712,-1893,1893
YHR122W,-1,3229,1337,1892,1892
YLR345W,-1,3078,1187,1891,1891
YER149C,-1,2032,141,1891,1891
YJL103C,-1,289,2179,-1890,1890
YNR044W,-1,2162,4052,-1890,1890
YNL148C,-1,4031,2142,1889,1889
YML076C,-1,2282,397,1885,1885
YJL127C,-1,2528,643,1885,1885
YMR149W,-1,2785,901,1884,1884
YKL054C,-1,2908,1029,1879,1879
YER105C,-1,1751,3629,-1878,1878
YKR088C,-1,2214,4091,-1877,1877
YCR018C,-1,4154,2277,1877,1877
YLR248W,-1,1298,3174,-1876,1876
YJR123W,-1,2215,4090,-1875,1875
YDR460W,-1,661,2533,-1872,1872
YOR002W,-1,2433,562,1871,1871
YOR003W,-1,601,2472,-1871,1871
YKL112W,-1,1246,3115,-1869,1869
YKL034W,-1,828,2696,-1868,1868
YLR180W,-1,2981,1114,1867,1867
YLR033W,-1,1202,3069,-1867,1867
YGR245C,-1,2295,4161,-1866,1866
YPR070W,-1,1925,3790,-1865,1865
YDR229W,-1,1778,3643,-1865,1865
YDR077W,1,243,2108,-1865,1865
YOL018C,-1,550,2414,-1864,1864
YFR053C,-1,418,2282,-1864,1864
YML066C,-1,3683,1820,1863,1863
YMR129W,-1,706,2569,-1863,1863
YDR224C,-1,1814,3677,-1863,1863
YIL154C,-1,2220,358,1862,1862
YBR196C,-1,2846,985,1861,1861
YLR453C,-1,3388,1529,1859,1859
YDR176W,-1,2315,4174,-1859,1859
Q0160,-1,3676,1819,1857,1857
YDR075W,-1,3287,1430,1857,1857
YKR010C,-1,2423,566,1857,1857
YPL016W,-1,1984,3840,-1856,1856
YHR036W,-1,1736,3591,-1855,1855
YNL167C,-1,389,2243,-1854,1854
YLR213C,-1,3621,1768,1853,1853
YPR052C,-1,2154,4007,-1853,1853
YOR113W,-1,503,2356,-1853,1853
YDR356W,-1,2835,982,1853,1853
YGL011C,-1,628,2478,-1850,1850
YLR222C,-1,1880,3730,-1850,1850
YDL207W,-1,3062,1212,1850,1850
YKR014C,-1,427,2276,-1849,1849
YER091C,-1,3269,1420,1849,1849
YOL006C,-1,2830,981,1849,1849
YDR089W,-1,3767,1920,1847,1847
YKL172W,-1,1559,3405,-1846,1846
YNL175C,-1,1293,3139,-1846,1846
YOR230W,-1,861,2705,-1844,1844
YBL008W,-1,2309,465,1844,1844
YLR346C,-1,2860,1017,1843,1843
YMR235C,-1,357,2200,-1843,1843
YKL185W,-1,2526,684,1842,1842
YGR128C,-1,1839,3681,-1842,1842
YPR198W,-1,4064,2223,1841,1841
YBR084W,-1,2045,206,1839,1839
YKL067W,-1,119,1958,-1839,1839
YNR043W,-1,2161,322,1839,1839
YCL054W,-1,2273,4111,-1838,1838
YOL039W,-1,3530,1692,1838,1838
YPR026W,-1,311,2148,-1837,1837
YLR385C,-1,4097,2260,1837,1837
YOR290C,-1,2304,4140,-1836,1836
YCR017C,-1,3671,1837,1834,1834
YNR064C,-1,3818,1986,1832,1832
YNL210W,-1,4159,2328,1831,1831
YAL001C,-1,3565,1737,1828,1828
YDR287W,-1,765,2593,-1828,1828
YKL190W,-1,2502,674,1828,1828
YDR074W,-1,172,1998,-1826,1826
YHR026W,-1,2612,786,1826,1826
YNL293W,-1,214,2039,-1825,1825
YLR303W,-1,1076,2901,-1825,1825
YPR010C,-1,1922,3747,-1825,1825
YGR264C,-1,1235,3059,-1824,1824
YNL318C,-1,3898,2075,1823,1823
YGL244W,-1,2305,4128,-1823,1823
YLR010C,-1,2814,993,1821,1821
YMR163C,-1,3085,1265,1820,1820
YBR158W,-1,2620,801,1819,1819
YOR241W,-1,448,2266,-1818,1818
YPL255W,-1,2355,4173,-1818,1818
YGL112C,-1,1886,3704,-1818,1818
YLR196W,-1,1527,3344,-1817,1817
YAR050W,-1,4192,2376,1816,1816
YDR480W,-1,3419,1603,1816,1816
YLR221C,-1,802,2617,-1815,1815
YFL004W,-1,1752,3566,-1814,1814
YNL113W,-1,1894,3708,-1814,1814
YLR240W,-1,477,2291,-1814,1814
YGL197W,-1,3658,1844,1814,1814
YMR081C,-1,2103,3916,-1813,1813
YDL031W,-1,2104,3917,-1813,1813
YCR091W,-1,1626,3436,-1810,1810
YDR299W,-1,2111,3921,-1810,1810
YLR226W,-1,2178,3987,-1809,1809
YGR122W,-1,3196,1387,1809,1809
YCL014W,-1,926,2733,-1807,1807
YKR102W,-1,4069,2262,1807,1807
YGR286C,-1,2544,737,1807,1807
YLR109W,-1,2665,859,1806,1806
YIR018W,-1,3318,1512,1806,1806
YOR276W,-1,904,2709,-1805,1805
YEL002C,-1,2126,3931,-1805,1805
YHR143W-A,-1,325,2130,-1805,1805
YBR271W,-1,2725,920,1805,1805
YPL081W,-1,1787,3590,-1803,1803
YOR362C,-1,252,2053,-1801,1801
YLR276C,-1,1747,3547,-1800,1800
YLR207W,-1,1367,3167,-1800,1800
YGR155W,-1,3424,1625,1799,1799
YBR153W,-1,2011,212,1799,1799
YGL192W,-1,3937,2139,1798,1798
YGR094W,-1,417,2215,-1798,1798
YGL120C,-1,2287,4085,-1798,1798
YNR012W,-1,1468,3266,-1798,1798
YBR111W-A,-1,4165,2368,1797,1797
YAR007C,-1,1945,3742,-1797,1797
YIL072W,-1,4075,2278,1797,1797
YOR332W,-1,2608,811,1797,1797
YDR363W-A,-1,1944,3740,-1796,1796
YKL073W,-1,2442,647,1795,1795
YER049W,-1,872,2667,-1795,1795
YDR034C,-1,3254,1460,1794,1794
YJR010C-A,-1,2185,393,1792,1792
YOR148C,-1,3259,1468,1791,1791
YOR190W,-1,3847,2056,1791,1791
YMR314W,-1,313,2104,-1791,1791
YGL213C,-1,1073,2864,-1791,1791
YBR167C,-1,1875,86,1789,1789
YNL317W,-1,1391,3179,-1788,1788
YBR188C,-1,2164,377,1787,1787
YPR019W,-1,543,2329,-1786,1786
YML093W,-1,1952,3738,-1786,1786
YLR459W,-1,1810,3594,-1784,1784
YDR163W,-1,2034,3817,-1783,1783
YPR200C,-1,3605,1823,1782,1782
YGL075C,-1,4051,2270,1781,1781
YBR110W,-1,1985,205,1780,1780
YBR011C,-1,2299,520,1779,1779
YJL076W,-1,1868,3646,-1778,1778
YMR001C,-1,1571,3348,-1777,1777
YOL125W,-1,647,2422,-1775,1775
YPL171C,-1,1929,3703,-1774,1774
YJR083C,-1,733,2507,-1774,1774
YMR263W,-1,2133,359,1774,1774
YFR034C,-1,4211,2437,1774,1774
YKL193C,-1,212,1985,-1773,1773
YOL094C,-1,959,2731,-1772,1772
YDR368W,-1,567,2335,-1768,1768
YDL006W,1,32,1800,-1768,1768
YBR135W,-1,2519,751,1768,1768
YJL053W,-1,340,2107,-1767,1767
YPL188W,-1,2190,423,1767,1767
YIL078W,-1,1123,2889,-1766,1766
YNR047W,-1,1418,3182,-1764,1764
YLR426W,-1,3860,2096,1764,1764
YKL210W,-1,859,2620,-1761,1761
YLR452C,-1,3374,1616,1758,1758
YMR316W,-1,4022,2265,1757,1757
YML128C,-1,149,1906,-1757,1757
YBR231C,-1,2977,1220,1757,1757
YDR273W,-1,4008,2253,1755,1755
YPR074C,-1,339,2093,-1754,1754
YBR243C,-1,2291,538,1753,1753
YDR263C,-1,3927,2175,1752,1752
YBR195C,-1,2117,365,1752,1752
YNR067C,-1,2558,809,1749,1749
YNL151C,-1,1761,3508,-1747,1747
YGR179C,-1,1373,3120,-1747,1747
YJR140C,-1,1184,2930,-1746,1746
YMR017W,-1,4006,2261,1745,1745
YDL108W,-1,1779,3523,-1744,1744
YCR063W,-1,3740,1996,1744,1744
YNL253W,-1,1118,2861,-1743,1743
YNL192W,-1,1824,82,1742,1742
YHR050W,-1,1302,3042,-1740,1740
YPL146C,-1,2221,3961,-1740,1740
YFR037C,-1,1765,3504,-1739,1739
YDR009W,-1,1591,3330,-1739,1739
YCL032W,-1,553,2292,-1739,1739
YJR105W,-1,2069,3807,-1738,1738
YGR246C,-1,1194,2931,-1737,1737
YOR319W,-1,2257,521,1736,1736
YOR249C,-1,1699,3433,-1734,1734
YFR045W,-1,2779,1046,1733,1733
YKL051W,-1,3741,2008,1733,1733
YGL033W,-1,4208,2476,1732,1732
YCL026C-A,-1,4062,2331,1731,1731
YLR016C,-1,3184,1454,1730,1730
YPR065W,-1,3596,1867,1729,1729
YJL090C,-1,1661,3389,-1728,1728
YDR412W,-1,1656,3384,-1728,1728
YIL117C,-1,3052,1324,1728,1728
YDR531W,-1,3666,1939,1727,1727
YBL002W,-1,1441,3166,-1725,1725
YBR117C,-1,1420,3145,-1725,1725
YJL062W,-1,3277,1552,1725,1725
YKR081C,-1,2372,4097,-1725,1725
YNL201C,-1,2146,3870,-1724,1724
YGR118W,-1,2242,3965,-1723,1723
YLR002C,-1,1943,3666,-1723,1723
YOL126C,-1,2267,545,1722,1722
YGR230W,-1,1149,2870,-1721,1721
YGL104C,-1,1485,3206,-1721,1721
YIL159W,-1,3268,1548,1720,1720
YJL125C,-1,1530,3247,-1717,1717
YBL011W,-1,2224,507,1717,1717
YDR485C,-1,3080,1364,1716,1716
YDR362C,-1,986,2702,-1716,1716
YGR277C,-1,3069,1356,1713,1713
YDL099W,-1,2302,4014,-1712,1712
YJR016C,-1,2150,438,1712,1712
YEL064C,-1,3200,1489,1711,1711
YOR179C,-1,673,2384,-1711,1711
YLR060W,-1,980,2690,-1710,1710
YNL229C,-1,650,2357,-1707,1707
YLR262C,-1,2462,755,1707,1707
YCR044C,-1,2540,834,1706,1706
YDL213C,-1,2058,3764,-1706,1706
YLL017W,-1,3569,1863,1706,1706
YGL087C,-1,205,1911,-1706,1706
YML051W,-1,3457,1752,1705,1705
YML004C,-1,136,1838,-1702,1702
YGL150C,-1,2559,858,1701,1701
YGR209C,-1,504,2204,-1700,1700
YDR212W,-1,2881,1181,1700,1700
YMR062C,-1,2724,1024,1700,1700
YOR103C,-1,1443,3142,-1699,1699
YLR014C,-1,1147,2845,-1698,1698
YMR218C,-1,1799,3496,-1697,1697
YML074C,-1,2457,761,1696,1696
YBL020W,-1,2206,510,1696,1696
YJR109C,-1,3191,1497,1694,1694
YDR418W,-1,2333,4027,-1694,1694
YIL010W,-1,688,2380,-1692,1692
YLR197W,-1,2108,3800,-1692,1692
YDR279W,-1,2060,3751,-1691,1691
YIL121W,-1,3482,1791,1691,1691
YLR435W,-1,1197,2887,-1690,1690
YPL019C,-1,1738,3426,-1688,1688
YMR201C,-1,1018,2706,-1688,1688
YBR041W,-1,2281,594,1687,1687
YPR121W,-1,3823,2138,1685,1685
YPL164C,-1,794,2475,-1681,1681
YOL111C,-1,2568,887,1681,1681
YDR159W,-1,2373,692,1681,1681
YEL057C,-1,3606,1925,1681,1681
YBR161W,-1,1899,218,1681,1681
YDR191W,-1,3366,1686,1680,1680
YBR043C,-1,3096,1416,1680,1680
YOR100C,-1,3104,1424,1680,1680
YPR104C,-1,1836,3514,-1678,1678
YPL011C,-1,1843,3521,-1678,1678
YDL052C,-1,1036,2713,-1677,1677
YBR279W,-1,2792,1115,1677,1677
YDL015C,-1,2345,4022,-1677,1677
YJR108W,-1,3857,2181,1676,1676
YHR138C,-1,3924,2248,1676,1676
YOR129C,-1,3187,1511,1676,1676
YKL086W,-1,3024,1349,1675,1675
YMR047C,-1,2429,4103,-1674,1674
YJL187C,-1,2362,689,1673,1673
YJL005W,-1,616,2289,-1673,1673
YGR048W,-1,322,1993,-1671,1671
YLR003C,-1,1432,3103,-1671,1671
YPL085W,-1,2013,3684,-1671,1671
YJR131W,-1,3608,1937,1671,1671
YOR030W,-1,3475,1804,1671,1671
YGL178W,-1,3800,2132,1668,1668
