Gene,+/0/-,430Net rank,MEFIT rank,Difference (430Net-MEFIT),Absoulte Difference
YKL043W,-1,4147,2356,1791,1791
YEL034W,-1,2957,1167,1790,1790
YOL100W,-1,640,2430,-1790,1790
YLR029C,-1,2419,631,1788,1788
YDL074C,-1,2089,303,1786,1786
YLR455W,-1,3209,1426,1783,1783
YDR224C,-1,1814,36,1778,1778
YFL026W,-1,3801,2024,1777,1777
YMR088C,-1,3729,1954,1775,1775
YGL163C,-1,1081,2856,-1775,1775
YGR163W,-1,636,2408,-1772,1772
YJL111W,-1,2307,536,1771,1771
YDR160W,-1,1426,3196,-1770,1770
YER127W,-1,1403,3173,-1770,1770
YBR117C,-1,1420,3189,-1769,1769
YGR036C,-1,3824,2055,1769,1769
YPR184W,-1,960,2728,-1768,1768
YOL077C,-1,2453,685,1768,1768
YGR105W,-1,2216,448,1768,1768
YML111W,-1,3603,1838,1765,1765
YNL022C,-1,3358,1593,1765,1765
YLR227C,-1,3562,1798,1764,1764
YHR152W,-1,3359,1598,1761,1761
YIL049W,-1,3422,1664,1758,1758
YLR196W,-1,1527,3284,-1757,1757
YJL045W,-1,3524,1771,1753,1753
YPL096W,-1,436,2188,-1752,1752
YER016W,-1,3502,1751,1751,1751
YLR020C,-1,604,2355,-1751,1751
YER119C,-1,563,2311,-1748,1748
YIL142W,-1,2902,1155,1747,1747
YPR165W,-1,2002,255,1747,1747
YDR234W,-1,1486,3231,-1745,1745
YOR027W,-1,934,2679,-1745,1745
YLL060C,-1,1659,3404,-1745,1745
YKR030W,-1,2561,821,1740,1740
YBR283C,-1,3083,1344,1739,1739
YGR091W,-1,928,2667,-1739,1739
YLR245C,-1,4017,2280,1737,1737
YAL035W,-1,3452,1717,1735,1735
YDR490C,-1,1082,2816,-1734,1734
YDR440W,-1,882,2616,-1734,1734
YBR058C-A,-1,670,2402,-1732,1732
YPL125W,-1,2815,1083,1732,1732
YBR085W,-1,3648,1917,1731,1731
YDR059C,-1,256,1985,-1729,1729
YLR126C,-1,3839,2111,1728,1728
YDR195W,-1,3310,1582,1728,1728
YDL082W,-1,2735,1010,1725,1725
YLL028W,-1,3393,1668,1725,1725
YJL168C,-1,2823,1099,1724,1724
YEL057C,-1,3606,1883,1723,1723
YPL219W,-1,1023,2746,-1723,1723
YHR072W-A,-1,4163,2442,1721,1721
YDR013W,-1,2093,373,1720,1720
YDL133C-A,-1,4135,2418,1717,1717
YGL014W,-1,1002,2719,-1717,1717
YBL082C,-1,3806,2093,1713,1713
YLR075W,-1,3176,1464,1712,1712
YPL187W,-1,3991,2279,1712,1712
YMR030W,-1,838,2550,-1712,1712
YER074W-A,-1,4129,2419,1710,1710
YPL180W,-1,1680,3389,-1709,1709
YBR234C,1,78,1785,-1707,1707
YMR207C,-1,1669,3375,-1706,1706
YBR079C,-1,1070,2775,-1705,1705
YHR132C,-1,1011,2715,-1704,1704
YGR070W,-1,771,2474,-1703,1703
YPL106C,-1,3883,2180,1703,1703
YDR189W,-1,2555,852,1703,1703
YKL056C,-1,1987,285,1702,1702
YOR106W,-1,2948,1247,1701,1701
YPL211W,-1,1898,197,1701,1701
YGR089W,-1,3231,1531,1700,1700
YDR294C,-1,798,2497,-1699,1699
YJR009C,-1,3425,1726,1699,1699
YGL211W,-1,1714,3410,-1696,1696
YPR032W,-1,1700,3396,-1696,1696
YNL247W,-1,3130,1434,1696,1696
YOR005C,-1,606,2301,-1695,1695
YDR435C,-1,208,1902,-1694,1694
YKR039W,-1,3836,2142,1694,1694
YNL147W,-1,2369,675,1694,1694
YPL120W,-1,608,2302,-1694,1694
YIL019W,-1,1022,2713,-1691,1691
YLR328W,-1,2327,637,1690,1690
Q0050,-1,4084,2398,1686,1686
Q0120,-1,4106,2420,1686,1686
YIL125W,-1,157,1841,-1684,1684
YIL096C,-1,3333,1650,1683,1683
YMR131C,-1,1378,3061,-1683,1683
YHR096C,-1,1077,2760,-1683,1683
YKL130C,-1,2695,1012,1683,1683
YKL209C,-1,3708,2026,1682,1682
YDR173C,-1,3224,1543,1681,1681
YOL145C,-1,2445,764,1681,1681
YNL219C,-1,3961,2281,1680,1680
YBR153W,-1,2011,332,1679,1679
YOL123W,-1,3383,1704,1679,1679
YIL140W,-1,3328,1649,1679,1679
YKL058W,-1,1716,37,1679,1679
YER112W,-1,2444,766,1678,1678
YGL006W,-1,496,2173,-1677,1677
YPL031C,-1,192,1868,-1676,1676
YFL030W,-1,242,1916,-1674,1674
YLR028C,-1,421,2094,-1673,1673
YGR065C,-1,735,2407,-1672,1672
YEL011W,-1,1037,2707,-1670,1670
YML004C,-1,136,1804,-1668,1668
YMR004W,-1,581,2247,-1666,1666
YOL165C,-1,3559,1893,1666,1666
YER074W,-1,2083,418,1665,1665
Q0045,-1,4036,2371,1665,1665
YDR452W,-1,674,2338,-1664,1664
YDL142C,1,50,1711,-1661,1661
YLR384C,-1,1388,3048,-1660,1660
YPR037C,-1,2577,918,1659,1659
YBR036C,-1,545,2202,-1657,1657
YGL170C,-1,4176,2519,1657,1657
YCR024C-A,-1,2507,850,1657,1657
YLR032W,-1,3993,2337,1656,1656
YKR008W,-1,2358,702,1656,1656
YOR340C,-1,1454,3108,-1654,1654
YLR275W,-1,3396,1744,1652,1652
YML046W,-1,1668,3319,-1651,1651
YLR251W,-1,384,2033,-1649,1649
YHL020C,-1,1995,348,1647,1647
YMR112C,-1,1906,261,1645,1645
YLR381W,-1,1265,2910,-1645,1645
YOL119C,-1,1644,3288,-1644,1644
YJR131W,-1,3608,1964,1644,1644
YML006C,-1,3370,1727,1643,1643
YFL060C,-1,4066,2423,1643,1643
YDL077C,-1,824,2465,-1641,1641
YGL004C,-1,687,2325,-1638,1638
YJR135W-A,1,2,1640,-1638,1638
YLR013W,-1,4182,2544,1638,1638
YPL008W,-1,2520,883,1637,1637
YBR175W,-1,2745,1108,1637,1637
YNL258C,-1,2579,943,1636,1636
YKR097W,-1,1577,3213,-1636,1636
YDR065W,-1,2934,1299,1635,1635
YEL004W,-1,3249,1614,1635,1635
YKR101W,-1,1341,2975,-1634,1634
YPL048W,-1,3030,1398,1632,1632
YNL066W,1,1254,2881,-1627,1627
YMR274C,-1,2386,759,1627,1627
YGL029W,-1,3031,1405,1626,1626
YHR074W,-1,993,2618,-1625,1625
YLR383W,-1,989,2614,-1625,1625
YJL020C,-1,510,2134,-1624,1624
YGR193C,-1,382,2006,-1624,1624
YKL006C-A,-1,1720,98,1622,1622
YJR132W,-1,1602,3224,-1622,1622
YHR021W-A,-1,4373,2757,1616,1616
YKL186C,-1,3427,1811,1616,1616
YER053C,-1,159,1773,-1614,1614
YCR052W,-1,1755,3368,-1613,1613
YHR123W,-1,3138,1526,1612,1612
YLR148W,-1,3747,2135,1612,1612
YIL097W,-1,206,1817,-1611,1611
YGR088W,-1,768,2379,-1611,1611
YPR128C,-1,3311,1702,1609,1609
YER087C-B,-1,3795,2187,1608,1608
YOL124C,-1,846,2454,-1608,1608
YGL111W,-1,1244,2851,-1607,1607
YPR198W,-1,4064,2458,1606,1606
YGL171W,-1,952,2558,-1606,1606
YJR130C,-1,1315,2920,-1605,1605
YKR025W,-1,1365,2970,-1605,1605
YNR035C,1,58,1663,-1605,1605
YJR123W,-1,2215,611,1604,1604
YDL132W,-1,810,2413,-1603,1603
YDR092W,-1,2808,1205,1603,1603
YNL030W,-1,1657,55,1602,1602
YML021C,-1,2234,632,1602,1602
YJL145W,-1,2677,1076,1601,1601
YIL119C,-1,4132,2532,1600,1600
YOR108W,-1,1300,2899,-1599,1599
YJL002C,-1,2158,559,1599,1599
YDL198C,1,73,1671,-1598,1598
YDL119C,-1,3575,1978,1597,1597
YAL012W,-1,3675,2078,1597,1597
YBR016W,-1,1966,369,1597,1597
YBR050C,-1,1538,3135,-1597,1597
Q0105,-1,3968,2372,1596,1596
YBL034C,-1,1228,2819,-1591,1591
YMR237W,-1,575,2166,-1591,1591
YML058W-A,-1,4007,2417,1590,1590
YOR079C,-1,2470,882,1588,1588
YDL145C,-1,1518,3105,-1587,1587
YGL227W,-1,161,1747,-1586,1586
YMR142C,-1,2147,561,1586,1586
YFL034C-A,-1,3673,2088,1585,1585
YER062C,-1,3868,2284,1584,1584
YLR244C,-1,897,2481,-1584,1584
YKR037C,-1,1665,82,1583,1583
YEL017C-A,-1,3787,2207,1580,1580
YLR070C,-1,938,2515,-1577,1577
YIR029W,-1,3107,1532,1575,1575
YIL123W,-1,1290,2865,-1575,1575
YML082W,-1,3215,1641,1574,1574
YPL038W,-1,2289,715,1574,1574
YGR276C,-1,2619,1046,1573,1573
YDR399W,-1,2676,1103,1573,1573
YPL256C,-1,555,2128,-1573,1573
YLR409C,-1,666,2238,-1572,1572
YDL240W,-1,1544,3114,-1570,1570
YDR380W,-1,1308,2877,-1569,1569
YMR052W,-1,3284,1715,1569,1569
YDL047W,-1,2978,1410,1568,1568
YGL013C,-1,1637,3204,-1567,1567
Q0055,-1,3971,2406,1565,1565
YLR350W,-1,631,2196,-1565,1565
YGR221C,-1,3709,2146,1563,1563
YMR300C,-1,3109,1547,1562,1562
YGR275W,-1,1834,272,1562,1562
YGR170W,-1,830,2391,-1561,1561
YOL081W,-1,3025,1465,1560,1560
YGL030W,-1,2059,502,1557,1557
YLR183C,-1,1903,346,1557,1557
YIR002C,-1,1477,3033,-1556,1556
YML065W,-1,812,2367,-1555,1555
YDL124W,-1,3438,1884,1554,1554
YHR031C,1,20,1571,-1551,1551
YDR287W,-1,765,2315,-1550,1550
YJR031C,-1,466,2016,-1550,1550
YLR027C,-1,487,2035,-1548,1548
YGR268C,-1,679,2227,-1548,1548
YAL040C,-1,3803,2256,1547,1547
YLR109W,-1,2665,1121,1544,1544
YLR273C,-1,1305,2845,-1540,1540
YLR150W,-1,2070,531,1539,1539
YMR277W,-1,1098,2636,-1538,1538
YJL030W,-1,2064,527,1537,1537
YEL069C,-1,4171,2634,1537,1537
YKL092C,-1,726,2263,-1537,1537
YNL012W,-1,792,2329,-1537,1537
YDR098C,-1,1455,2992,-1537,1537
YGR040W,-1,1757,3293,-1536,1536
YCR077C,-1,2922,1391,1531,1531
YLR396C,-1,1041,2572,-1531,1531
YBR273C,-1,478,2007,-1529,1529
YOL020W,-1,1916,388,1528,1528
YMR280C,-1,1010,2536,-1526,1526
YMR105C,-1,419,1944,-1525,1525
YDR497C,-1,2405,880,1525,1525
YML131W,-1,3342,1818,1524,1524
YEL013W,-1,1301,2825,-1524,1524
YMR061W,-1,3290,1768,1522,1522
YPR024W,1,79,1600,-1521,1521
YBR162W-A,-1,1678,157,1521,1521
YML007W,-1,400,1921,-1521,1521
YOR284W,-1,2245,724,1521,1521
YLR260W,-1,1294,2814,-1520,1520
YCL059C,-1,2738,1219,1519,1519
YKL054C,-1,2908,1390,1518,1518
YGR256W,-1,1199,2716,-1517,1517
YPR194C,-1,4185,2668,1517,1517
YKL005C,-1,3095,1578,1517,1517
YDL243C,-1,1322,2839,-1517,1517
YNL082W,-1,2893,1377,1516,1516
YKR024C,-1,1001,2516,-1515,1515
YEL015W,-1,2179,665,1514,1514
YHL003C,-1,2323,810,1513,1513
YNL189W,-1,2130,617,1513,1513
YIL131C,-1,724,2237,-1513,1513
YML057W,-1,200,1712,-1512,1512
YDR270W,-1,617,2126,-1509,1509
YJR064W,-1,2592,1084,1508,1508
YFR025C,-1,736,2243,-1507,1507
YPR083W,1,38,1545,-1507,1507
YKL110C,-1,3047,1540,1507,1507
YDR071C,-1,1703,196,1507,1507
YDR030C,-1,1902,3407,-1505,1505
YOR213C,-1,2831,1326,1505,1505
YBR231C,-1,2977,1472,1505,1505
YPR160W,-1,1389,2893,-1504,1504
YHR028C,-1,362,1865,-1503,1503
YKL042W,-1,3099,1597,1502,1502
YKR022C,-1,2560,1059,1501,1501
YJR050W,-1,3148,1647,1501,1501
YBR183W,-1,395,1894,-1499,1499
YPL112C,-1,2024,525,1499,1499
YPL144W,-1,2020,522,1498,1498
YOL089C,-1,1141,2639,-1498,1498
YDR164C,-1,2786,1288,1498,1498
YGL208W,-1,618,2115,-1497,1497
YBR042C,-1,2683,1187,1496,1496
Q0275,-1,3897,2401,1496,1496
YJL076W,-1,1868,3363,-1495,1495
YOL097C,-1,1155,2649,-1494,1494
YPR046W,-1,2263,770,1493,1493
YOR173W,-1,244,1734,-1490,1490
YFL049W,-1,1546,3036,-1490,1490
YBR265W,-1,2491,1003,1488,1488
YPR139C,-1,1771,287,1484,1484
YML043C,-1,1893,3377,-1484,1484
YNL149C,1,1776,293,1483,1483
YMR168C,-1,1828,3311,-1483,1483
YAL044C,-1,2983,1500,1483,1483
YNL298W,-1,1497,2980,-1483,1483
YHR026W,-1,2612,1130,1482,1482
YPL021W,-1,4199,2718,1481,1481
YOL017W,-1,3088,1609,1479,1479
YNL255C,-1,1784,305,1479,1479
YBL098W,-1,2789,1310,1479,1479
YNL241C,-1,308,1786,-1478,1478
YJR035W,-1,1205,2682,-1477,1477
YEL002C,-1,2126,651,1475,1475
YER049W,-1,872,2347,-1475,1475
YOL139C,-1,1769,295,1474,1474
YLR310C,-1,1190,2663,-1473,1473
YBL064C,-1,128,1601,-1473,1473
YBR243C,-1,2291,818,1473,1473
YCR060W,-1,1797,326,1471,1471
YBR102C,-1,1726,3195,-1469,1469
YJL005W,-1,616,2085,-1469,1469
YJR159W,-1,2784,1316,1468,1468
YMR183C,-1,3094,1628,1466,1466
YGR262C,-1,1744,279,1465,1465
YLR436C,-1,577,2041,-1464,1464
YER154W,1,31,1495,-1464,1464
YKL035W,-1,639,2102,-1463,1463
YLR022C,-1,2341,879,1462,1462
YMR268C,-1,2488,1028,1460,1460
YDR356W,-1,2835,1375,1460,1460
YOL052C-A,-1,508,1968,-1460,1460
YBL093C,-1,3977,2517,1460,1460
YFL013C,-1,1957,3413,-1456,1456
YKR031C,-1,1050,2506,-1456,1456
YJL203W,-1,2710,1256,1454,1454
YOR074C,-1,3042,1588,1454,1454
YHR055C,-1,4344,2890,1454,1454
YBR296C,-1,4155,2702,1453,1453
YDR429C,-1,2027,574,1453,1453
YPL148C,-1,2466,1013,1453,1453
YPR113W,-1,2230,778,1452,1452
YPL020C,-1,522,1973,-1451,1451
YBR167C,-1,1875,424,1451,1451
YNL291C,-1,2557,1107,1450,1450
YPL057C,-1,2932,1485,1447,1447
YOL032W,-1,230,1676,-1446,1446
YOR101W,-1,2293,848,1445,1445
YOR386W,-1,1143,2586,-1443,1443
YNL093W,-1,1733,3174,-1441,1441
YLR025W,-1,527,1967,-1440,1440
YML125C,-1,2776,1336,1440,1440
YML098W,-1,3544,2105,1439,1439
YHR039C-A,-1,3282,1845,1437,1437
YHL047C,-1,4037,2600,1437,1437
YBR066C,-1,4103,2666,1437,1437
YLR052W,-1,2066,630,1436,1436
YHR079C-A,-1,4364,2930,1434,1434
YPR017C,-1,2318,884,1434,1434
YNL141W,-1,2141,708,1433,1433
YKR088C,-1,2214,783,1431,1431
YML085C,-1,2395,965,1430,1430
YGL087C,-1,205,1635,-1430,1430
YMR038C,-1,3964,2535,1429,1429
YJL137C,-1,890,2317,-1427,1427
YOR209C,-1,2031,604,1427,1427
YML121W,-1,1969,542,1427,1427
YOL076W,1,375,1801,-1426,1426
YDR483W,-1,3496,2072,1424,1424
YJL010C,-1,1508,2931,-1423,1423
Q0065,-1,3817,2396,1421,1421
YDR074W,-1,172,1592,-1420,1420
YLR376C,-1,3440,2020,1420,1420
YJR063W,-1,1809,390,1419,1419
YJR103W,-1,629,2047,-1418,1418
YMR015C,-1,2530,1115,1415,1415
YGR095C,-1,2314,900,1414,1414
YNL326C,-1,2836,1422,1414,1414
YIL110W,-1,193,1606,-1413,1413
YNL314W,-1,930,2342,-1412,1412
YCR028C-A,1,3,1415,-1412,1412
YPR135W,-1,2492,1080,1412,1412
YDR246W,-1,894,2305,-1411,1411
YDL084W,-1,2004,593,1411,1411
YER125W,-1,2542,1132,1410,1410
YML124C,-1,715,2124,-1409,1409
YKL120W,-1,848,2257,-1409,1409
YIR032C,-1,2465,1057,1408,1408
YIL104C,-1,569,1977,-1408,1408
YER143W,-1,277,1683,-1406,1406
YLR335W,-1,757,2163,-1406,1406
YDR378C,-1,1535,129,1406,1406
YKL064W,-1,719,2125,-1406,1406
YKR009C,-1,1086,2490,-1404,1404
YPL224C,-1,962,2366,-1404,1404
YPL083C,0,390,1793,-1403,1403
YIL149C,-1,2707,1304,1403,1403
YDR272W,-1,396,1799,-1403,1403
YKR095W,-1,3292,1890,1402,1402
YOL052C,-1,1845,445,1400,1400
YER083C,-1,2061,661,1400,1400
YKL048C,-1,1552,2952,-1400,1400
YDR386W,-1,2251,851,1400,1400
YJL029C,-1,2716,1318,1398,1398
YBR001C,-1,455,1853,-1398,1398
YNL331C,-1,1176,2573,-1397,1397
YCL039W,-1,775,2172,-1397,1397
YJR010C-A,-1,2185,788,1397,1397
YFL024C,-1,3646,2250,1396,1396
YLR154C,-1,1575,179,1396,1396
YGR217W,-1,1749,3143,-1394,1394
YMR010W,-1,3808,2414,1394,1394
YDR165W,-1,2875,1482,1393,1393
YER014C-A,-1,4337,2945,1392,1392
YLL052C,-1,4209,2817,1392,1392
YOL002C,-1,2582,1190,1392,1392
YDL060W,-1,1412,2803,-1391,1391
YNL016W,-1,692,2080,-1388,1388
YFR002W,-1,1795,411,1384,1384
YKR004C,-1,3100,1719,1381,1381
YPR056W,-1,2145,765,1380,1380
YDL112W,-1,1013,2393,-1380,1380
YOL129W,-1,130,1509,-1379,1379
YNL007C,-1,1132,2511,-1379,1379
YHR104W,-1,141,1519,-1378,1378
YLR080W,-1,515,1892,-1377,1377
YDR364C,-1,2648,1272,1376,1376
YIR009W,-1,3221,1848,1373,1373
YDL171C,-1,1850,3222,-1372,1372
YOR239W,-1,667,2039,-1372,1372
YGL200C,-1,1471,108,1363,1363
YPL001W,-1,1782,420,1362,1362
YER030W,-1,1400,38,1362,1362
YDR453C,-1,1393,2754,-1361,1361
YNR051C,-1,2573,1212,1361,1361
YBR133C,-1,1572,2932,-1360,1360
YMR033W,-1,399,1758,-1359,1359
YLL004W,-1,2132,774,1358,1358
YER148W,-1,1735,378,1357,1357
YDR457W,-1,2917,1561,1356,1356
YJL212C,-1,4046,2691,1355,1355
YJL100W,-1,730,2084,-1354,1354
YOR196C,-1,368,1722,-1354,1354
YNL281W,-1,2371,1018,1353,1353
YGL226C-A,-1,2852,1501,1351,1351
YMR156C,-1,853,2203,-1350,1350
YCL018W,-1,2627,1278,1349,1349
YDR498C,-1,2799,1450,1349,1349
YOR234C,-1,1654,306,1348,1348
YOL018C,-1,550,1897,-1347,1347
YJL155C,-1,310,1656,-1346,1346
YHR133C,-1,1909,564,1345,1345
YMR093W,-1,978,2323,-1345,1345
YHR135C,-1,2595,1251,1344,1344
YHR062C,-1,463,1806,-1343,1343
YGR278W,-1,3905,2562,1343,1343
YNL161W,-1,1704,3046,-1342,1342
YKL149C,-1,2222,881,1341,1341
YCL031C,-1,2125,786,1339,1339
YJR059W,-1,260,1596,-1336,1336
YLR336C,-1,684,2019,-1335,1335
YGR289C,-1,1054,2388,-1334,1334
YHR072W,-1,2812,1478,1334,1334
YOL012C,-1,1409,77,1332,1332
YJL187C,-1,2362,1031,1331,1331
YDR460W,-1,661,1992,-1331,1331
YDR315C,-1,766,2095,-1329,1329
YPL153C,-1,3593,2266,1327,1327
YJL052W,-1,3816,2489,1327,1327
YIL009W,-1,1142,2468,-1326,1326
YOR382W,-1,3687,2362,1325,1325
YLR079W,-1,3070,1750,1320,1320
YOL136C,-1,3664,2344,1320,1320
YJR005W,-1,430,1749,-1319,1319
YIL083C,-1,3940,2622,1318,1318
YJL085W,-1,3507,2189,1318,1318
YBR166C,-1,2941,1623,1318,1318
YPL243W,-1,1941,625,1316,1316
YPL085W,-1,2013,3328,-1315,1315
YIL138C,1,81,1396,-1315,1315
YGR194C,-1,145,1457,-1312,1312
YGL028C,-1,3798,2486,1312,1312
YGL244W,-1,2305,994,1311,1311
YBR288C,-1,1794,483,1311,1311
YER054C,-1,571,1881,-1310,1310
YMR039C,-1,3272,1963,1309,1309
YNR074C,-1,3846,2539,1307,1307
YDR434W,-1,2037,3344,-1307,1307
YBR168W,-1,1362,2669,-1307,1307
YMR054W,-1,839,2143,-1304,1304
YMR301C,-1,1867,3171,-1304,1304
YHR216W,-1,3129,1826,1303,1303
YLR341W,-1,4054,2753,1301,1301
YJL179W,-1,1790,489,1301,1301
YMR299C,-1,2747,1447,1300,1300
YNR050C,-1,2828,1529,1299,1299
YDR408C,-1,3363,2065,1298,1298
YEL006W,-1,3743,2448,1295,1295
YPR069C,-1,1484,189,1295,1295
YIR005W,-1,2028,734,1294,1294
YER144C,-1,1662,2956,-1294,1294
Q0160,-1,3676,2382,1294,1294
YML093W,-1,1952,3245,-1293,1293
YPL003W,-1,467,1760,-1293,1293
YMR071C,-1,1359,68,1291,1291
YNL261W,-1,2947,1657,1290,1290
YLR190W,1,34,1323,-1289,1289
YOR032C,-1,3891,2603,1288,1288
YBR193C,-1,834,2122,-1288,1288
YIL160C,-1,2015,3302,-1287,1287
YJL053W,-1,340,1626,-1286,1286
YGL222C,-1,4153,2869,1284,1284
YIL035C,-1,1588,304,1284,1284
YOR151C,-1,1164,2445,-1281,1281
YDR214W,-1,2016,735,1281,1281
YFL033C,-1,1936,3217,-1281,1281
YBR149W,-1,140,1421,-1281,1281
YGR227W,-1,1832,3113,-1281,1281
YPL201C,-1,4073,2792,1281,1281
YDR419W,-1,3864,2584,1280,1280
YER002W,-1,3378,2098,1280,1280
YDL049C,-1,1959,679,1280,1280
YJL092W,-1,785,2062,-1277,1277
YMR119W,-1,1233,2510,-1277,1277
YJL140W,-1,1611,334,1277,1277
YDL143W,-1,1920,643,1277,1277
YJL186W,-1,1958,682,1276,1276
YMR226C,-1,3108,1833,1275,1275
YCR044C,-1,2540,1265,1275,1275
YDL217C,1,68,1343,-1275,1275
YER174C,-1,1523,248,1275,1275
YAL009W,-1,2171,897,1274,1274
YMR204C,-1,1758,3032,-1274,1274
YER146W,-1,1614,340,1274,1274
YPR159W,-1,4023,2750,1273,1273
YOR195W,-1,3362,2089,1273,1273
YGR113W,-1,2010,3282,-1272,1272
YNL090W,-1,1642,371,1271,1271
YHR065C,-1,2629,1358,1271,1271
YMR179W,-1,3285,2015,1270,1270
YHL032C,-1,536,1805,-1269,1269
YLR160C,-1,4057,2788,1269,1269
YNL110C,-1,2087,819,1268,1268
YML034W,-1,2135,3403,-1268,1268
YHR103W,-1,1949,681,1268,1268
YJL196C,-1,1815,549,1266,1266
YKL062W,-1,3247,1982,1265,1265
YHR144C,-1,387,1652,-1265,1265
YPL069C,-1,2566,1302,1264,1264
YOR092W,-1,3417,2153,1264,1264
YLR266C,-1,1883,3146,-1263,1263
YGR094W,-1,417,1680,-1263,1263
YNR012W,-1,1468,2731,-1263,1263
YLR185W,-1,3124,1861,1263,1263
YKL040C,-1,2076,815,1261,1261
YML130C,-1,3697,2438,1259,1259
YPL274W,-1,3141,1882,1259,1259
YAL059W,-1,2511,1255,1256,1256
YGL185C,-1,3093,1837,1256,1256
YJR096W,-1,3293,2038,1255,1255
YOR326W,1,45,1298,-1253,1253
YKR092C,-1,1039,2292,-1253,1253
YGL032C,-1,3941,2690,1251,1251
YOR270C,-1,3220,1970,1250,1250
YKL052C,-1,3777,2527,1250,1250
YPR057W,-1,2288,1038,1250,1250
YLR424W,-1,1874,3124,-1250,1250
YJR105W,-1,2069,820,1249,1249
YIR038C,-1,701,1949,-1248,1248
YBR114W,-1,3302,2054,1248,1248
YOR008C,-1,2244,997,1247,1247
YCR065W,-1,4003,2756,1247,1247
YAL023C,-1,2960,1714,1246,1246
YGL051W,-1,3953,2708,1245,1245
YOR242C,-1,3933,2688,1245,1245
YDR219C,1,28,1273,-1245,1245
YPL043W,-1,1708,2953,-1245,1245
YER178W,-1,580,1825,-1245,1245
YML038C,-1,1879,3123,-1244,1244
YCR057C,-1,1461,2705,-1244,1244
YPL121C,-1,4086,2842,1244,1244
YML100W,-1,334,1577,-1243,1243
YLR100W,-1,3091,1849,1242,1242
YPL195W,-1,1567,2809,-1242,1242
YOL147C,-1,2026,785,1241,1241
YDR142C,-1,551,1792,-1241,1241
YGL062W,-1,621,1860,-1239,1239
YOR217W,-1,774,2012,-1238,1238
YDR416W,-1,1919,3157,-1238,1238
YOR001W,-1,590,1827,-1237,1237
YOR103C,-1,1443,207,1236,1236
YDR171W,-1,638,1874,-1236,1236
YMR294W,-1,2518,1283,1235,1235
YMR009W,-1,1762,530,1232,1232
YBR274W,-1,1100,2330,-1230,1230
YGR162W,-1,1281,2509,-1228,1228
YHR122W,-1,3229,2001,1228,1228
YGL134W,-1,1823,3049,-1226,1226
YCL024W,-1,3265,2040,1225,1225
YBR005W,-1,2046,3269,-1223,1223
YJR016C,-1,2150,3373,-1223,1223
YDR044W,-1,3465,2242,1223,1223
YER105C,-1,1751,2974,-1223,1223
YML099C,-1,1768,2990,-1222,1222
YPR080W,-1,2437,1215,1222,1222
YGL174W,-1,2014,3236,-1222,1222
YKL010C,-1,1434,2655,-1221,1221
YMR229C,-1,1478,2699,-1221,1221
YLL008W,-1,713,1934,-1221,1221
YAL067C,-1,4240,3020,1220,1220
YNL169C,-1,1855,636,1219,1219
YDL051W,-1,1857,638,1219,1219
YPR169W,-1,2873,1655,1218,1218
YLR372W,-1,720,1937,-1217,1217
YCR091W,-1,1626,2843,-1217,1217
YOR281C,-1,1467,251,1216,1216
YLR178C,-1,173,1389,-1216,1216
YIL014W,-1,2005,3221,-1216,1216
YDR538W,-1,3451,2236,1215,1215
YOL148C,-1,3488,2273,1215,1215
YGR285C,-1,1803,589,1214,1214
YGR020C,-1,1960,746,1214,1214
YNL232W,-1,1135,2349,-1214,1214
YDR289C,-1,1348,2561,-1213,1213
YGR074W,-1,1759,547,1212,1212
YCR038C,-1,740,1950,-1210,1210
YPR072W,-1,1615,405,1210,1210
YDL201W,-1,1595,385,1210,1210
YPR143W,-1,2497,1287,1210,1210
YBL092W,-1,1694,485,1209,1209
YDR096W,-1,215,1423,-1208,1208
YOL041C,-1,1358,2565,-1207,1207
YPR008W,-1,1854,648,1206,1206
YLR192C,-1,2538,1332,1206,1206
YDL226C,-1,2274,1070,1204,1204
YEL027W,-1,2766,1562,1204,1204
YIR027C,-1,3657,2453,1204,1204
YGL022W,-1,905,2109,-1204,1204
YKL217W,-1,1689,2892,-1203,1203
YCR040W,-1,4168,2965,1203,1203
YCR084C,-1,2976,1776,1200,1200
YEL059C-A,-1,2811,1611,1200,1200
YBR004C,-1,3316,2117,1199,1199
YPL283C,-1,4183,2984,1199,1199
YGL121C,-1,1071,2269,-1198,1198
YDR297W,-1,3696,2498,1198,1198
YNL037C,-1,183,1381,-1198,1198
YJL154C,-1,1116,2312,-1196,1196
YLR397C,-1,1425,2621,-1196,1196
YOR368W,-1,2278,1082,1196,1196
YLR197W,-1,2108,914,1194,1194
YOR017W,-1,164,1356,-1192,1192
YGL073W,-1,1405,2596,-1191,1191
YJL192C,-1,2017,827,1190,1190
YDL235C,-1,1318,131,1187,1187
YAL011W,-1,2063,3249,-1186,1186
YNL223W,-1,870,2056,-1186,1186
YGR248W,-1,332,1517,-1185,1185
YLL039C,-1,245,1429,-1184,1184
YER171W,-1,433,1617,-1184,1184
YPL081W,-1,1787,603,1184,1184
YDR043C,-1,1506,2689,-1183,1183
YNR054C,-1,1545,2727,-1182,1182
YBL002W,-1,1441,259,1182,1182
YOR315W,-1,2123,941,1182,1182
YMR044W,-1,2962,1781,1181,1181
YJL194W,-1,3870,2692,1178,1178
YER161C,-1,3357,2179,1178,1178
YDL239C,-1,2115,3292,-1177,1177
YJL036W,-1,190,1367,-1177,1177
