Gene,+/0/-,430Net rank,SPELL rank,Difference (430Net-SPELL),Absoulte Difference
YMR173W,-1,1280,3078,-1798,1798
YER007C-A,-1,1310,3105,-1795,1795
YJR040W,-1,2666,877,1789,1789
YGL225W,-1,918,2706,-1788,1788
YPL131W,-1,1926,3714,-1788,1788
YLR051C,-1,1087,2875,-1788,1788
YOR361C,-1,655,2443,-1788,1788
YBR201W,-1,3547,1759,1788,1788
YML069W,-1,1915,130,1785,1785
YIL046W,-1,3966,2181,1785,1785
YJR025C,-1,3372,1592,1780,1780
YLR067C,0,228,2008,-1780,1780
YGL151W,-1,2618,838,1780,1780
YHR112C,-1,3628,1848,1780,1780
YAL040C,-1,3803,2023,1780,1780
YDR496C,-1,1884,3662,-1778,1778
YER014W,-1,2679,902,1777,1777
YNL041C,-1,2324,547,1777,1777
YIL107C,-1,974,2747,-1773,1773
YJL203W,-1,2710,941,1769,1769
YMR104C,-1,1801,3570,-1769,1769
YER147C,-1,3880,2112,1768,1768
YDL051W,-1,1857,3625,-1768,1768
YNL180C,-1,3532,1764,1768,1768
YJL071W,-1,2522,754,1768,1768
YMR079W,-1,728,2496,-1768,1768
YBR110W,-1,1985,218,1767,1767
YLR197W,-1,2108,3872,-1764,1764
YBR198C,-1,2439,676,1763,1763
YGL005C,-1,3147,1384,1763,1763
YNL080C,-1,3545,1785,1760,1760
YDL213C,-1,2058,3817,-1759,1759
YFL002C,-1,1447,3206,-1759,1759
YLR251W,-1,384,2141,-1757,1757
YHR077C,-1,1252,3008,-1756,1756
YBL079W,-1,1491,3246,-1755,1755
YDL077C,-1,824,2579,-1755,1755
YNL251C,-1,3558,1803,1755,1755
YPL088W,-1,3939,2185,1754,1754
YML127W,-1,2072,319,1753,1753
YKL043W,-1,4147,2394,1753,1753
YPR198W,-1,4064,2311,1753,1753
YNL288W,-1,2727,976,1751,1751
YOR120W,-1,283,2033,-1750,1750
YOR005C,-1,606,2355,-1749,1749
YOR058C,-1,450,2199,-1749,1749
YMR241W,1,60,1807,-1747,1747
YAL034W-A,-1,2233,3980,-1747,1747
YJR119C,-1,1672,3418,-1746,1746
YNL188W,-1,370,2116,-1746,1746
YMR037C,-1,2550,804,1746,1746
YFL034C-B,-1,2410,4156,-1746,1746
YLR276C,-1,1747,3490,-1743,1743
YOR181W,-1,3726,1984,1742,1742
YOR081C,-1,3625,1884,1741,1741
YBR080C,-1,1974,233,1741,1741
YJL125C,-1,1530,3270,-1740,1740
YOR116C,-1,850,2590,-1740,1740
YGL166W,-1,1079,2818,-1739,1739
YBR061C,-1,845,2583,-1738,1738
YLR384C,-1,1388,3126,-1738,1738
YDR358W,-1,138,1875,-1737,1737
YDR483W,-1,3496,1760,1736,1736
YGR209C,-1,504,2238,-1734,1734
YGL014W,-1,1002,2736,-1734,1734
YGR152C,-1,841,2575,-1734,1734
YCR033W,-1,3550,1817,1733,1733
YEL012W,-1,125,1858,-1733,1733
YKR083C,-1,3511,1779,1732,1732
YGR075C,-1,3677,1945,1732,1732
YGL205W,-1,2160,3892,-1732,1732
YKL176C,-1,2388,657,1731,1731
YGR111W,-1,1853,124,1729,1729
YDL049C,-1,1959,3687,-1728,1728
YOR003W,-1,601,2329,-1728,1728
YGR032W,-1,2025,3753,-1728,1728
YDR410C,-1,3638,1913,1725,1725
YJL155C,-1,310,2032,-1722,1722
YPR159W,-1,4023,2301,1722,1722
YNL110C,-1,2087,3808,-1721,1721
YLL060C,-1,1659,3378,-1719,1719
YDR463W,-1,2688,970,1718,1718
YGL127C,-1,2974,1258,1716,1716
YHR041C,-1,3276,1560,1716,1716
YDL112W,-1,1013,2729,-1716,1716
YLR227C,-1,3562,1847,1715,1715
YNR012W,-1,1468,3182,-1714,1714
YKL011C,-1,2434,721,1713,1713
YPL259C,-1,2366,653,1713,1713
YDR464W,-1,1499,3211,-1712,1712
YDR372C,-1,2567,855,1712,1712
YLR120C,-1,1437,3148,-1711,1711
YFL017W-A,-1,2266,3976,-1710,1710
YGL185C,-1,3093,1385,1708,1708
YDR104C,-1,880,2587,-1707,1707
YOR276W,-1,904,2608,-1704,1704
YPR083W,1,38,1739,-1701,1701
YDL224C,-1,2845,1146,1699,1699
YJL033W,-1,1856,3554,-1698,1698
YKL216W,-1,1847,3542,-1695,1695
YOL076W,1,375,2069,-1694,1694
YHR109W,-1,191,1885,-1694,1694
YDL149W,-1,1288,2982,-1694,1694
YPL024W,-1,2992,1299,1693,1693
YOL032W,-1,230,1923,-1693,1693
YNL323W,-1,1858,165,1693,1693
YLR190W,1,34,1726,-1692,1692
YPL112C,-1,2024,332,1692,1692
YGR070W,-1,771,2463,-1692,1692
YMR163C,-1,3085,1394,1691,1691
YMR313C,-1,3296,1605,1691,1691
YBL016W,-1,3599,1910,1689,1689
YPL193W,-1,1718,3407,-1689,1689
YCR091W,-1,1626,3315,-1689,1689
YGL065C,-1,2000,312,1688,1688
YMR030W,-1,838,2524,-1686,1686
YML022W,-1,1343,3028,-1685,1685
YGL167C,-1,3759,2074,1685,1685
YNL046W,-1,3459,1777,1682,1682
YPR010C,-1,1922,3604,-1682,1682
YGL154C,-1,2625,944,1681,1681
YOL113W,-1,282,1963,-1681,1681
YDL019C,-1,2798,1118,1680,1680
YER162C,-1,1612,3292,-1680,1680
YBR243C,-1,2291,611,1680,1680
YCR097W,-1,2166,3844,-1678,1678
YLR035C,-1,1616,3293,-1677,1677
YBR050C,-1,1538,3215,-1677,1677
YBL015W,-1,227,1903,-1676,1676
YIL103W,-1,1243,2919,-1676,1676
YOR209C,-1,2031,355,1676,1676
YOR092W,-1,3417,1742,1675,1675
YHL011C,-1,1303,2978,-1675,1675
YLR438C-A,-1,2487,4161,-1674,1674
YOR180C,-1,4092,2418,1674,1674
YIL099W,-1,2239,3912,-1673,1673
YBR249C,-1,1742,3415,-1673,1673
YGL045W,-1,1652,3324,-1672,1672
YBL105C,-1,2587,916,1671,1671
YIL101C,-1,1885,3556,-1671,1671
YCL025C,-1,4004,2334,1670,1670
YPL170W,-1,3111,1441,1670,1670
YOR353C,-1,2255,585,1670,1670
YDL223C,-1,2054,3723,-1669,1669
YPR057W,-1,2288,621,1667,1667
YGL006W,-1,496,2163,-1667,1667
YOR305W,-1,2722,1056,1666,1666
YKR093W,-1,3250,1584,1666,1666
YDR223W,-1,2204,3869,-1665,1665
YEL055C,-1,1509,3173,-1664,1664
YLR153C,-1,547,2210,-1663,1663
YPL181W,-1,582,2244,-1662,1662
YPR160W,-1,1389,3051,-1662,1662
YGL163C,-1,1081,2742,-1661,1661
YPL106C,-1,3883,2223,1660,1660
YGR047C,-1,2887,1227,1660,1660
YDL212W,-1,1501,3158,-1657,1657
YOR035C,-1,725,2382,-1657,1657
YCR042C,-1,3172,1515,1657,1657
YDL236W,-1,2249,592,1657,1657
YPL232W,-1,3068,1414,1654,1654
YMR129W,-1,706,2360,-1654,1654
YPL179W,-1,3179,1525,1654,1654
YDR435C,-1,208,1861,-1653,1653
YGR278W,-1,3905,2253,1652,1652
YOL064C,-1,3218,1567,1651,1651
YGR077C,-1,2023,373,1650,1650
YJL130C,-1,1785,3435,-1650,1650
YER055C,-1,2029,3679,-1650,1650
YLR210W,-1,565,2214,-1649,1649
YPR031W,-1,702,2349,-1647,1647
YPL123C,-1,373,2019,-1646,1646
YBR079C,-1,1070,2715,-1645,1645
YNL169C,-1,1855,211,1644,1644
YGR005C,-1,2754,1110,1644,1644
YOR148C,-1,3259,1617,1642,1642
YKR091W,-1,1206,2848,-1642,1642
YLR007W,-1,3744,2102,1642,1642
YLR068W,-1,1366,3006,-1640,1640
YOR185C,-1,397,2036,-1639,1639
YER082C,-1,1673,3311,-1638,1638
YLR034C,-1,3084,1446,1638,1638
YDR188W,-1,2765,1127,1638,1638
YHR081W,-1,2182,3818,-1636,1636
YJL072C,-1,2227,591,1636,1636
YDL015C,-1,2345,711,1634,1634
YAR007C,-1,1945,314,1631,1631
YEL036C,-1,2916,1286,1630,1630
YGR042W,-1,3917,2289,1628,1628
YBR049C,-1,2933,1305,1628,1628
YLR350W,-1,631,2258,-1627,1627
YGR091W,-1,928,2555,-1627,1627
YDL150W,-1,1821,3445,-1624,1624
YDR153C,-1,3101,1477,1624,1624
YGR142W,-1,1695,3317,-1622,1622
YHR082C,-1,542,2162,-1620,1620
YLR043C,-1,3126,1507,1619,1619
YLR425W,-1,693,2312,-1619,1619
YDL017W,-1,814,2433,-1619,1619
YBL098W,-1,2789,1171,1618,1618
YER180C,-1,3601,1986,1615,1615
YMR142C,-1,2147,3762,-1615,1615
YBR218C,-1,3135,1520,1615,1615
YDR407C,-1,2674,1060,1614,1614
YML006C,-1,3370,1756,1614,1614
YEL021W,-1,1826,3440,-1614,1614
YPR101W,-1,3019,1406,1613,1613
YOR021C,-1,3320,1708,1612,1612
YER065C,-1,1247,2858,-1611,1611
YHR170W,-1,2191,3802,-1611,1611
YGR200C,-1,1289,2900,-1611,1611
YNL125C,-1,3018,1409,1609,1609
YMR091C,-1,1892,283,1609,1609
YBL051C,-1,2971,1363,1608,1608
YNL075W,-1,1979,3587,-1608,1608
YNL066W,1,1254,2861,-1607,1607
YLR254C,-1,3522,1916,1606,1606
YJL109C,-1,2180,3785,-1605,1605
YKL182W,-1,1320,2924,-1604,1604
YDR502C,-1,3631,2027,1604,1604
YOR106W,-1,2948,1346,1602,1602
YJR049C,-1,2685,1083,1602,1602
YPL086C,-1,539,2140,-1601,1601
YOR078W,-1,1907,3507,-1600,1600
YER040W,-1,3345,1746,1599,1599
YIL029C,-1,1861,3459,-1598,1598
YDL239C,-1,2115,3711,-1596,1596
YER027C,-1,1731,137,1594,1594
YOR191W,-1,680,2274,-1594,1594
YMR308C,-1,1599,3192,-1593,1593
YAL041W,-1,2964,1372,1592,1592
YMR128W,-1,1881,3472,-1591,1591
YMR281W,-1,2192,601,1591,1591
YLR131C,-1,1256,2846,-1590,1590
YER074W,-1,2083,3672,-1589,1589
YER159C,-1,3653,2064,1589,1589
YGR202C,-1,3711,2122,1589,1589
YNL147W,-1,2369,781,1588,1588
YDR481C,-1,2965,1378,1587,1587
YPL137C,-1,3494,1907,1587,1587
YDR212W,-1,2881,1295,1586,1586
YLR405W,-1,196,1781,-1585,1585
YDR343C,-1,1548,3131,-1583,1583
YMR093W,-1,978,2560,-1582,1582
YEL064C,-1,3200,1620,1580,1580
YMR176W,-1,2262,3842,-1580,1580
YOR267C,-1,3183,1603,1580,1580
YLR363C,-1,2100,521,1579,1579
YGL130W,-1,2085,506,1579,1579
YJL192C,-1,2017,439,1578,1578
YDR088C,-1,1217,2795,-1578,1578
YLR398C,-1,2197,619,1578,1578
YOR234C,-1,1654,3231,-1577,1577
YLR432W,-1,2107,3683,-1576,1576
YJL087C,-1,1201,2776,-1575,1575
YJL025W,-1,1421,2996,-1575,1575
YER081W,-1,4138,2563,1575,1575
YGR256W,-1,1199,2773,-1574,1574
YKL040C,-1,2076,503,1573,1573
YNR049C,-1,2476,906,1570,1570
YJL170C,-1,3843,2273,1570,1570
YBR154C,-1,1102,2672,-1570,1570
YGL087C,-1,205,1773,-1568,1568
YLR443W,-1,2517,950,1567,1567
YCR061W,-1,729,2296,-1567,1567
YDL201W,-1,1595,3161,-1566,1566
YHR122W,-1,3229,1663,1566,1566
YBR041W,-1,2281,716,1565,1565
YGR162W,-1,1281,2843,-1562,1562
YDR351W,-1,3056,1495,1561,1561
YKR055W,-1,1940,379,1561,1561
YER036C,-1,2231,3791,-1560,1560
YHR139C,-1,2512,4072,-1560,1560
YKR048C,-1,2729,1169,1560,1560
YGR123C,-1,1451,3011,-1560,1560
YKL006C-A,-1,1720,3278,-1558,1558
YJL111W,-1,2307,749,1558,1558
YPL161C,-1,3120,1562,1558,1558
YHR092C,-1,4055,2497,1558,1558
YHL027W,-1,3484,1927,1557,1557
YNL322C,-1,3784,2227,1557,1557
YLR116W,-1,4089,2533,1556,1556
YAR003W,-1,2689,1134,1555,1555
YML103C,-1,987,2542,-1555,1555
YOL034W,-1,1596,3150,-1554,1554
YGR245C,-1,2295,3847,-1552,1552
YCR065W,-1,4003,2451,1552,1552
YDR508C,-1,3540,1990,1550,1550
YOR369C,-1,2071,3620,-1549,1549
YPR141C,-1,2418,870,1548,1548
YDL243C,-1,1322,2869,-1547,1547
YPL190C,-1,2963,1417,1546,1546
YOR002W,-1,2433,888,1545,1545
YDR451C,-1,2229,685,1544,1544
YNL236W,-1,2586,1042,1544,1544
YKR095W,-1,3292,1749,1543,1543
YBR215W,-1,3267,1725,1542,1542
YOR257W,-1,2446,904,1542,1542
YDL020C,-1,331,1873,-1542,1542
YDR369C,-1,1734,3275,-1541,1541
YNL248C,-1,1851,3391,-1540,1540
YLL028W,-1,3393,1854,1539,1539
YPL032C,-1,3118,1580,1538,1538
YGL019W,-1,1565,27,1538,1538
YDR244W,-1,468,2006,-1538,1538
YDR300C,-1,1232,2770,-1538,1538
YHR001W-A,-1,210,1747,-1537,1537
YBR112C,-1,2432,895,1537,1537
YBR082C,-1,2660,1125,1535,1535
YPL243W,-1,1941,406,1535,1535
YLR328W,-1,2327,793,1534,1534
YFL030W,-1,242,1776,-1534,1534
YBL023C,-1,2102,569,1533,1533
YMR217W,-1,2247,3779,-1532,1532
YNL256W,-1,1556,3087,-1531,1531
YNL151C,-1,1761,3291,-1530,1530
YJL014W,-1,2074,544,1530,1530
YDL090C,-1,2584,1055,1529,1529
YNL068C,-1,874,2401,-1527,1527
YJR010W,-1,3973,2447,1526,1526
YDR080W,-1,3442,1917,1525,1525
YDR299W,-1,2111,3636,-1525,1525
YOR056C,-1,1882,3406,-1524,1524
YGL053W,-1,633,2157,-1524,1524
YHR148W,-1,2169,3692,-1523,1523
YGL054C,-1,2600,1077,1523,1523
YHR161C,-1,459,1979,-1520,1520
YHR103W,-1,1949,429,1520,1520
YIL061C,-1,3463,1943,1520,1520
YLR023C,-1,2970,1451,1519,1519
YKR003W,-1,1835,317,1518,1518
YGL120C,-1,2287,3804,-1517,1517
YLL010C,-1,3045,1530,1515,1515
YDL198C,1,73,1585,-1512,1512
YDL171C,-1,1850,3362,-1512,1512
YPL026C,-1,2377,865,1512,1512
YPL119C,-1,1707,3218,-1511,1511
YGR187C,-1,1685,3195,-1510,1510
YKL201C,-1,3965,2456,1509,1509
YAL017W,-1,328,1836,-1508,1508
YMR220W,-1,1876,368,1508,1508
YBR006W,-1,657,2164,-1507,1507
YLR107W,-1,3208,1701,1507,1507
YPL256C,-1,555,2060,-1505,1505
YML015C,-1,1150,2653,-1503,1503
YPR037C,-1,2577,1075,1502,1502
YJL010C,-1,1508,3009,-1501,1501
YJR063W,-1,1809,3309,-1500,1500
YLR092W,-1,3878,2378,1500,1500
YDL225W,-1,1773,274,1499,1499
YDR192C,-1,3376,1878,1498,1498
YEL063C,-1,3685,2188,1497,1497
YLR389C,-1,3157,1661,1496,1496
YDL024C,-1,2436,3932,-1496,1496
YAL021C,-1,3445,1950,1495,1495
YML035C,-1,1852,359,1493,1493
YBR160W,-1,2298,806,1492,1492
YNL304W,1,2106,615,1491,1491
YPR062W,-1,3058,1570,1488,1488
YEL053C,-1,2065,3552,-1487,1487
YIL052C,-1,2360,3843,-1483,1483
YOR145C,-1,1313,2794,-1481,1481
YMR246W,-1,1698,3179,-1481,1481
YHL025W,-1,3663,2184,1479,1479
YGL012W,-1,2379,900,1479,1479
YPL012W,-1,2057,3534,-1477,1477
YKL184W,-1,3092,1615,1477,1477
YDR414C,-1,3669,2194,1475,1475
YDR003W,-1,188,1662,-1474,1474
YNL007C,-1,1132,2606,-1474,1474
YML088W,-1,3602,2128,1474,1474
YBR153W,-1,2011,539,1472,1472
YDR059C,-1,256,1728,-1472,1472
YDR092W,-1,2808,1337,1471,1471
YER056C,-1,2472,3941,-1469,1469
YIL094C,-1,648,2115,-1467,1467
YOR340C,-1,1454,2921,-1467,1467
YER019W,-1,3984,2520,1464,1464
YNL197C,-1,2991,1528,1463,1463
YBR126C,-1,126,1587,-1461,1461
YBR091C,1,57,1518,-1461,1461
YPR052C,-1,2154,694,1460,1460
YJR104C,-1,274,1733,-1459,1459
YKL149C,-1,2222,767,1455,1455
YLR228C,-1,3674,2220,1454,1454
YMR285C,-1,3002,1550,1452,1452
YMR200W,-1,1777,326,1451,1451
YDR283C,-1,3874,2423,1451,1451
YOR211C,1,16,1464,-1448,1448
YNL267W,-1,1579,132,1447,1447
YJL141C,-1,358,1804,-1446,1446
YLR002C,-1,1943,3388,-1445,1445
YMR242C,-1,2390,3835,-1445,1445
YEL011W,-1,1037,2480,-1443,1443
YOR123C,-1,3661,2219,1442,1442
YER042W,-1,3712,2270,1442,1442
YLR417W,-1,2787,1345,1442,1442
YJR016C,-1,2150,3591,-1441,1441
YMR001C,-1,1571,131,1440,1440
YMR162C,-1,2001,3439,-1438,1438
YGL147C,-1,2414,3850,-1436,1436
YML130C,-1,3697,2263,1434,1434
YPL241C,-1,1214,2648,-1434,1434
YHR123W,-1,3138,1706,1432,1432
YBR265W,-1,2491,1059,1432,1432
YKL173W,-1,2687,1256,1431,1431
YGR159C,-1,2440,3871,-1431,1431
YOL111C,-1,2568,1139,1429,1429
YMR186W,-1,3627,2198,1429,1429
YGL210W,-1,2816,1389,1427,1427
YML049C,-1,2680,1254,1426,1426
YNL008C,-1,1746,320,1426,1426
YGR118W,-1,2242,3668,-1426,1426
YDR507C,-1,1453,2879,-1426,1426
YFR031C,-1,632,2058,-1426,1426
YHR028C,-1,362,1788,-1426,1426
YLR017W,-1,1364,2788,-1424,1424
YJL035C,-1,3379,1956,1423,1423
YPR149W,-1,843,2265,-1422,1422
YOL102C,-1,2843,1421,1422,1422
YEL058W,-1,2748,1326,1422,1422
YGR086C,-1,665,2086,-1421,1421
YLL057C,-1,2090,3511,-1421,1421
YPR065W,-1,3596,2176,1420,1420
YIL106W,-1,2253,833,1420,1420
YJL168C,-1,2823,1405,1418,1418
YIR029W,-1,3107,1689,1418,1418
YLR113W,-1,2198,780,1418,1418
YNL079C,1,63,1480,-1417,1417
YPL160W,-1,1282,2699,-1417,1417
YNL108C,-1,2313,896,1417,1417
YML011C,-1,2086,670,1416,1416
YHR154W,-1,1808,3224,-1416,1416
YAL033W,-1,2657,1241,1416,1416
YAR019C,-1,1646,3057,-1411,1411
YDR145W,-1,2853,1443,1410,1410
YNL281W,-1,2371,964,1407,1407
YMR312W,-1,3691,2286,1405,1405
YIL146C,-1,2142,3546,-1404,1404
YLR399C,-1,3551,2147,1404,1404
YKR009C,-1,1086,2488,-1402,1402
YJR060W,-1,2621,1220,1401,1401
YKL058W,-1,1716,315,1401,1401
YOR163W,-1,1638,238,1400,1400
YLR433C,-1,3567,2171,1396,1396
YBL034C,-1,1228,2623,-1395,1395
YDL155W,-1,2865,1471,1394,1394
YAL019W,-1,1627,3020,-1393,1393
YER157W,-1,3391,1998,1393,1393
YAR071W,-1,2496,3889,-1393,1393
YLR222C,-1,1880,3272,-1392,1392
YOR036W,-1,249,1638,-1389,1389
YDR060W,-1,2098,3487,-1389,1389
YMR138W,-1,3610,2222,1388,1388
YML109W,-1,2813,1426,1387,1387
YGL112C,-1,1886,499,1387,1387
YMR224C,-1,813,2200,-1387,1387
YMR194W,-1,2493,3878,-1385,1385
YGL248W,-1,475,1860,-1385,1385
YGR116W,-1,971,2356,-1385,1385
YOR250C,-1,1581,196,1385,1385
YGL168W,-1,4010,2625,1385,1385
YMR297W,-1,284,1669,-1385,1385
YIL073C,-1,1992,3375,-1383,1383
YDR495C,-1,1273,2655,-1382,1382
YIR010W,-1,2759,1379,1380,1380
YIL105C,-1,777,2156,-1379,1379
YAL032C,-1,3570,2192,1378,1378
YER161C,-1,3357,1981,1376,1376
YER068W,-1,2409,1033,1376,1376
YKL217W,-1,1689,3065,-1376,1376
YGR217W,-1,1749,3125,-1376,1376
YHL009C,-1,3469,2095,1374,1374
YOR063W,-1,2232,3605,-1373,1373
YJL196C,-1,1815,442,1373,1373
YBL068W,-1,1357,2730,-1373,1373
YAL002W,-1,1220,2591,-1371,1371
YOR269W,-1,3322,1952,1370,1370
YBL093C,-1,3977,2607,1370,1370
YNR051C,-1,2573,1203,1370,1370
YKL209C,-1,3708,2339,1369,1369
YLR369W,-1,165,1534,-1369,1369
YBR043C,-1,3096,1727,1369,1369
YDR418W,-1,2333,3701,-1368,1368
YCR084C,-1,2976,1608,1368,1368
YDR510W,-1,1641,275,1366,1366
YML042W,-1,1055,2420,-1365,1365
YBL011W,-1,2224,859,1365,1365
YDL075W,-1,2653,4018,-1365,1365
YBR202W,-1,516,1881,-1365,1365
YKR058W,-1,1682,3045,-1363,1363
YDL153C,-1,2381,3743,-1362,1362
YDR045C,-1,1236,2597,-1361,1361
YMR207C,-1,1669,3029,-1360,1360
YOR184W,-1,3261,1902,1359,1359
YKR037C,-1,1665,306,1359,1359
YHR205W,-1,3737,2379,1358,1358
YCL035C,-1,236,1594,-1358,1358
YNR044W,-1,2162,3520,-1358,1358
YHR197W,-1,2131,3488,-1357,1357
YJL092W,-1,785,2142,-1357,1357
YOL060C,1,101,1458,-1357,1357
YOR242C,-1,3933,2577,1356,1356
YLL006W,1,254,1610,-1356,1356
YBR059C,-1,2021,665,1356,1356
YNL186W,-1,1503,2857,-1354,1354
YER008C,-1,2156,802,1354,1354
YNR046W,-1,1140,2493,-1353,1353
YPR086W,-1,2986,1633,1353,1353
YEL061C,-1,1990,3342,-1352,1352
YPL005W,-1,1947,3299,-1352,1352
YLR078C,-1,1788,437,1351,1351
YDL116W,-1,2589,1238,1351,1351
YGL076C,-1,1977,3328,-1351,1351
YKR038C,-1,1732,383,1349,1349
YPL117C,-1,2805,1456,1349,1349
YIL123W,-1,1290,2638,-1348,1348
YJR143C,-1,805,2151,-1346,1346
YJR127C,-1,2706,1362,1344,1344
YDL074C,-1,2089,745,1344,1344
YDR276C,-1,3703,2359,1344,1344
YMR047C,-1,2429,1087,1342,1342
YNL291C,-1,2557,1216,1341,1341
YDR072C,-1,3294,1955,1339,1339
YPR072W,-1,1615,276,1339,1339
YIL138C,1,81,1419,-1338,1338
YGR089W,-1,3231,1894,1337,1337
YKL096W-A,-1,2802,4138,-1336,1336
YIL148W,-1,2406,3741,-1335,1335
YOR188W,-1,741,2076,-1335,1335
YDL148C,-1,2616,3950,-1334,1334
YJL165C,-1,3987,2654,1333,1333
YLR459W,-1,1810,480,1330,1330
YPR165W,-1,2002,673,1329,1329
YLR026C,-1,1629,300,1329,1329
YHR068W,-1,1633,2960,-1327,1327
YKR026C,-1,1060,2386,-1326,1326
YDR419W,-1,3864,2539,1325,1325
YDR342C,-1,1074,2399,-1325,1325
YDR404C,-1,2056,732,1324,1324
YLL018C,0,3543,2221,1322,1322
YOR308C,-1,1640,2961,-1321,1321
YKR072C,-1,3557,2237,1320,1320
YPL016W,-1,1984,3304,-1320,1320
YDR303C,-1,2951,1631,1320,1320
YLR246W,-1,2173,854,1319,1319
YOR156C,-1,2067,3386,-1319,1319
YPL019C,-1,1738,3056,-1318,1318
YER070W,-1,1183,2500,-1317,1317
YJL117W,-1,3668,2352,1316,1316
YLR450W,-1,3453,2138,1315,1315
YML028W,-1,404,1718,-1314,1314
YPR093C,-1,1533,2847,-1314,1314
YPR122W,-1,3903,2592,1311,1311
YKR046C,-1,337,1648,-1311,1311
YBR162W-A,-1,1678,2988,-1310,1310
YLL052C,-1,4209,2899,1310,1310
YER090W,-1,1148,2458,-1310,1310
YJR148W,-1,2237,928,1309,1309
YGR229C,-1,294,1601,-1307,1307
YML043C,-1,1893,3198,-1305,1305
YJR022W,-1,796,2101,-1305,1305
YKR081C,-1,2372,3676,-1304,1304
YDR243C,-1,1804,3107,-1303,1303
YML027W,-1,3198,1895,1303,1303
YDR478W,-1,1549,2851,-1302,1302
YIL084C,-1,4027,2727,1300,1300
YFL021W,-1,4000,2700,1300,1300
YOR140W,-1,2979,1679,1300,1300
YOR016C,-1,2329,1029,1300,1300
YPR056W,-1,2145,845,1300,1300
YOR243C,-1,1589,2888,-1299,1299
YPR139C,-1,1771,472,1299,1299
YKL056C,-1,1987,3285,-1298,1298
YBR005W,-1,2046,3344,-1298,1298
YMR189W,-1,3692,2396,1296,1296
YPR143W,-1,2497,3792,-1295,1295
YPR036W,-1,1994,699,1295,1295
YOL151W,-1,988,2282,-1294,1294
YBL075C,-1,1914,3207,-1293,1293
YOL097C,-1,1155,2448,-1293,1293
YDL054C,-1,2936,1643,1293,1293
YNL247W,-1,3130,1837,1293,1293
YPL155C,-1,3411,2118,1293,1293
YIL075C,-1,878,2169,-1291,1291
YER001W,-1,1482,2771,-1289,1289
YOL119C,-1,1644,2932,-1288,1288
YNR007C,-1,216,1504,-1288,1288
YGR087C,-1,2424,3710,-1286,1286
YML060W,-1,1713,2998,-1285,1285
YPL177C,-1,2175,891,1284,1284
YDL166C,-1,494,1778,-1284,1284
YDL216C,-1,2195,3479,-1284,1284
YGR158C,-1,731,2014,-1283,1283
YGR234W,-1,877,2160,-1283,1283
YMR192W,-1,4223,2940,1283,1283
YHR019C,-1,1380,2660,-1280,1280
YJR123W,-1,2215,3494,-1279,1279
YPL149W,-1,3624,2345,1279,1279
YMR121C,-1,3632,2353,1279,1279
YER120W,-1,3113,1835,1278,1278
YJR064W,-1,2592,1315,1277,1277
YGL018C,-1,776,2053,-1277,1277
YDR379W,-1,1259,2536,-1277,1277
YOR033C,-1,3252,1976,1276,1276
YKR004C,-1,3100,1824,1276,1276
YBR142W,-1,2081,3357,-1276,1276
YLR360W,-1,2088,812,1276,1276
YGR019W,-1,462,1737,-1275,1275
YOR224C,-1,1460,2732,-1272,1272
YNL255C,-1,1784,3055,-1271,1271
YIL042C,-1,327,1598,-1271,1271
YMR288W,-1,548,1818,-1270,1270
YMR175W,-1,2769,4039,-1270,1270
YKL152C,-1,3617,2348,1269,1269
YFR029W,-1,1030,2298,-1268,1268
YOL093W,-1,1154,2422,-1268,1268
YDL087C,-1,2306,3573,-1267,1267
YDR174W,-1,1905,638,1267,1267
YGL078C,-1,2448,3715,-1267,1267
YDL064W,-1,2114,847,1267,1267
YOR236W,-1,627,1893,-1266,1266
YDR334W,-1,982,2248,-1266,1266
YOR010C,-1,4142,2876,1266,1266
YHR075C,-1,1702,2966,-1264,1264
YAR002C-A,-1,2382,3646,-1264,1264
YIR038C,-1,701,1964,-1263,1263
YGL206C,-1,603,1863,-1260,1260
YGL023C,-1,3926,2666,1260,1260
YKL062W,-1,3247,1988,1259,1259
YER115C,-1,3942,2685,1257,1257
YMR256C,-1,333,1590,-1257,1257
YBR260C,-1,1521,264,1257,1257
YKR027W,-1,3167,1911,1256,1256
YFR046C,-1,1701,2956,-1255,1255
YGL190C,-1,2118,864,1254,1254
YKL049C,-1,2818,1566,1252,1252
YJR092W,-1,568,1820,-1252,1252
YHR044C,-1,4173,2922,1251,1251
YBL006C,-1,2347,1097,1250,1250
YKL073W,-1,2442,1193,1249,1249
YNR038W,-1,1645,2894,-1249,1249
YLR165C,-1,1139,2387,-1248,1248
YPL171C,-1,1929,3177,-1248,1248
YDL031W,-1,2104,3350,-1246,1246
YOR386W,-1,1143,2389,-1246,1246
YPR163C,-1,2258,3502,-1244,1244
YAL001C,-1,3565,2321,1244,1244
YBR072W,-1,2430,3674,-1244,1244
YBR015C,-1,1963,720,1243,1243
YBL026W,-1,695,1938,-1243,1243
YPL127C,-1,1597,354,1243,1243
YML082W,-1,3215,1972,1243,1243
YER151C,-1,2265,1023,1242,1242
YMR143W,-1,2669,3911,-1242,1242
YER018C,-1,4033,2792,1241,1241
YBR179C,1,44,1285,-1241,1241
YLR052W,-1,2066,825,1241,1241
YLR029C,-1,2419,3660,-1241,1241
YDR075W,-1,3287,2047,1240,1240
YPR033C,-1,668,1908,-1240,1240
