Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,CellCompOutput Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,,,Rankings Similarity to AG
YGL259W,0,0,3.148734972,2.844590038,1431,1261,4270,5174,4860,4089,,,
YNL002C,-1,-1,3.148729031,2.130915969,1432,5314,233,5078,5402,4222,,,
YPL131W,-1,-1,3.147361071,2.81273231,1433,1856,878,4910,5009,5750,,,
YDR429C,-1,-1,3.14622058,2.7250097,1434,4298,730,3975,2870,2303,,,
YML023C,-1,-1,3.144689647,2.982541538,1435,4072,3328,2630,4312,4178,,,
YNL287W,0,0,3.144211581,2.711790806,1436,1647,1908,380,2018,5029,,,
YPL092W,-1,-1,3.144008046,3.550377868,1437,2218,3121,3777,3590,3878,,,
YDR072C,-1,-1,3.143805531,3.205089044,1438,1708,3115,2653,996,1159,,,
YGL077C,-1,-1,3.143580006,3.086081099,1439,3739,1958,2222,3317,5445,,,
YPL023C,0,0,3.143246082,2.958832794,1440,2093,2210,1655,2931,3226,,,
YOL120C,0,-1,3.142046621,2.671383913,1441,1671,2205,4570,2760,5422,,,
YLR053C,0,-1,3.140692718,3.029997204,1442,1060,5089,5098,3152,2947,,,
YDR341C,-1,-1,3.1403911,2.872038817,1443,1653,2404,4758,5577,5221,,,
YBR078W,0,0,3.139668553,3.042098135,1444,3708,3959,3186,471,551,,,
YMR309C,-1,-1,3.139133806,2.242114007,1445,3519,385,4236,4713,3478,,,
YDR163W,-1,-1,3.139053632,2.523216009,1446,2019,3488,3212,5067,5378,,,
YBR205W,-1,-1,3.138469764,2.742992099,1447,4272,546,1113,460,715,,,
YDR331W,-1,-1,3.13796073,2.997608509,1448,4516,3118,2069,3170,4153,,,
YJL048C,-1,-1,3.137723604,2.639414381,1449,187,616,3097,418,535,,,
YIL043C,0,-1,3.134587865,3.204176766,1451,4691,1626,2804,1915,1613,,,
YMR316W,-1,-1,3.134260722,3.007953827,1452,2346,4006,5092,3647,3398,,,
YJR125C,-1,-1,3.134118683,2.605519735,1453,845,128,139,935,1687,,,
YHR170W,-1,-1,3.13350938,2.468146384,1454,2084,713,5015,5607,5786,,,
YKL144C,-1,-1,3.132790027,2.523552539,1455,4203,461,3090,4008,5239,,,
YOR171C,-1,-1,3.129228031,2.88502793,1456,2205,2107,911,2202,3910,,,
YFR039C,0,-1,3.129047168,2.842335355,1457,450,5682,1548,2420,3075,,,
YDL031W,-1,-1,3.125799494,2.15217707,1458,5432,2193,4442,5612,5502,,,
YDR352W,-1,-1,3.125701506,3.087725585,1459,4260,5447,2567,4618,4806,,,
YMR150C,1,1,3.124526454,2.703864552,1460,3393,5999,148,629,1574,,,
YLR209C,0,0,3.122832332,3.112600703,1461,2689,2289,391,1139,3194,,,
YIL018W,0,-1,3.122699415,2.729551767,1462,1580,2230,5403,3425,3468,,,
YGL115W,-1,-1,3.121619492,2.308777563,1463,922,167,47,203,1330,,,
YCR015C,0,-1,3.120776259,3.218948153,1464,192,5283,3115,3105,3364,,,
YGL012W,-1,-1,3.120188298,3.023602936,1465,4642,1099,1315,3687,5132,,,
YDR358W,-1,-1,3.119880226,2.057445604,1466,274,147,2557,1850,2176,,,
YLR020C,-1,-1,3.119353116,2.545199234,1467,3956,559,2016,4528,3828,,,
YKL222C,0,-1,3.119227755,2.922111637,1468,3172,5588,2476,3414,3117,,,
YNL075W,-1,-1,3.118982992,2.528573712,1469,3610,243,4748,5319,5742,,,
YLR027C,0,0,3.117567212,3.145889471,1470,2823,1427,2085,423,490,,,
YGR143W,-1,-1,3.117105974,2.277585547,1471,3372,1776,3371,1542,1458,,,
YDR039C,-1,-1,3.117057809,3.041821098,1472,2991,3627,4876,5724,5322,,,
YOR321W,-1,-1,3.116652508,3.114863874,1473,2063,2983,2109,1532,956,,,
YOR165W,0,0,3.115776002,2.652043412,1474,1124,347,189,715,1636,,,
YCR024C-A,-1,0,3.115740715,2.851456841,1475,1207,3756,4240,3327,2195,,,
YOL113W,-1,-1,3.115089133,2.919998222,1476,2709,547,2662,4259,2095,,,
YLR046C,0,0,3.11330925,2.791760653,1477,155,5768,1900,1054,941,,,
YPL258C,0,0,3.113107619,2.176403567,1478,2702,3077,2913,3186,3782,,,
YNL244C,-1,-1,3.112599682,2.889848797,1479,2244,761,3662,1584,1920,,,
YPR165W,-1,-1,3.11185938,2.960187692,1480,1956,1329,1026,1493,2404,,,
YPL249C-A,0,-1,3.111857381,3.53786825,1481,3705,150,5570,1854,691,,,
YNR020C,0,1,3.111482716,2.643740296,1482,979,330,816,388,966,,,
YKL191W,-1,-1,3.110712532,2.600971588,1483,2112,1109,4246,4186,2390,,,
YJL089W,-1,-1,3.110668855,2.990821078,1484,1559,1789,5371,4704,4284,,,
YHR141C,0,-1,3.110403621,2.522321097,1485,2048,2705,5400,3909,5449,,,
YAL030W,-1,-1,3.110070726,2.631060846,1486,1727,1073,1282,1024,1096,,,
YGR027C,0,-1,3.110035651,2.294965338,1487,1670,940,4908,4562,5347,,,
YIL009C-A,0,0,3.109944185,3.269178542,1488,2483,1113,4917,1110,684,,,
YLR061W,0,-1,3.109703019,2.58257001,1489,2460,920,4973,3956,5564,,,
YPR010C,-1,-1,3.109449023,2.215984298,1490,5483,873,4774,5618,5315,,,
YNR043W,-1,-1,3.108716884,2.483201916,1491,1335,388,1574,694,579,,,
YNL289W,-1,-1,3.107342119,2.671489256,1492,1043,1267,969,2140,4022,,,
YLR286C,0,0,3.106774923,2.849575704,1493,5070,3347,3116,1465,1079,,,
YPR026W,0,-1,3.106349667,2.327365924,1494,1257,1107,3403,5002,3295,,,
YOR125C,0,0,3.104997935,2.567146819,1495,887,445,497,757,1396,,,
YPR021C,-1,-1,3.104843056,3.085807085,1496,445,523,562,403,757,,,
YMR184W,-1,-1,3.103663381,2.861789261,1498,1534,1589,1409,1707,1253,,,
YDL225W,-1,-1,3.102908834,2.908137242,1499,2555,2616,504,1329,1719,,,
YDR349C,0,0,3.102697888,2.568169827,1500,2620,5846,3806,4425,2857,,,
YBL075C,-1,-1,3.102317427,2.882112566,1501,1097,108,4255,1716,1334,,,
YCR002C,-1,-1,3.100254443,2.962761141,1502,2279,1702,574,1186,1537,,,
YOR066W,-1,-1,3.099558646,2.519645128,1503,3410,4397,2951,1346,1085,,,
YOR329C,-1,-1,3.09776558,2.826378622,1504,1642,444,732,881,1034,,,
YHL047C,-1,-1,3.096303095,3.276119786,1505,1185,2539,5212,5486,5063,,,
YMR142C,0,-1,3.095620966,2.580339114,1506,2585,1127,4967,4140,5198,,,
YDL058W,0,0,3.095495042,2.995618055,1507,3585,1940,2829,4775,2868,,,
YOR310C,-1,-1,3.094685765,2.129183375,1508,1430,472,4802,5571,5673,,,
YPL050C,-1,-1,3.093191066,2.619712701,1509,2013,4723,944,274,504,,,
YNL214W,-1,-1,3.092782988,3.057729411,1510,292,544,1543,1073,3486,,,
YIL052C,0,-1,3.092350152,2.549881942,1511,1433,983,5069,2740,5163,,,
YDR139C,-1,-1,3.091510477,2.172141355,1512,2831,2272,3355,2627,3181,,,
YDR261C,0,0,3.091348725,2.801327523,1513,4535,1783,1990,1625,1860,,,
YAL034C,0,-1,3.091334405,2.996659962,1514,55,5853,3240,4366,3427,,,
YCR017C,-1,-1,3.090451497,3.480500166,1515,4253,3979,3543,3355,2792,,,
YPL015C,-1,-1,3.089683631,3.103838346,1516,591,365,1821,2984,2246,,,
YHR028C,0,0,3.089664938,2.718408139,1517,1292,515,2441,2440,1600,,,
YDL191W,0,-1,3.089498543,2.35157708,1518,1594,1520,5219,3517,5665,,,
YBR106W,-1,-1,3.089184111,2.785404133,1519,2713,254,3533,917,837,,,
YNL159C,-1,-1,3.08875197,2.034209186,1520,2174,531,912,1437,1385,,,
YGL249W,-1,-1,3.088624745,2.86063346,1521,5223,4073,5469,4805,3152,,,
YOR194C,-1,-1,3.088175238,2.865838348,1522,1387,1891,1868,4421,5565,,,
YKL099C,-1,-1,3.087298125,2.240888357,1523,3523,1457,4961,5270,4498,,,
YOR298C-A,-1,-1,3.087252158,2.972034448,1524,1775,654,5577,4199,3819,,,
YOL031C,0,0,3.086702818,3.232966166,1525,3215,3732,926,1044,853,,,
YDR174W,-1,-1,3.086614163,2.387251408,1526,1229,881,980,2139,2843,,,
YPL088W,0,0,3.08620061,2.940653894,1527,3508,2399,2953,2158,1373,,,
YFR021W,0,1,3.085890146,3.152561399,1528,1990,2891,3287,4412,4548,,,
YJR091C,-1,-1,3.083832386,2.787996048,1529,4074,1994,2443,570,912,,,
YHR073W,-1,-1,3.082710825,3.096778101,1530,1915,2343,2708,1868,1593,,,
YGR277C,0,0,3.082196292,2.736021393,1531,914,3330,745,1470,1890,,,
YJL072C,-1,-1,3.081658085,3.036787642,1532,1658,2569,914,2025,1744,,,
YOR181W,-1,-1,3.081602258,3.709348567,1533,5100,3017,2694,106,2,,,
YMR053C,0,0,3.079438878,2.793735098,1534,1696,1528,2029,4318,2987,,,
YPR122W,-1,-1,3.079369563,2.619453691,1535,4501,3870,3467,5429,5358,,,
YPL207W,-1,-1,3.079309237,2.58574164,1536,2833,5367,2431,4106,4867,,,
YKL119C,-1,-1,3.078482466,2.570794922,1537,4117,2368,1806,1969,1602,,,
YHR076W,0,-1,3.07810842,2.897335128,1538,1093,5959,355,1140,3487,,,
YMR133W,-1,-1,3.078071091,2.839426634,1539,2400,3447,5374,4456,1792,,,
YPR188C,-1,-1,3.075425746,3.21296076,1540,2425,1893,910,910,1341,,,
YOL049W,-1,0,3.074681763,2.494899804,1541,732,259,228,764,2104,,,
YCR068W,-1,-1,3.074283144,3.017600257,1542,3032,3803,5235,982,1158,,,
YOR076C,-1,-1,3.074202798,2.491490468,1543,2606,853,1747,3948,2072,,,
YNL238W,0,0,3.073422741,2.988083957,1544,4430,3293,1136,2837,1866,,,
YLR174W,-1,-1,3.073319758,2.787007122,1545,448,604,3881,4544,1926,,,
YML070W,0,0,3.071748312,2.755803743,1546,644,428,1609,3264,1752,,,
YBL006C,-1,-1,3.071085221,2.973219711,1547,1471,1644,1565,313,441,,,
YCL008C,-1,-1,3.069978313,2.91607392,1548,2224,3980,3871,577,659,,,
YGL002W,0,0,3.068936093,2.787803227,1549,699,1580,522,1084,3330,,,
YDR498C,0,0,3.067770196,3.229694238,1550,1776,1538,1334,2525,3773,,,
YHR053C,0,-1,3.067579729,3.065787151,1551,434,3789,4890,4391,4074,,,
YNL320W,0,0,3.066919603,2.811637196,1552,86,4363,645,1282,1478,,,
YML072C,0,-1,3.066000096,2.781113702,1553,1979,5424,578,2166,2169,,,
YGR023W,0,-1,3.065831558,2.733932652,1554,1187,750,3413,4404,3971,,,
YNL051W,0,0,3.065617176,2.492605465,1555,511,126,68,524,4771,,,
YPL269W,-1,-1,3.064009338,3.086931598,1556,983,3860,3693,201,291,,,
YKL002W,-1,-1,3.063307898,2.362594686,1557,3363,860,1134,889,2066,,,
YIL165C,0,1,3.063251798,2.977878053,1558,57,5138,4405,4630,2838,,,
YOR292C,0,0,3.060778957,2.731222954,1559,594,6035,2181,3314,4156,,,
YFR029W,0,0,3.060465593,2.524628518,1560,1510,1069,3096,522,881,,,
YHR110W,0,0,3.059388302,2.522835901,1561,1610,352,945,1554,3495,,,
YHR142W,-1,-1,3.058814647,3.487578136,1562,4978,2791,2683,326,241,,,
YKR001C,-1,-1,3.057702196,2.582617265,1563,2075,508,203,936,2861,,,
YMR173W,-1,-1,3.055715248,3.078806315,1564,338,960,4095,5051,2415,,,
YLR461W,0,0,3.05566278,2.920739899,1565,378,5661,4732,4063,3958,,,
YPR167C,0,0,3.055240377,2.768447751,1566,2625,3570,3770,4875,4401,,,
YIR041W,0,0,3.053126156,2.86489352,1567,75,2413,4583,4136,4055,,,
YPR009W,-1,-1,3.051715627,2.640609987,1568,1619,3966,2865,5177,4894,,,
YNL275W,-1,-1,3.051678994,3.120868292,1569,3477,2684,1446,1499,2889,,,
YPL106C,-1,-1,3.051452909,2.994855359,1570,1241,2370,2998,2745,2002,,,
YNL217W,0,0,3.050904253,2.719824028,1571,4493,5271,3118,3869,5171,,,
YGR250C,0,-1,3.049523268,2.6779112,1572,102,4890,3937,3443,1726,,,
YGR097W,-1,-1,3.048851259,2.901017896,1573,1423,4112,4276,4187,2984,,,
YGL045W,-1,-1,3.047795579,2.80617849,1574,2453,3231,4408,3659,1878,,,
YKL041W,-1,-1,3.046117284,2.48235632,1575,1409,1628,1638,2552,1883,,,
YLR025W,-1,-1,3.045994914,2.15639251,1576,2151,1486,1538,4710,5328,,,
YLR191W,-1,-1,3.045341607,2.904957361,1577,1789,2063,628,1589,2869,,,
YJL031C,0,0,3.044470408,2.683450696,1578,2482,563,901,2013,4020,,,
YER071C,0,-1,3.043388972,3.338558295,1579,1269,4439,2334,753,1489,,,
YPL030W,-1,-1,3.043262317,2.198442777,1580,3249,5323,4353,4781,3434,,,
YDR214W,-1,-1,3.043052364,3.049783573,1581,518,2130,1399,1369,1194,,,
YGR123C,-1,-1,3.042726614,2.180522775,1582,5259,2477,4006,3321,4436,,,
YJL155C,0,0,3.041255442,2.391786735,1583,832,120,2753,3087,1721,,,
YPR097W,0,0,3.039368565,2.867686396,1584,5242,4823,1627,2492,1582,,,
YPR200C,0,0,3.039047667,3.180466848,1585,2242,4067,5284,2764,2756,,,
YPL165C,0,0,3.038734159,2.270572213,1586,828,5382,5229,3381,1725,,,
YPR094W,-1,-1,3.038253279,2.868137807,1587,2029,1926,3250,2097,3765,,,
YIL176C,0,0,3.037198418,3.0535114,1588,262,4777,4761,3815,3803,,,
YDR033W,-1,0,3.037067662,2.898866024,1589,3298,6010,4318,5498,4418,,,
YGL215W,0,-1,3.036590981,2.899569773,1590,804,2524,2855,5017,5180,,,
YKR013W,0,-1,3.036309942,2.567320553,1591,1910,5262,3305,3854,3570,,,
YML052W,-1,-1,3.035871327,2.878084023,1592,2674,1063,2442,697,762,,,
YKR100C,0,0,3.035512316,3.197460052,1593,3735,3584,2401,4517,4100,,,
YEL003W,-1,-1,3.034666571,2.551858807,1594,1470,674,2890,267,234,,,
YEL072W,0,-1,3.03312795,3.023427651,1595,101,4899,3238,5182,4223,,,
YDR315C,-1,-1,3.032954672,2.456668793,1596,905,1014,2386,4243,2880,,,
YLR128W,-1,0,3.032630317,2.842634967,1597,590,1759,1793,2855,4028,,,
YJR075W,0,-1,3.032124393,2.371819827,1598,4776,2733,999,283,183,,,
YOR086C,0,-1,3.032121758,2.601768767,1599,1008,5273,1004,2476,2871,,,
YLR359W,0,0,3.031421645,3.191539219,1600,4398,2110,3683,5465,4826,,,
YLL055W,-1,-1,3.030400951,2.537351165,1601,1158,5949,4248,4135,3413,,,
YLR388W,0,-1,3.030379368,2.280030854,1602,1324,1986,4351,2269,5233,,,
YIL076W,-1,-1,3.029631469,2.920793993,1603,2273,2766,3850,922,1002,,,
YPL231W,-1,-1,3.029026134,3.177726964,1605,1628,2944,4882,3254,1918,,,
YOR182C,0,-1,3.028699464,2.778273538,1606,1404,1991,4528,3472,4862,,,
YHL024W,-1,-1,3.028579946,2.717176355,1607,874,944,4738,4577,4082,,,
YKL033W-A,0,0,3.027947507,3.214510537,1608,1383,5754,5582,4166,3280,,,
YOL121C,-1,-1,3.027487081,2.719513118,1609,4389,1897,5431,3959,5076,,,
YDR504C,0,0,3.027254152,2.239512892,1610,1463,6087,1764,3109,3654,,,
YNL078W,-1,-1,3.026364454,3.256986864,1611,2685,2910,4087,3216,1980,,,
YHR148W,-1,-1,3.025298667,2.515815475,1612,3246,158,4883,5520,5693,,,
YGL261C,0,0,3.024700794,2.94608619,1613,122,5913,4075,4455,3826,,,
YDL015C,-1,-1,3.024401904,3.242995949,1614,1838,2180,1075,2323,5592,,,
YPL224C,-1,-1,3.024032031,2.35663256,1615,633,634,1141,2028,1595,,,
YDR350C,0,-1,3.023051882,2.460592866,1616,4179,1166,837,2129,3644,,,
YPL255W,-1,-1,3.02239648,2.683251849,1617,4419,819,2939,5165,5762,,,
YOR099W,-1,-1,3.022231674,2.902851043,1618,1756,3797,1827,1510,1369,,,
YBR070C,-1,-1,3.021742867,2.88456047,1619,4648,2869,2471,3373,5506,,,
YPR013C,0,-1,3.021364583,3.213747787,1620,332,5226,3286,5323,5010,,,
YGL028C,0,0,3.018228642,3.022543678,1621,4859,2807,3893,1853,1083,,,
YER036C,-1,-1,3.017932574,2.284171435,1622,5225,3645,5001,4746,3455,,,
YOR087W,-1,-1,3.016078711,2.913569479,1623,2381,448,2086,301,492,,,
YNL118C,-1,-1,3.015443454,2.566000569,1624,1725,2601,719,2541,2191,,,
YDR353W,-1,-1,3.015307978,2.343520405,1625,369,2513,1663,4518,5625,,,
YJR074W,0,0,3.015144472,2.86501745,1626,37,644,950,2741,5334,,,
YEL049W,0,0,3.01511875,2.98287803,1627,517,5042,5099,3188,3237,,,
YGL196W,0,0,3.014317661,2.614901953,1628,1729,5830,1101,1752,1554,,,
YLR264W,0,-1,3.014247172,2.436265427,1629,2931,2721,4500,3525,3256,,,
YNL181W,0,0,3.014211441,2.724539709,1630,4149,4528,146,625,3751,,,
YDL154W,-1,-1,3.013806858,3.053484968,1631,653,2909,4458,2262,1449,,,
YKL063C,0,0,3.013546529,2.68949295,1632,2489,4348,731,804,3752,,,
YER082C,-1,-1,3.012671595,2.367328918,1633,3001,2639,4392,5386,5555,,,
YFL037W,-1,-1,3.01207623,3.144979808,1634,2334,2742,1439,589,875,,,
YPL220W,0,-1,3.01161978,2.533950021,1635,2468,2165,4752,3872,5426,,,
YJR135W-A,1,1,3.011214623,2.645011484,1636,2150,2,5593,237,136,,,
YPR124W,-1,-1,3.010903374,2.860579326,1637,1804,2111,762,1306,3896,,,
YGR131W,0,0,3.01041115,3.384217266,1638,244,5928,5051,2923,2932,,,
YPL242C,-1,-1,3.009447719,2.60409474,1639,1558,1803,2394,1030,990,,,
YMR294W,0,-1,3.008844128,2.644400275,1640,77,1847,2057,942,927,,,
YGR260W,0,-1,3.007534753,3.011766774,1641,4599,3867,1616,2297,2906,,,
YEL015W,-1,-1,3.007262238,2.642544981,1642,1951,1170,214,925,1841,,,
YOR047C,-1,-1,3.005996228,2.593132971,1643,3486,1632,2882,5042,4385,,,
YCR023C,-1,0,3.005822,2.800861886,1644,4903,5151,1132,1726,3637,,,
YHL031C,0,0,3.005482541,2.827004559,1645,1249,1577,1530,2324,5034,,,
YJL186W,-1,-1,3.004736422,3.113604141,1646,4468,2550,1983,2416,2069,,,
YFL052W,0,-1,3.000495486,2.559986527,1647,2990,4526,5352,5765,5529,,,
YMR194W,0,-1,2.998958556,2.513680617,1648,3606,218,5114,2454,4653,,,
YMR274C,0,-1,2.998349269,2.864617998,1649,2152,386,1902,3136,3622,,,
YIL134W,-1,-1,2.998035107,2.895786838,1650,2083,1258,384,711,1549,,,
YOR090C,-1,-1,2.997660778,2.809314497,1651,2299,633,655,1803,1643,,,
YER024W,0,-1,2.996264859,2.735387148,1652,131,1683,3448,3080,2357,,,
YGR194C,0,0,2.996103152,1.438619413,1653,1660,121,1054,2068,1766,,,
YBR041W,-1,-1,2.992626763,2.541069983,1654,2115,2519,1082,1295,946,,,
YOR167C,0,-1,2.991179591,2.406718611,1655,2688,2420,4584,1994,4240,,,
YML116W,0,-1,2.990476595,2.788771637,1656,1937,3305,4213,5198,4975,,,
YPL113C,0,0,2.989131249,2.86443763,1657,1096,619,2206,2785,3082,,,
YGL147C,0,-1,2.988483655,2.345310108,1658,1962,1561,5077,4324,5326,,,
YMR110C,0,-1,2.988052972,1.706071398,1659,1950,5774,700,3252,4921,,,
YKR009C,-1,-1,2.987928784,2.701459245,1660,1467,1920,3336,4836,3596,,,
YKL124W,-1,-1,2.98748296,1.931018394,1661,3432,2863,3812,4495,2835,,,
YGL145W,0,0,2.98738863,2.961853144,1662,2432,1713,3388,5094,4815,,,
YLR397C,0,-1,2.987188313,2.199667013,1663,1554,1295,4345,4488,1969,,,
YJL222W,0,0,2.98714195,2.667780313,1664,1081,3663,3808,4500,3827,,,
YHR099W,-1,-1,2.986752662,2.588324253,1665,978,1850,4247,4520,3319,,,
YPR029C,0,-1,2.986073732,2.56086988,1666,2327,2059,274,1197,1739,,,
YPL264C,0,0,2.985816088,2.641676104,1667,379,6029,3270,1402,1397,,,
YJL101C,-1,-1,2.98551368,2.721480261,1668,1632,3633,2378,4466,4230,,,
YPR005C,-1,-1,2.985279937,2.133484762,1669,3983,1518,3512,3850,3571,,,
YLR097C,-1,-1,2.985204352,2.864111514,1670,2616,1685,1128,2378,4245,,,
YDL183C,0,-1,2.982754961,2.588499836,1671,302,5654,3120,3340,3659,,,
YLR380W,-1,-1,2.982672793,3.011518699,1672,3851,4102,1489,4686,5048,,,
YOR320C,-1,-1,2.982594033,2.419400599,1673,3823,413,529,999,1126,,,
YPL183C,-1,-1,2.981879967,1.919865677,1674,4693,4511,3954,5180,3988,,,
YDR414C,-1,-1,2.981491574,2.555723316,1675,5287,1209,2965,3336,1912,,,
YNL156C,-1,-1,2.980399365,2.201620436,1676,688,88,759,550,640,,,
YMR100W,0,-1,2.9802277,2.193459656,1677,3365,3598,1703,3262,3373,,,
YLR080W,0,0,2.979479198,2.35284025,1678,953,522,3438,4670,4680,,,
YGR121C,0,-1,2.979323498,2.752672959,1679,1016,1164,3149,5271,5458,,,
YLR229C,-1,-1,2.979022189,2.638924324,1680,2347,599,1459,1583,4786,,,
YIL133C,0,-1,2.97799306,2.451138928,1681,3485,306,4699,4798,5737,,,
YER066W,0,0,2.97754787,2.715337829,1682,160,4561,2100,1167,1354,,,
YBR159W,-1,-1,2.977496688,2.818533179,1683,4722,712,727,670,786,,,
YMR063W,-1,-1,2.976377793,2.797061168,1684,3832,3928,4740,428,554,,,
YGR061C,0,0,2.975956875,2.737861907,1685,1740,3375,4767,5701,4974,,,
YMR209C,0,0,2.975885544,2.725683129,1686,607,4345,1878,3688,3399,,,
YOL092W,0,-1,2.97418532,2.37819986,1687,951,4643,4305,5534,5332,,,
YHL034C,0,0,2.973659613,3.217857484,1688,965,1858,1052,1775,2892,,,
YLR467W,-1,-1,2.973291823,3.091834765,1689,2745,3761,4833,5245,3888,,,
YCR031C,-1,-1,2.973063504,2.612495367,1690,3537,498,4741,4325,5428,,,
YDR338C,0,0,2.972921766,3.209250012,1691,2695,6028,3201,2567,2238,,,
YGL005C,0,0,2.971528038,2.563673708,1692,724,1333,1921,2730,4229,,,
YNR019W,-1,-1,2.969723935,2.824894146,1693,5396,2313,4582,792,561,,,
YNL101W,-1,-1,2.969161472,2.524961071,1694,2317,2500,2954,4881,5050,,,
YLR238W,-1,-1,2.968924499,2.289288793,1695,1330,675,1350,3004,3922,,,
YLR194C,0,0,2.968157031,2.982617108,1696,3327,3005,3986,2391,1269,,,
YFL034C-A,-1,-1,2.966617974,2.857016505,1697,3016,1791,5493,3842,2161,,,
YJR109C,0,0,2.966523033,2.927243513,1698,3759,3410,4219,4150,2092,,,
YGR066C,0,-1,2.966137805,2.670731623,1699,141,4496,5509,3357,2259,,,
YKR058W,0,0,2.966082371,2.239412353,1700,1385,1716,4052,5670,5539,,,
YMR275C,1,1,2.965965059,2.523394575,1701,2305,73,1373,111,250,,,
YLR432W,0,0,2.96567721,2.750716534,1702,4379,249,4872,4697,3732,,,
YBR023C,-1,-1,2.96547692,3.037614187,1703,5307,3271,4081,243,61,,,
YPR196W,0,-1,2.965014242,2.807569744,1704,2631,5117,4927,4672,4201,,,
YMR279C,0,-1,2.962608178,2.989687754,1705,344,4260,4819,4251,4064,,,
YBR101C,-1,-1,2.961395112,2.913661327,1706,996,3903,3092,1008,859,,,
YML013W,-1,-1,2.961372391,2.90707661,1707,3183,1423,2553,1955,1614,,,
YBR210W,-1,0,2.961136741,2.656912679,1708,2217,2034,754,356,500,,,
YCR106W,0,-1,2.960759365,2.714063626,1709,3273,3882,4787,5761,5642,,,
YOL122C,-1,-1,2.959989502,2.6648652,1710,744,379,118,671,1433,,,
YDR055W,0,0,2.959305504,2.980355883,1711,4068,2688,3885,3068,1917,,,
YMR033W,-1,-1,2.959040921,2.348835144,1712,3250,1421,1797,3396,2085,,,
YDR541C,0,0,2.958745769,2.727870512,1713,1899,4284,3241,4179,3690,,,
YKR030W,0,0,2.958583652,2.561181282,1714,1792,2112,995,2010,2690,,,
YLR404W,0,-1,2.956996825,2.824333846,1715,1839,4651,1849,1635,3061,,,
YKR017C,0,-1,2.956592274,2.441836409,1716,451,5334,3523,3715,3258,,,
YHR001W,-1,-1,2.955851105,2.685955124,1717,1491,1481,222,815,1550,,,
YOR202W,0,0,2.955558204,2.747136925,1718,1252,3900,3580,3662,3995,,,
YPL244C,-1,-1,2.955309214,2.574562111,1719,2930,1426,1493,1539,1713,,,
YPL123C,0,-1,2.95524288,2.437998951,1720,1220,405,2737,5004,3714,,,
YOR332W,-1,-1,2.955181758,2.798303031,1721,1506,1260,881,1142,1203,,,
YHR082C,-1,-1,2.955090114,2.810398646,1722,544,631,2918,4787,4117,,,
YMR171C,-1,-1,2.954375109,2.540126038,1723,1788,6091,2160,3985,4543,,,
YIL023C,-1,-1,2.954142943,2.908097442,1724,1626,1147,2209,1594,1757,,,
YJR004C,-1,-1,2.953093549,2.626929604,1725,3965,3186,3789,3086,1788,,,
YBL089W,-1,-1,2.952338443,2.574267541,1726,1290,1027,2059,1152,536,,,
YMR290C,-1,-1,2.952287711,2.264478743,1727,4998,392,4750,5787,5768,,,
YBR029C,-1,-1,2.950437655,2.866351713,1728,1346,2691,607,588,1143,,,
YLL035W,-1,-1,2.950368,2.181690745,1729,4943,3054,4420,5326,4577,,,
YDR003W,0,0,2.949754458,2.172266023,1730,210,351,2280,3855,1879,,,
YIR022W,0,0,2.949102771,2.885515363,1731,2465,377,1066,1230,1522,,,
YNL151C,-1,-1,2.948959179,1.884504815,1732,4395,692,4370,5396,5028,,,
YOR306C,-1,-1,2.948439149,2.698115941,1733,5065,2152,4143,1902,1681,,,
YHR079C-A,-1,-1,2.947410636,2.582116176,1734,4363,4169,5589,3889,2971,,,
YHR140W,0,0,2.946868915,3.445161315,1735,2373,5006,3774,3296,3784,,,
YPL058C,-1,0,2.945940246,2.637421325,1736,3051,3442,4609,5316,4633,,,
YER010C,0,0,2.94566332,2.962534164,1737,208,5172,1231,1217,4422,,,
YML054C,0,0,2.945305425,2.098295262,1738,2891,5154,1065,1192,1283,,,
YAL028W,0,-1,2.945107104,2.462884605,1739,2761,1450,4594,4246,4176,,,
YGL178W,-1,-1,2.943520139,2.879461595,1740,2010,3961,4586,4869,3188,,,
YBR169C,-1,-1,2.942666826,1.429571116,1741,1320,130,4069,4133,1791,,,
YLR042C,0,0,2.942038353,3.076332532,1742,5157,4303,4267,5586,5436,,,
YPL159C,-1,-1,2.941569698,2.584087785,1744,1848,5002,2156,3813,1826,,,
YOR307C,0,-1,2.941329943,2.616276012,1745,2284,2785,1778,4442,4803,,,
YNL311C,-1,0,2.94025792,2.441498004,1746,1547,3835,2728,4305,2986,,,
YJR099W,-1,-1,2.940035766,2.85875109,1747,3025,1742,365,1180,4235,,,
YJR159W,0,0,2.93905586,3.162857942,1748,2402,3553,3604,4153,4449,,,
YDR089W,0,-1,2.938867235,2.885816321,1749,1996,2260,4313,3619,2964,,,
YEL036C,-1,-1,2.937990262,2.90344917,1750,2323,3473,1802,4029,4004,,,
YOR115C,0,-1,2.937484208,2.45585613,1751,3484,555,1883,2003,2067,,,
YAR033W,0,0,2.937186007,2.747620636,1752,1277,3240,2392,2270,2230,,,
YBR293W,-1,-1,2.936735478,2.687666431,1753,2909,2784,2987,846,608,,,
YGR229C,-1,-1,2.936471109,2.501309838,1754,5102,2087,2201,285,151,,,
