Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,ST Diff,SPELL Diff,MEFIT Diff,bioPIXIE Diff,,
YPL104W,-1,-1,2.25954463,1.480533166,873,5793,16,27,166,-4920,857,846,707,,
YHL024W,-1,-1,2.259457194,1.202332569,874,944,4738,4577,4082,-70,-3864,-3703,-3208,,
YNL260C,0,-1,2.25915473,1.775748734,875,5033,3423,2284,3207,-4158,-2548,-1409,-2332,,
YGL160W,-1,-1,2.258981459,1.647380157,876,5946,448,560,615,-5070,428,316,261,,
YKL105C,0,-1,2.258148129,1.592908585,877,5183,2957,3598,4163,-4306,-2080,-2721,-3286,,
YKL047W,0,-1,2.255919504,2.105933952,878,5311,2778,4687,3151,-4433,-1900,-3809,-2273,,
YDR316W,-1,-1,2.254950895,1.474571869,879,5827,130,69,195,-4948,749,810,684,,
YLL039C,-1,-1,2.253240039,1.195224431,880,1163,2960,4193,3461,-283,-2080,-3313,-2581,,
YGR220C,-1,-1,2.252985333,1.363210371,881,5666,39,9,59,-4785,842,872,822,,
YKR049C,-1,-1,2.252397995,1.319637994,882,4796,2429,1553,1199,-3914,-1547,-671,-317,,
YCL051W,-1,-1,2.251820344,1.39420396,883,719,2756,2962,3521,164,-1873,-2079,-2638,,
YDR307W,-1,-1,2.250818624,1.601928156,884,4418,965,2109,4143,-3534,-81,-1225,-3259,,
YJL036W,-1,1,2.249827933,1.245720141,885,851,1436,3440,3741,34,-551,-2555,-2856,,
YFL016C,1,1,2.249648793,1.128567889,886,97,1730,532,288,789,-844,354,598,,
YOR125C,-1,-1,2.24957319,1.339913177,887,445,497,757,1396,442,390,130,-509,,
YKR070W,0,-1,2.247543221,1.78414549,888,4909,290,1034,1125,-4021,598,-146,-237,,
YMR226C,-1,-1,2.247219523,1.362197388,889,439,1744,3153,2602,450,-855,-2264,-1713,,
YKR066C,-1,-1,2.246605769,1.403944198,890,702,2359,2170,1070,188,-1469,-1280,-180,,
YPL198W,-1,-1,2.24597623,1.591365917,891,185,4124,2903,3315,706,-3233,-2012,-2424,,
YPL259C,-1,-1,2.24489179,1.55851774,892,2209,1001,2735,2417,-1317,-109,-1843,-1525,,
YBR126C,-1,-1,2.244821838,1.192946374,893,81,2184,1255,1092,812,-1291,-362,-199,,
YDR259C,-1,-1,2.244807101,1.534639585,894,1646,3945,5597,5156,-752,-3051,-4703,-4262,,
YLR448W,-1,-1,2.242783531,1.610251811,895,242,4809,4326,5176,653,-3914,-3431,-4281,,
YBR005W,-1,-1,2.239451058,1.50788427,896,1679,4430,5501,4308,-783,-3534,-4605,-3412,,
YBR066C,-1,-1,2.238705975,1.556333474,897,2052,3928,4165,2662,-1155,-3031,-3268,-1765,,
YMR116C,-1,-1,2.237139014,1.605185839,898,2431,4921,5384,5333,-1533,-4023,-4486,-4435,,
YER035W,-1,-1,2.236788785,1.269015315,899,283,3282,4038,2657,616,-2383,-3139,-1758,,
YIL022W,1,1,2.236631956,1.455128941,900,4880,193,278,222,-3980,707,622,678,,
YPL060W,-1,-1,2.236214557,1.553274697,901,5240,3104,880,340,-4339,-2203,21,561,,
YFR052W,-1,-1,2.235420626,1.167978246,902,225,328,900,4924,677,574,2,-4022,,
YNL055C,1,1,2.234022224,1.743229553,903,61,2582,1804,833,842,-1679,-901,70,,
YDR387C,-1,-1,2.231922909,1.682593052,904,4261,2267,1534,1502,-3357,-1363,-630,-598,,
YDR315C,-1,-1,2.231342895,1.417007361,905,1014,2386,4243,2880,-109,-1481,-3338,-1975,,
YDR247W,-1,-1,2.231083651,1.447794628,906,3735,4864,5342,4096,-2829,-3958,-4436,-3190,,
YBR214W,-1,-1,2.230711421,1.21764015,907,704,3758,3348,2607,203,-2851,-2441,-1700,,
YBR253W,-1,-1,2.229207268,1.598798203,908,1402,893,773,777,-494,15,135,131,,
YOR166C,0,-1,2.228887964,1.632655646,909,5244,2027,1557,1480,-4335,-1118,-648,-571,,
YBR006W,-1,-1,2.228740139,1.197318373,910,173,2920,1984,1180,737,-2010,-1074,-270,,
YLL023C,-1,-1,2.228066782,1.360087937,911,5685,1325,4202,4660,-4774,-414,-3291,-3749,,
YOL039W,-1,-1,2.227433159,1.421021651,912,3130,4388,3393,2387,-2218,-3476,-2481,-1475,,
YBR230C,-1,1,2.22687973,1.35171108,913,5195,1951,1280,937,-4282,-1038,-367,-24,,
YGR277C,-1,-1,2.225495641,1.71783933,914,3330,745,1470,1890,-2416,169,-556,-976,,
YNL115C,-1,-1,2.225474388,1.130944923,915,5188,1067,1390,1261,-4273,-152,-475,-346,,
YBR179C,1,1,2.224449886,1.389929595,916,28,1801,50,15,888,-885,866,901,,
YDR479C,-1,-1,2.224432172,1.292314304,917,212,1959,4266,2307,705,-1042,-3349,-1390,,
YOR159C,-1,-1,2.224077794,1.591249981,918,223,1316,1536,4526,695,-398,-618,-3608,,
YMR297W,-1,-1,2.223754703,1.466509513,919,941,2292,3159,1648,-22,-1373,-2240,-729,,
YIL093C,-1,-1,2.223665548,1.572204552,920,5393,651,161,247,-4473,269,759,673,,
YJL143W,1,1,2.223305684,1.520483361,921,5135,742,488,680,-4214,179,433,241,,
YGL115W,-1,-1,2.222810857,1.244127476,922,167,47,203,1330,755,875,719,-408,,
YBL047C,-1,-1,2.22275708,1.65541647,923,1923,1473,202,549,-1000,-550,721,374,,
YOR230W,-1,-1,2.221624514,1.516134136,924,489,1841,3938,4043,435,-917,-3014,-3119,,
YDR153C,-1,-1,2.221311629,1.747537984,925,2258,2042,3521,3897,-1333,-1117,-2596,-2972,,
YNL026W,1,1,2.219117396,1.522359314,926,58,45,455,1351,868,881,471,-425,,
YHR083W,1,1,2.217999607,1.305523925,927,2127,801,312,160,-1200,126,615,767,,
YGR168C,0,-1,2.217540814,1.833281215,928,5134,3222,4527,3148,-4206,-2294,-3599,-2220,,
YPL061W,-1,-1,2.217203794,1.355390891,929,3180,2746,317,264,-2251,-1817,612,665,,
YGL004C,-1,-1,2.216585562,1.181833296,930,828,1235,3024,2595,102,-305,-2094,-1665,,
YMR092C,-1,-1,2.216165068,1.594427305,931,574,334,146,23,357,597,785,908,,
YMR284W,-1,-1,2.215740894,1.206718042,932,179,997,1283,1128,753,-65,-351,-196,,
YDR129C,-1,-1,2.215544067,1.471484189,933,5612,1652,102,8,-4679,-719,831,925,,
YPR108W,-1,-1,2.214464154,1.449061869,934,260,198,916,4419,674,736,18,-3485,,
YKR046C,-1,-1,2.213785843,1.292219044,935,803,2261,790,597,132,-1326,145,338,,
YMR259C,0,-1,2.212772386,1.65342127,936,5680,4471,4431,2391,-4744,-3535,-3495,-1455,,
YLR259C,1,1,2.211596648,1.689778866,937,4411,585,264,162,-3474,352,673,775,,
YNL007C,-1,-1,2.211415192,1.65624903,938,756,3486,2167,1213,182,-2548,-1229,-275,,
YNL213C,1,1,2.210385373,1.383075763,939,63,366,308,450,876,573,631,489,,
YDR286C,0,0,2.209584949,1.857762429,940,4718,905,439,4011,-3778,35,501,-3071,,
YIR018W,-1,-1,2.209328186,1.471837128,941,2540,4711,2954,2138,-1599,-3770,-2013,-1197,,
YDL083C,-1,-1,2.207795552,1.560926447,942,1807,4838,3868,5075,-865,-3896,-2926,-4133,,
YML003W,0,-1,2.20773147,1.960510231,943,4655,5060,1002,1168,-3712,-4117,-59,-225,,
YJL138C,-1,-1,2.205691894,1.468266181,944,2118,4253,3384,2840,-1174,-3309,-2440,-1896,,
YJL136C,-1,-1,2.205222162,1.690367096,945,1860,4734,2759,5024,-915,-3789,-1814,-4079,,
YNL022C,0,-1,2.204973255,1.595127027,946,182,2988,4478,3975,764,-2042,-3532,-3029,,
YBL087C,-1,-1,2.204222236,1.503454999,947,1732,4686,3867,5507,-785,-3739,-2920,-4560,,
YMR310C,0,-1,2.20409766,1.595262821,948,295,4933,5549,4704,653,-3985,-4601,-3756,,
YAR028W,0,-1,2.203160732,1.998404625,949,4923,3162,2045,2029,-3974,-2213,-1096,-1080,,
YIR005W,-1,-1,2.201405388,1.625098531,950,2009,3128,3135,2314,-1059,-2178,-2185,-1364,,
YOL092W,-1,-1,2.201375716,1.365885024,951,4643,4305,5534,5332,-3692,-3354,-4583,-4381,,
YOR173W,-1,-1,2.200953596,1.146212863,952,136,2861,3486,2624,816,-1909,-2534,-1672,,
YLR080W,-1,-1,2.200461256,1.384472323,953,522,3438,4670,4680,431,-2485,-3717,-3727,,
YOR244W,-1,-1,2.19902079,1.18094456,954,285,831,1231,1793,669,123,-277,-839,,
YGL134W,-1,-1,2.198614865,1.556980939,955,2592,2929,4403,2991,-1637,-1974,-3448,-2036,,
YPR085C,0,-1,2.197506351,2.208611794,956,4946,2548,3253,3241,-3990,-1592,-2297,-2285,,
YML057W,-1,-1,2.197050519,1.514353992,957,111,283,1519,3158,846,674,-562,-2201,,
YER094C,-1,-1,2.196462479,1.42377776,958,143,1375,1545,4849,815,-417,-587,-3891,,
YMR286W,-1,-1,2.195856582,1.284512914,959,4716,1030,133,79,-3757,-71,826,880,,
YGR183C,-1,1,2.195274166,1.181315244,960,1043,1266,390,369,-83,-306,570,591,,
YML132W,-1,-1,2.193639156,1.287738606,961,1135,2944,3394,3932,-174,-1983,-2433,-2971,,
YCR093W,-1,-1,2.193547698,1.442318588,962,332,3107,4933,5497,630,-2145,-3971,-4535,,
YPL120W,-1,-1,2.193178544,1.342652987,963,1477,834,2531,2290,-514,129,-1568,-1327,,
YGR077C,-1,-1,2.192836373,1.569976943,964,1911,636,1988,3502,-947,328,-1024,-2538,,
YHL034C,-1,-1,2.192699404,1.654468147,965,1858,1052,1775,2892,-893,-87,-810,-1927,,
YML103C,0,-1,2.191636635,1.622826804,966,2450,3404,4110,2410,-1484,-2438,-3144,-1444,,
YJR094C,0,-1,2.191302826,1.738981913,967,4050,4929,3428,3551,-3083,-3962,-2461,-2584,,
YNL223W,-1,1,2.191232215,1.349045844,968,561,4060,3648,2270,407,-3092,-2680,-1302,,
YBL078C,-1,1,2.189017787,1.15892907,969,558,3408,4986,3984,411,-2439,-4017,-3015,,
YGL008C,-1,-1,2.188799115,1.62125616,970,2025,4529,3637,3725,-1055,-3559,-2667,-2755,,
YPL271W,-1,-1,2.188363258,1.222498505,971,5547,1421,446,380,-4576,-450,525,591,,
YCR046C,-1,-1,2.188324329,1.415188835,972,4688,106,14,39,-3716,866,958,933,,
YDL001W,0,-1,2.188039971,1.631485899,973,5196,2453,2136,3178,-4223,-1480,-1163,-2205,,
YFL005W,-1,-1,2.18758921,1.665570186,974,1511,367,928,1307,-537,607,46,-333,,
YER143W,-1,-1,2.187351397,1.279669081,975,298,415,1702,2186,677,560,-727,-1211,,
YPL135W,-1,-1,2.185049669,1.344063405,976,509,2260,519,145,467,-1284,457,831,,
YOR348C,-1,-1,2.18465851,1.353330181,977,3560,4817,3832,3946,-2583,-3840,-2855,-2969,,
YHR099W,-1,-1,2.183941772,1.555332254,978,1850,4247,4520,3319,-872,-3269,-3542,-2341,,
YNR020C,-1,1,2.183824744,1.200203167,979,330,816,388,966,649,163,591,13,,
YMR120C,0,-1,2.183006525,1.784946212,980,2855,4459,5460,4502,-1875,-3479,-4480,-3522,,
YDR381W,-1,-1,2.182869808,1.32123107,981,2901,2880,4515,5509,-1920,-1899,-3534,-4528,,
YJL117W,-1,-1,2.182771552,1.753736356,982,2930,3163,4159,2306,-1948,-2181,-3177,-1324,,
YPL269W,-1,-1,2.182368176,1.643694658,983,3860,3693,201,291,-2877,-2710,782,692,,
YGR212W,-1,-1,2.180983806,1.669989588,984,3299,4308,3675,2810,-2315,-3324,-2691,-1826,,
YKR104W,-1,-1,2.180024798,1.693329808,985,3228,5238,4025,2975,-2243,-4253,-3040,-1990,,
YDL007W,-1,-1,2.179729859,1.282021048,986,905,280,1227,4664,81,706,-241,-3678,,
YHL015W,-1,-1,2.179522953,1.484586899,987,2407,4749,3640,5393,-1420,-3762,-2653,-4406,,
YJR133W,-1,-1,2.178948984,1.580296232,988,5245,107,337,4310,-4257,881,651,-3322,,
YDR181C,0,-1,2.178494523,1.615784005,989,3069,2352,4101,5267,-2080,-1363,-3112,-4278,,
YDR047W,-1,-1,2.177033719,1.284572888,990,2887,158,628,1929,-1897,832,362,-939,,
YML007W,-1,-1,2.176565228,1.299679811,991,684,599,327,263,307,392,664,728,,
YGR142W,-1,-1,2.176216239,1.432463092,992,2969,4399,2130,1154,-1977,-3407,-1138,-162,,
YBR173C,-1,-1,2.175982306,1.51554065,993,751,460,676,885,242,533,317,108,,
YJL044C,-1,-1,2.174269483,1.325496372,994,3879,2077,2926,3520,-2885,-1083,-1932,-2526,,
YEL052W,-1,-1,2.173978747,1.232876631,995,4839,114,282,180,-3844,881,713,815,,
YBR101C,-1,-1,2.173482716,1.473259474,996,3903,3092,1008,859,-2907,-2096,-12,137,,
YLR449W,-1,-1,2.173473692,1.440170634,997,1030,5151,5440,5186,-33,-4154,-4443,-4189,,
YOR059C,-1,-1,2.173062094,1.222673661,998,5908,1131,2524,4339,-4910,-133,-1526,-3341,,
YMR067C,-1,-1,2.17253312,1.486703006,999,5286,502,186,70,-4287,497,813,929,,
YMR282C,-1,-1,2.172378299,1.319473165,1000,5812,435,163,197,-4812,565,837,803,,
YKL057C,0,-1,2.172004602,1.615285914,1001,1802,267,1415,5199,-801,734,-414,-4198,,
YOL151W,-1,-1,2.171224494,1.28813047,1002,228,3074,5149,5754,774,-2072,-4147,-4752,,
YLR132C,-1,-1,2.170328719,1.629782448,1003,1074,769,1091,916,-71,234,-88,87,,
YJL054W,1,1,2.170327291,1.432693436,1004,31,233,46,26,973,771,958,978,,
YDR002W,-1,-1,2.168950812,1.580945019,1005,2678,2380,1812,4335,-1673,-1375,-807,-3330,,
YHR116W,-1,1,2.168366599,1.35715054,1006,5770,307,431,1389,-4764,699,575,-383,,
YML078W,-1,-1,2.167877918,1.41523257,1007,314,257,263,300,693,750,744,707,,
YOR086C,-1,-1,2.167569565,1.31682884,1008,5273,1004,2476,2871,-4265,4,-1468,-1863,,
YNL084C,-1,-1,2.166521634,1.276588969,1009,178,160,600,1216,831,849,409,-207,,
YAL036C,0,-1,2.166370994,1.624297876,1010,1083,4836,4480,2174,-73,-3826,-3470,-1164,,
YHR168W,-1,-1,2.165668108,1.289895943,1011,836,1378,1372,1356,175,-367,-361,-345,,
YOL095C,1,1,2.164307499,1.489975785,1012,14,3920,2373,3210,998,-2908,-1361,-2198,,
YJR009C,-1,-1,2.163926731,1.662010886,1013,4001,4021,2240,1469,-2988,-3008,-1227,-456,,
YBR145W,-1,-1,2.163261331,1.905765401,1014,4086,3971,4149,4226,-3072,-2957,-3135,-3212,,
YDR049W,0,-1,2.163164911,1.658936949,1015,4765,2399,4481,3899,-3750,-1384,-3466,-2884,,
YGR121C,-1,-1,2.163143038,1.372192584,1016,1164,3149,5271,5458,-148,-2133,-4255,-4442,,
YNR002C,-1,-1,2.162766788,1.133648561,1017,407,4426,4905,3004,610,-3409,-3888,-1987,,
YMR271C,-1,-1,2.162708287,1.414666362,1018,478,3332,3217,1601,540,-2314,-2199,-583,,
YPL132W,-1,-1,2.162141822,1.489948156,1019,5709,96,2,1611,-4690,923,1017,-592,,
YPR173C,-1,-1,2.162092479,1.634975536,1020,1495,1189,3106,2674,-475,-169,-2086,-1654,,
YKR084C,0,-1,2.161632793,1.720413421,1021,2508,652,2260,2844,-1487,369,-1239,-1823,,
YDR216W,-1,-1,2.161039594,1.261211152,1022,336,4057,2306,1436,686,-3035,-1284,-414,,
YBL058W,-1,-1,2.160693683,1.202242627,1023,381,255,637,1241,642,768,386,-218,,
YDL176W,0,-1,2.160587608,1.754339514,1024,4370,3844,4635,4083,-3346,-2820,-3611,-3059,,
YMR085W,0,-1,2.159724017,1.51762412,1025,4382,5310,3372,3391,-3357,-4285,-2347,-2366,,
YOR211C,1,1,2.157785727,1.276819322,1026,4,2025,183,148,1022,-999,843,878,,
YNL201C,0,-1,2.157490211,1.715600962,1027,1570,4025,5626,5463,-543,-2998,-4599,-4436,,
YDR222W,-1,-1,2.157415938,2.013028986,1028,6080,4271,5596,5189,-5052,-3243,-4568,-4161,,
YJR016C,-1,-1,2.157052106,1.610758384,1029,507,4756,2036,740,522,-3727,-1007,289,,
YMR156C,-1,-1,2.156788641,1.530735406,1030,884,2529,4343,2692,146,-1499,-3313,-1662,,
YDR248C,-1,-1,2.156547298,1.386471801,1031,6017,1487,1953,2433,-4986,-456,-922,-1402,,
YLL019C,-1,-1,2.156478747,1.292625674,1032,256,1631,4652,4616,776,-599,-3620,-3584,,
YDR202C,-1,-1,2.15635666,1.074343303,1033,610,1765,2822,1967,423,-732,-1789,-934,,
YDR370C,0,-1,2.155873773,1.724546967,1034,4793,3263,3459,2153,-3759,-2229,-2425,-1119,,
YJR116W,0,-1,2.155585439,2.114120688,1035,5567,3268,1622,958,-4532,-2233,-587,77,,
YDR424C,-1,-1,2.154031351,1.399435848,1036,3426,3190,399,604,-2390,-2154,637,432,,
YCR096C,-1,-1,2.153418208,1.361355175,1037,4517,4334,4614,4807,-3480,-3297,-3577,-3770,,
YMR280C,-1,-1,2.153053872,1.356876824,1038,1527,4593,4838,3000,-489,-3555,-3800,-1962,,
YPR102C,-1,-1,2.150779259,1.503844742,1039,955,4722,3908,5706,84,-3683,-2869,-4667,,
YOL008W,-1,-1,2.150259377,1.598882532,1040,1722,824,911,1379,-682,216,129,-339,,
YBR302C,-1,-1,2.149819713,1.314386652,1041,4368,3199,3841,3949,-3327,-2158,-2800,-2908,,
YLR332W,-1,-1,2.148355302,1.589971488,1042,2942,3433,1291,1119,-1900,-2391,-249,-77,,
YNL289W,-1,-1,2.148337621,1.002358799,1043,1267,969,2140,4022,-224,74,-1097,-2979,,
YKL224C,0,-1,2.146588689,1.98814857,1044,5116,3831,4256,3968,-4072,-2787,-3212,-2924,,
YNL032W,-1,-1,2.145589715,1.514709699,1045,1318,1386,736,847,-273,-341,309,198,,
YMR149W,-1,-1,2.145285277,1.512111661,1046,1394,690,920,1320,-348,356,126,-274,,
YCL064C,-1,-1,2.144515198,1.446065405,1047,3714,1704,882,404,-2667,-657,165,643,,
YNL180C,-1,-1,2.144224699,1.419082536,1048,1645,2405,2382,2038,-597,-1357,-1334,-990,,
YLR170C,-1,-1,2.144037549,1.276967366,1049,1574,647,1462,2165,-525,402,-413,-1116,,
YCR024C,-1,-1,2.143739228,1.395535141,1050,1286,196,297,432,-236,854,753,618,,
YDL019C,-1,-1,2.143440773,1.570275668,1051,1009,1590,2786,1804,42,-539,-1735,-753,,
YDR515W,-1,-1,2.141017593,1.501179403,1052,677,1418,1307,2216,375,-366,-255,-1164,,
YOR386W,-1,-1,2.138888571,1.289668485,1053,939,3209,3501,2157,114,-2156,-2448,-1104,,
YGR044C,-1,-1,2.137891946,1.1703188,1054,1282,3000,1661,1081,-228,-1946,-607,-27,,
YOR363C,-1,-1,2.137776049,1.502946448,1055,2019,3191,3922,2377,-964,-2136,-2867,-1322,,
YOR316C,-1,-1,2.135710995,1.533165123,1056,1557,795,3570,5236,-501,261,-2514,-4180,,
YBR217W,-1,1,2.135577379,1.577466266,1057,2897,2283,703,738,-1840,-1226,354,319,,
YEL034W,-1,-1,2.135144965,1.45153404,1058,3247,3696,733,589,-2189,-2638,325,469,,
YBL102W,-1,-1,2.135100589,1.240231359,1059,1210,389,652,889,-151,670,407,170,,
YLR053C,0,-1,2.134736058,1.801211541,1060,5089,5098,3152,2947,-4029,-4038,-2092,-1887,,
YDR054C,-1,-1,2.134579895,1.324785027,1061,1915,477,3261,5343,-854,584,-2200,-4282,,
YIL088C,-1,-1,2.133104075,1.41819581,1062,871,616,1373,1552,191,446,-311,-490,,
YJL124C,-1,-1,2.132513774,1.403262133,1063,297,319,807,3021,766,744,256,-1958,,
YNL030W,-1,-1,2.131548839,1.204512725,1064,500,2626,1395,5543,564,-1562,-331,-4479,,
YJL167W,-1,-1,2.13145548,1.60486038,1065,835,606,401,539,230,459,664,526,,
YMR197C,-1,-1,2.13080775,1.044310022,1066,200,785,1609,1759,866,281,-543,-693,,
YKL207W,0,-1,2.130142147,1.458886782,1067,6093,1232,518,397,-5026,-165,549,670,,
YPL172C,-1,-1,2.130133393,1.498678213,1068,4822,54,45,81,-3754,1014,1023,987,,
YPR157W,0,-1,2.126935754,2.006204452,1069,5605,5337,4603,4198,-4536,-4268,-3534,-3129,,
YBR054W,-1,-1,2.126006416,1.540976733,1070,4622,4504,5714,5161,-3552,-3434,-4644,-4091,,
YNL178W,-1,-1,2.124925633,1.359928027,1071,1383,4893,1679,5619,-312,-3822,-608,-4548,,
YDL018C,-1,-1,2.123595199,1.199931932,1072,350,268,801,4723,722,804,271,-3651,,
YEL060C,-1,-1,2.121668065,1.235063729,1073,250,3568,2035,1345,823,-2495,-962,-272,,
YNL306W,-1,-1,2.121448698,1.389092944,1074,5237,48,134,139,-4163,1026,940,935,,
YLL026W,-1,-1,2.12080507,1.180249444,1075,76,4111,2838,1571,999,-3036,-1763,-496,,
YMR304W,-1,-1,2.119587997,1.18866719,1076,423,1002,3112,3040,653,74,-2036,-1964,,
YOR157C,-1,-1,2.118794304,1.45981914,1077,252,360,1605,3759,825,717,-528,-2682,,
YDR486C,-1,-1,2.118321182,1.237318484,1078,227,691,1315,1524,851,387,-237,-446,,
YKL130C,-1,-1,2.117146853,1.529185836,1079,1474,976,1968,2715,-395,103,-889,-1636,,
YGL089C,-1,-1,2.117056725,1.793947082,1080,4147,5160,4984,4689,-3067,-4080,-3904,-3609,,
YJL222W,0,-1,2.116240559,1.516605477,1081,3663,3808,4500,3827,-2582,-2727,-3419,-2746,,
YNL098C,-1,-1,2.115955569,1.390170341,1082,1040,809,1350,3614,42,273,-268,-2532,,
YGR222W,-1,-1,2.115896435,1.505285571,1083,707,398,445,517,376,685,638,566,,
YLR258W,-1,-1,2.114813115,1.122400347,1084,246,1705,5127,5287,838,-621,-4043,-4203,,
YGR258C,-1,-1,2.114658287,1.225719809,1085,1969,3254,5041,3985,-884,-2169,-3956,-2900,,
YHR021C,-1,-1,2.110665844,1.703396239,1086,1104,5052,3586,5168,-18,-3966,-2500,-4082,,
YKL051W,-1,-1,2.11058514,1.446051712,1087,3662,3815,5049,3019,-2575,-2728,-3962,-1932,,
YOR232W,1,1,2.110470374,1.238712102,1088,5969,110,387,1404,-4881,978,701,-316,,
YLL014W,-1,-1,2.109102202,1.374667378,1089,4567,2190,2098,4142,-3478,-1101,-1009,-3053,,
YOL107W,-1,-1,2.108597416,1.522551445,1090,5564,3088,5566,5686,-4474,-1998,-4476,-4596,,
YIL065C,1,1,2.108037593,1.434474588,1091,38,1351,230,223,1053,-260,861,868,,
YJL171C,-1,-1,2.106836597,1.594995787,1092,5045,2811,4395,4357,-3953,-1719,-3303,-3265,,
YHR076W,-1,-1,2.106653332,1.360444899,1093,5959,355,1140,3487,-4866,738,-47,-2394,,
YMR030W,-1,-1,2.106198917,1.195340725,1094,951,3382,5485,5359,143,-2288,-4391,-4265,,
YPL147W,-1,-1,2.105794599,1.067161438,1095,2035,4288,3338,3251,-940,-3193,-2243,-2156,,
YPL113C,-1,-1,2.105485148,1.276698083,1096,619,2206,2785,3082,477,-1110,-1689,-1986,,
YBL075C,-1,-1,2.105206348,1.434663404,1097,108,4255,1716,1334,989,-3158,-619,-237,,
YPR080W,-1,-1,2.10464933,1.382353256,1098,2051,4377,4663,3880,-953,-3279,-3565,-2782,,
YIL034C,-1,-1,2.10455877,1.317236424,1099,4359,971,104,32,-3260,128,995,1067,,
YDR179W-A,0,-1,2.104516619,1.822868396,1100,4808,5043,3288,3378,-3708,-3943,-2188,-2278,,
YEL009C,-1,-1,2.104460762,1.152190162,1101,2628,3573,3870,4541,-1527,-2472,-2769,-3440,,
YGR213C,0,-1,2.10369068,1.63447859,1102,3201,5243,3768,3677,-2099,-4141,-2666,-2575,,
YOR120W,-1,-1,2.103639098,1.013923694,1103,197,2754,5273,5406,906,-1651,-4170,-4303,,
YKR052C,-1,-1,2.10277029,1.167410659,1104,4293,2788,2014,1626,-3189,-1684,-910,-522,,
YJL106W,-1,-1,2.102231093,1.358752355,1105,3175,5191,5247,4762,-2070,-4086,-4142,-3657,,
YPR008W,-1,-1,2.10168808,1.423611075,1106,1798,1877,924,802,-692,-771,182,304,,
YMR022W,-1,-1,2.100094865,1.323022647,1107,894,675,2112,4428,213,432,-1005,-3321,,
YKR093W,-1,-1,2.098933691,1.325190417,1108,2559,2179,2546,1848,-1451,-1071,-1438,-740,,
YAL003W,-1,-1,2.098907695,1.453354462,1109,3476,3832,4566,4743,-2367,-2723,-3457,-3634,,
YOR275C,-1,-1,2.09826567,1.072832671,1110,526,637,2384,3881,584,473,-1274,-2771,,
YOL047C,0,-1,2.097636104,1.580857254,1111,5466,5355,3631,3560,-4355,-4244,-2520,-2449,,
YHR104W,-1,-1,2.097161087,1.174405587,1112,110,2982,4570,4279,1002,-1870,-3458,-3167,,
YDR037W,-1,-1,2.096600649,1.392846629,1113,1669,4625,5445,4917,-556,-3512,-4332,-3804,,
YKL168C,-1,-1,2.096419148,1.063153994,1114,4690,483,1693,2167,-3576,631,-579,-1053,,
YIL117C,-1,-1,2.095494741,1.744784561,1115,529,4997,2142,1862,586,-3882,-1027,-747,,
YJL082W,-1,-1,2.094822705,1.60864881,1116,4960,3768,3465,2056,-3844,-2652,-2349,-940,,
YLR134W,-1,-1,2.094386522,1.487201679,1117,2789,2200,1793,1426,-1672,-1083,-676,-309,,
YOR142W,-1,-1,2.093840237,1.276626732,1118,4803,248,370,257,-3685,870,748,861,,
YKR094C,-1,-1,2.092047814,1.354300017,1119,477,4514,4883,5534,642,-3395,-3764,-4415,,
YPL181W,-1,-1,2.092002256,1.181932267,1120,1672,3024,4296,4614,-552,-1904,-3176,-3494,,
YER019C-A,-1,-1,2.091458907,1.366038496,1121,1005,4096,1948,4852,116,-2975,-827,-3731,,
YMR025W,-1,-1,2.09092737,1.275830479,1122,2829,1541,3390,4438,-1707,-419,-2268,-3316,,
YOL040C,-1,-1,2.090607207,1.30388375,1123,353,4765,4092,5398,770,-3642,-2969,-4275,,
YOR165W,0,-1,2.090574914,1.328727564,1124,347,189,715,1636,777,935,409,-512,,
YBR026C,-1,-1,2.089903564,1.128450656,1125,80,894,1032,663,1045,231,93,462,,
YJL159W,-1,-1,2.089651101,1.509902639,1126,418,3667,1958,1977,708,-2541,-832,-851,,
YOL116W,-1,-1,2.086865887,1.453630802,1127,998,1736,2906,4149,129,-609,-1779,-3022,,
YOL009C,1,1,2.085899447,1.321451471,1128,70,536,94,49,1058,592,1034,1079,,
YNR037C,-1,-1,2.085541608,1.177520359,1129,4947,161,485,1962,-3818,968,644,-833,,
YDR099W,-1,-1,2.085438855,1.38199807,1130,363,792,2417,4431,767,338,-1287,-3301,,
YBL092W,-1,-1,2.08496178,1.462348807,1131,1243,4943,3229,4733,-112,-3812,-2098,-3602,,
YDR394W,-1,-1,2.084325893,1.153578829,1132,1094,275,1182,2688,38,857,-50,-1556,,
YOR096W,-1,-1,2.084018055,1.471733866,1133,1004,4603,2453,5635,129,-3470,-1320,-4502,,
YFR048W,0,-1,2.083597888,1.768659963,1134,2204,2712,2881,3357,-1070,-1578,-1747,-2223,,
YHL009C,-1,-1,2.082957631,1.322715913,1135,3232,2839,2978,1838,-2097,-1704,-1843,-703,,
YHR011W,-1,-1,2.082613588,1.431379913,1136,4286,533,306,414,-3150,603,830,722,,
YDL239C,1,1,2.08243724,1.417398392,1137,3600,4906,4409,1730,-2463,-3769,-3272,-593,,
YDL217C,1,1,2.081566351,1.497366843,1138,25,3058,235,152,1113,-1920,903,986,,
