Gene,Original Label,Modern Label,NN Rank,Spell Rank,Difference
YLL039C,-1,-1,880,2960.0,-2080.0
YER175C,-1,-1,353,2440.0,-2087.0
YDL091C,-1,-1,822,2916.0,-2094.0
YBR101C,-1,-1,996,3092.0,-2096.0
YDL020C,-1,-1,456,2554.0,-2098.0
YDL233W,0,-1,446,2555.0,-2109.0
YEL007W,0,-1,114,2230.0,-2116.0
YGL250W,-1,-1,547,2669.0,-2122.0
YMR195W,-1,-1,625,2747.0,-2122.0
YDL073W,0,-1,382,2505.0,-2123.0
YJL084C,0,-1,258,2384.0,-2126.0
YGL010W,-1,-1,318,2449.0,-2131.0
YHL035C,-1,-1,694,2826.0,-2132.0
YCR093W,-1,-1,962,3107.0,-2145.0
YGR173W,0,-1,862,3011.0,-2149.0
YJR104C,-1,-1,214,2368.0,-2154.0
YLR312W-A,-1,-1,220,2376.0,-2156.0
YIR005W,-1,-1,950,3128.0,-2178.0
YNL157W,0,-1,98,2278.0,-2180.0
YKR023W,0,-1,522,2702.0,-2180.0
YJL117W,-1,-1,982,3163.0,-2181.0
YGL253W,-1,-1,708,2891.0,-2183.0
YNL336W,-1,-1,566,2750.0,-2184.0
YJL151C,-1,-1,493,2678.0,-2185.0
YIL051C,1,-1,536,2731.0,-2195.0
YPL060W,-1,-1,901,3104.0,-2203.0
YGR209C,-1,-1,808,3017.0,-2209.0
YGR136W,0,-1,40,2253.0,-2213.0
YAR028W,0,-1,949,3162.0,-2213.0
YLR436C,0,-1,126,2341.0,-2215.0
YHR155W,0,-1,554,2772.0,-2218.0
YKL128C,0,-1,267,2487.0,-2220.0
YJL172W,-1,-1,776,3008.0,-2232.0
YPR182W,-1,-1,710,2976.0,-2266.0
YJR096W,-1,-1,663,2931.0,-2268.0
YNL200C,0,-1,22,2298.0,-2276.0
YER064C,0,-1,413,2691.0,-2278.0
YDR358W,-1,-1,274,2557.0,-2283.0
YGL056C,0,-1,180,2464.0,-2284.0
YER057C,0,-1,100,2391.0,-2291.0
YGR168C,0,-1,928,3222.0,-2294.0
YPL199C,0,-1,354,2655.0,-2301.0
YDR423C,-1,-1,851,3160.0,-2309.0
YGL227W,-1,-1,779,3089.0,-2310.0
YBR046C,-1,-1,506,2827.0,-2321.0
YPL219W,0,-1,43,2381.0,-2338.0
YLL040C,-1,1,479,2825.0,-2346.0
YGR234W,-1,-1,568,2915.0,-2347.0
YLR422W,0,1,443,2795.0,-2352.0
YFL030W,0,-1,63,2422.0,-2359.0
YGL006W,-1,-1,559,2919.0,-2360.0
YFL062W,-1,-1,572,2934.0,-2362.0
YIL149C,0,-1,539,2909.0,-2370.0
YOL159C,0,-1,658,3030.0,-2372.0
YPL154C,-1,-1,482,2856.0,-2374.0
YHR082C,-1,-1,544,2918.0,-2374.0
YCL025C,-1,-1,763,3143.0,-2380.0
YLR119W,-1,-1,640,3022.0,-2382.0
YER035W,-1,-1,899,3282.0,-2383.0
YFL034W,0,-1,464,2864.0,-2400.0
YEL012W,-1,-1,120,2537.0,-2417.0
YGR110W,0,-1,67,2486.0,-2419.0
YPR179C,0,-1,606,3036.0,-2430.0
YLL007C,0,1,272,2706.0,-2434.0
YGL140C,0,-1,347,2782.0,-2435.0
YML103C,0,-1,966,3404.0,-2438.0
YBL078C,-1,1,969,3408.0,-2439.0
YGR149W,0,-1,20,2469.0,-2449.0
YPL222W,0,-1,237,2689.0,-2452.0
YOL048C,0,-1,17,2480.0,-2463.0
YLR080W,-1,-1,953,3438.0,-2485.0
YGL053W,-1,-1,414,2912.0,-2498.0
YNL249C,0,-1,316,2838.0,-2522.0
YGL114W,0,-1,161,2684.0,-2523.0
YJL179W,-1,-1,810,3335.0,-2525.0
YGR102C,0,-1,404,2936.0,-2532.0
YNL260C,0,-1,875,3423.0,-2548.0
YNL007C,-1,-1,938,3486.0,-2548.0
YGR180C,-1,-1,850,3400.0,-2550.0
YBL015W,0,-1,34,2591.0,-2557.0
YGR155W,-1,-1,818,3375.0,-2557.0
YOL016C,-1,-1,704,3264.0,-2560.0
YGL037C,-1,-1,643,3216.0,-2573.0
YCL040W,-1,-1,781,3359.0,-2578.0
YLR251W,-1,-1,311,2895.0,-2584.0
YJL057C,-1,-1,376,2972.0,-2596.0
YMR262W,-1,-1,516,3113.0,-2597.0
YOR104W,0,-1,473,3079.0,-2606.0
YKL133C,0,-1,2,2625.0,-2623.0
YGR086C,-1,-1,202,2828.0,-2626.0
YKL162C,0,-1,87,2716.0,-2629.0
YDR258C,1,1,679,3311.0,-2632.0
YHL048W,0,-1,38,2671.0,-2633.0
YER020W,-1,-1,826,3459.0,-2633.0
YHR008C,-1,-1,217,2851.0,-2634.0
YPL111W,-1,-1,548,3187.0,-2639.0
YKL093W,-1,-1,730,3380.0,-2650.0
YJL185C,0,1,108,2770.0,-2662.0
YDR276C,-1,-1,498,3172.0,-2674.0
YOR185C,0,-1,65,2757.0,-2692.0
YDR001C,-1,-1,415,3122.0,-2707.0
YPL269W,-1,-1,983,3693.0,-2710.0
YDL022W,-1,-1,431,3147.0,-2716.0
YOR273C,-1,-1,555,3271.0,-2716.0
YER053C,-1,-1,223,2941.0,-2718.0
YLR375W,0,-1,95,2816.0,-2721.0
YBR108W,0,-1,300,3034.0,-2734.0
YBR071W,0,-1,189,2926.0,-2737.0
YGR127W,0,-1,7,2763.0,-2756.0
YOL081W,0,-1,31,2790.0,-2759.0
YDR074W,-1,-1,649,3410.0,-2761.0
YER111C,-1,-1,715,3491.0,-2776.0
YDL234C,0,-1,127,2908.0,-2781.0
YGR042W,0,-1,297,3086.0,-2789.0
YDR342C,-1,-1,428,3220.0,-2792.0
YMR111C,0,-1,689,3481.0,-2792.0
YPR149W,-1,-1,260,3053.0,-2793.0
YPL006W,-1,-1,615,3412.0,-2797.0
YOR093C,0,-1,366,3169.0,-2803.0
YCR059C,0,-1,819,3630.0,-2811.0
YDL183C,0,-1,302,3120.0,-2818.0
YER128W,0,-1,610,3437.0,-2827.0
YML100W,-1,-1,177,3010.0,-2833.0
YAL005C,1,1,752,3589.0,-2837.0
YMR265C,0,-1,684,3526.0,-2842.0
YIL111W,-1,-1,681,3531.0,-2850.0
YBR214W,-1,-1,907,3758.0,-2851.0
YHR100C,0,-1,224,3077.0,-2853.0
YLR243W,0,-1,203,3060.0,-2857.0
YOR062C,0,-1,90,2967.0,-2877.0
YPR045C,0,-1,534,3414.0,-2880.0
YIL136W,-1,-1,247,3129.0,-2882.0
YKL026C,-1,-1,844,3726.0,-2882.0
YOL083W,0,-1,140,3031.0,-2891.0
YPL264C,0,-1,379,3270.0,-2891.0
YIR039C,-1,-1,860,3752.0,-2892.0
YHL021C,-1,1,512,3418.0,-2906.0
YJL048C,-1,-1,187,3097.0,-2910.0
YCR015C,0,-1,192,3115.0,-2923.0
YPR040W,0,-1,142,3071.0,-2929.0
YDL025C,-1,-1,654,3583.0,-2929.0
YFL027C,0,-1,455,3390.0,-2935.0
YPL216W,0,-1,690,3628.0,-2938.0
YDR096W,-1,-1,621,3560.0,-2939.0
YPR013C,0,-1,332,3286.0,-2954.0
YOR223W,0,-1,310,3283.0,-2973.0
YPL191C,0,-1,623,3598.0,-2975.0
YDR152W,0,-1,717,3703.0,-2986.0
YML002W,0,-1,397,3384.0,-2987.0
YOR219C,-1,-1,806,3803.0,-2997.0
YBR183W,-1,-1,695,3719.0,-3024.0
YDR088C,-1,-1,706,3731.0,-3025.0
YOL086C,-1,-1,816,3843.0,-3027.0
YBR066C,-1,-1,897,3928.0,-3031.0
YPL014W,0,-1,229,3261.0,-3032.0
YDR533C,-1,-1,349,3381.0,-3032.0
YDR069C,-1,-1,361,3397.0,-3036.0
YHR128W,-1,-1,672,3723.0,-3051.0
YDR259C,-1,-1,894,3945.0,-3051.0
YCR095C,0,-1,432,3493.0,-3061.0
YKR017C,0,-1,451,3523.0,-3072.0
YLR178C,-1,-1,487,3576.0,-3089.0
YNL223W,-1,1,968,4060.0,-3092.0
YPL052W,0,-1,228,3321.0,-3093.0
YLR164W,-1,-1,711,3816.0,-3105.0
YKL023W,0,-1,358,3465.0,-3107.0
YPL041C,0,-1,490,3605.0,-3115.0
YPR093C,0,-1,670,3801.0,-3131.0
YEL072W,0,-1,101,3238.0,-3137.0
YNL160W,-1,-1,425,3567.0,-3142.0
YIL089W,0,-1,531,3686.0,-3155.0
YFL007W,0,-1,230,3396.0,-3166.0
YIL166C,0,-1,721,3891.0,-3170.0
YJR124C,0,-1,772,3946.0,-3174.0
YAL034C,0,-1,55,3240.0,-3185.0
YCL067C,-1,-1,858,4049.0,-3191.0
YEL011W,-1,-1,128,3327.0,-3199.0
YGL247W,0,-1,336,3536.0,-3200.0
YDR277C,0,-1,815,4022.0,-3207.0
YOL114C,0,-1,667,3876.0,-3209.0
YPL198W,-1,-1,891,4124.0,-3233.0
YGL108C,0,-1,85,3333.0,-3248.0
YLR179C,0,-1,113,3367.0,-3254.0
YER025W,-1,-1,783,4051.0,-3268.0
YHR099W,-1,-1,978,4247.0,-3269.0
YLR271W,0,-1,178,3453.0,-3275.0
YBR025C,0,-1,433,3721.0,-3288.0
YJL138C,-1,-1,944,4253.0,-3309.0
YGR243W,0,-1,33,3343.0,-3310.0
YHR162W,0,-1,403,3716.0,-3313.0
YER024W,0,-1,131,3448.0,-3317.0
YDL124W,-1,-1,407,3727.0,-3320.0
YGR212W,-1,-1,984,4308.0,-3324.0
YKL151C,0,-1,94,3435.0,-3341.0
YOR276W,0,-1,146,3488.0,-3342.0
YJL161W,0,-1,24,3369.0,-3345.0
YKR043C,0,-1,525,3873.0,-3348.0
YOL092W,-1,-1,951,4305.0,-3354.0
YJL052W,-1,-1,569,3925.0,-3356.0
YOR152C,0,-1,301,3666.0,-3365.0
YDL048C,0,-1,665,4063.0,-3398.0
YGR142W,-1,-1,992,4399.0,-3407.0
YGL096W,-1,-1,558,3979.0,-3421.0
YMR219W,0,-1,194,3621.0,-3427.0
YLR174W,-1,-1,448,3881.0,-3433.0
YIR030C,0,-1,402,3842.0,-3440.0
YPR160W,-1,-1,597,4058.0,-3461.0
YOR028C,-1,-1,731,4194.0,-3463.0
YKR076W,0,-1,6,3479.0,-3473.0
YKL188C,-1,-1,533,4008.0,-3475.0
YOL039W,-1,-1,912,4388.0,-3476.0
YMR120C,0,-1,980,4459.0,-3479.0
YEL039C,-1,-1,270,3754.0,-3484.0
YHL008C,-1,-1,564,4050.0,-3486.0
YPL171C,-1,-1,734,4221.0,-3487.0
YPR158W,0,-1,46,3578.0,-3532.0
YJL049W,0,-1,334,3868.0,-3534.0
YBR005W,-1,-1,896,4430.0,-3534.0
YMR259C,0,-1,936,4471.0,-3535.0
YER091C,-1,-1,780,4320.0,-3540.0
YIL167W,-1,-1,648,4195.0,-3547.0
YFL042C,0,-1,184,3733.0,-3549.0
YLR044C,-1,-1,478,4031.0,-3553.0
YGL008C,-1,-1,970,4529.0,-3559.0
YMR196W,0,-1,30,3597.0,-3567.0
YML128C,-1,-1,546,4147.0,-3601.0
YGR201C,0,-1,276,3878.0,-3602.0
YEL041W,-1,-1,477,4083.0,-3606.0
YHL039W,0,-1,798,4416.0,-3618.0
YER132C,0,-1,200,3833.0,-3633.0
YLR211C,0,-1,401,4093.0,-3692.0
YOR133W,-1,-1,867,4566.0,-3699.0
YHR138C,-1,-1,440,4140.0,-3700.0
YMR250W,-1,-1,99,3804.0,-3705.0
YPR184W,-1,-1,375,4105.0,-3730.0
YKL072W,0,-1,406,4138.0,-3732.0
YBL087C,-1,-1,947,4686.0,-3739.0
YER043C,0,-1,384,4134.0,-3750.0
YKR091W,0,-1,51,3802.0,-3751.0
YMR173W,-1,-1,338,4095.0,-3757.0
YHL015W,-1,-1,987,4749.0,-3762.0
YIR018W,-1,-1,941,4711.0,-3770.0
YJL136C,-1,-1,945,4734.0,-3789.0
YJL177W,-1,-1,834,4633.0,-3799.0
YDL154W,-1,-1,653,4458.0,-3805.0
YER158C,0,-1,508,4321.0,-3813.0
YCR091W,-1,-1,578,4397.0,-3819.0
YGR250C,0,-1,102,3937.0,-3835.0
YLR173W,0,-1,308,4144.0,-3836.0
YBR013C,0,-1,769,4605.0,-3836.0
YGR088W,-1,-1,586,4424.0,-3838.0
YOR348C,-1,-1,977,4817.0,-3840.0
YJL223C,0,-1,782,4628.0,-3846.0
YDR382W,-1,-1,766,4615.0,-3849.0
YHL024W,-1,-1,874,4738.0,-3864.0
YPR089W,0,-1,165,4040.0,-3875.0
YIR014W,-1,-1,820,4702.0,-3882.0
YDL083C,-1,-1,942,4838.0,-3896.0
YGR016W,0,-1,541,4439.0,-3898.0
YLR448W,-1,-1,895,4809.0,-3914.0
YMR251W-A,-1,-1,839,4754.0,-3915.0
YDL045W-A,-1,-1,173,4101.0,-3928.0
YHL046C,0,-1,751,4687.0,-3936.0
YGL261C,0,-1,122,4075.0,-3953.0
YLL025W,0,-1,319,4274.0,-3955.0
YDR247W,-1,-1,906,4864.0,-3958.0
YJL105W,0,-1,529,4488.0,-3959.0
YJR094C,0,-1,967,4929.0,-3962.0
YJR111C,0,-1,219,4184.0,-3965.0
YHR209W,-1,-1,253,4233.0,-3980.0
YMR310C,0,-1,948,4933.0,-3985.0
YBL072C,-1,-1,837,4826.0,-3989.0
YFL014W,-1,-1,399,4398.0,-3999.0
YJL163C,0,-1,4,4004.0,-4000.0
YIL003W,0,-1,294,4304.0,-4010.0
YMR116C,-1,-1,898,4921.0,-4023.0
YML063W,-1,-1,652,4678.0,-4026.0
YDR418W,-1,-1,861,4894.0,-4033.0
YMR040W,-1,-1,509,4544.0,-4035.0
YGL103W,-1,-1,664,4725.0,-4061.0
YOR369C,-1,-1,725,4796.0,-4071.0
YLR029C,-1,-1,771,4846.0,-4075.0
YLR303W,0,-1,153,4231.0,-4078.0
YHR071W,0,-1,25,4115.0,-4090.0
YHL001W,-1,-1,793,4885.0,-4092.0
YPL186C,-1,-1,483,4578.0,-4095.0
YNR076W,0,-1,245,4341.0,-4096.0
YER126C,-1,-1,787,4895.0,-4108.0
YKL180W,-1,-1,528,4640.0,-4112.0
YLR287C,0,-1,545,4658.0,-4113.0
YML003W,0,-1,943,5060.0,-4117.0
YIL101C,-1,-1,563,4713.0,-4150.0
YLR449W,-1,-1,997,5151.0,-4154.0
YGR118W,-1,-1,698,4854.0,-4156.0
YMR217W,-1,-1,831,4988.0,-4157.0
YLR167W,-1,-1,770,4939.0,-4169.0
YPR132W,-1,-1,802,4971.0,-4169.0
YKL037W,0,1,750,4925.0,-4175.0
YFL020C,0,-1,340,4521.0,-4181.0
YLR340W,-1,-1,626,4818.0,-4192.0
YGL123W,-1,-1,833,5025.0,-4192.0
YDR171W,-1,-1,163,4366.0,-4203.0
YGL258W,0,-1,843,5050.0,-4207.0
YLR075W,-1,-1,507,4715.0,-4208.0
YKL006W,-1,-1,830,5048.0,-4218.0
YLL064C,0,-1,593,4841.0,-4248.0
YDL081C,-1,-1,635,4888.0,-4253.0
YKR104W,-1,-1,985,5238.0,-4253.0
YKL187C,0,-1,48,4316.0,-4268.0
YIL113W,-1,-1,221,4489.0,-4268.0
YER067W,0,-1,91,4371.0,-4280.0
YNL194C,-1,-1,864,5146.0,-4282.0
YBR072W,-1,-1,573,4861.0,-4288.0
YPL166W,0,1,449,4742.0,-4293.0
YMR169C,-1,-1,585,4887.0,-4302.0
YDR295C,0,-1,252,4563.0,-4311.0
YER150W,-1,-1,532,4844.0,-4312.0
YIR017C,-1,-1,543,4867.0,-4324.0
YDR542W,0,-1,109,4440.0,-4331.0
YDR185C,0,1,452,4792.0,-4340.0
YIL165C,0,1,57,4405.0,-4348.0
YNL234W,0,-1,59,4407.0,-4348.0
YHR096C,-1,-1,789,5142.0,-4353.0
YLR461W,0,-1,378,4732.0,-4354.0
YPL250C,0,1,35,4393.0,-4358.0
YCR104W,0,-1,193,4557.0,-4364.0
YDL204W,-1,-1,232,4597.0,-4365.0
YJL107C,0,-1,747,5112.0,-4365.0
YOL161C,0,-1,718,5090.0,-4372.0
YDL248W,0,-1,139,4515.0,-4376.0
YGL015C,0,-1,859,5241.0,-4382.0
YGR052W,-1,-1,792,5175.0,-4383.0
YPL165C,0,-1,828,5229.0,-4401.0
YFR022W,0,-1,269,4684.0,-4415.0
YHR087W,0,-1,14,4435.0,-4421.0
YGL030W,-1,-1,748,5173.0,-4425.0
YMR174C,0,-1,78,4505.0,-4427.0
YHR189W,0,-1,836,5263.0,-4427.0
YAR020C,0,-1,335,4764.0,-4429.0
YHR048W,0,-1,381,4810.0,-4429.0
YLL056C,0,-1,181,4617.0,-4436.0
YHR053C,0,-1,434,4890.0,-4456.0
YMR279C,0,-1,344,4819.0,-4475.0
YNR062C,0,-1,676,5164.0,-4488.0
YIL176C,0,-1,262,4761.0,-4499.0
YLR457C,0,-1,149,4651.0,-4502.0
YNR058W,0,-1,213,4716.0,-4503.0
YIR041W,0,-1,75,4583.0,-4508.0
YIL169C,0,-1,857,5370.0,-4513.0
YFL051C,0,-1,768,5308.0,-4540.0
YAL018C,0,-1,825,5376.0,-4551.0
YGR053C,0,-1,8,4581.0,-4573.0
YEL049W,0,-1,517,5099.0,-4582.0
YHR097C,0,-1,50,4634.0,-4584.0
YDL182W,0,-1,282,4889.0,-4607.0
YCR007C,0,-1,286,4913.0,-4627.0
YDL199C,0,-1,44,4693.0,-4649.0
YMR096W,0,-1,441,5134.0,-4693.0
YOL084W,-1,-1,571,5275.0,-4704.0
YDR223W,0,-1,352,5100.0,-4748.0
YKL053C-A,1,1,736,5500.0,-4764.0
YBR089C-A,-1,-1,797,5569.0,-4772.0
YGR131W,0,-1,244,5051.0,-4807.0
YDR374C,0,-1,692,5524.0,-4832.0
YHL042W,0,-1,132,4965.0,-4833.0
YPR015C,0,-1,236,5083.0,-4847.0
YGR043C,0,-1,42,4891.0,-4849.0
YMR325W,0,-1,246,5103.0,-4857.0
YEL020W-A,1,1,680,5554.0,-4874.0
YLR312C,0,-1,49,4932.0,-4883.0
YMR244W,0,-1,513,5496.0,-4983.0
YCR100C,0,-1,191,5182.0,-4991.0
YDR034W-B,0,-1,580,5590.0,-5010.0
YPR193C,0,-1,137,5149.0,-5012.0
YPL183W-A,-1,-1,500,5537.0,-5037.0
YER037W,0,-1,54,5105.0,-5051.0
YDR475C,0,-1,207,5302.0,-5095.0
YIL017C,-1,-1,465,5579.0,-5114.0
YGL263W,0,-1,273,5428.0,-5155.0
YBR147W,0,-1,45,5205.0,-5160.0
YPR133W-A,1,1,370,5547.0,-5177.0
YGR236C,0,-1,36,5367.0,-5331.0
YLR262C-A,0,-1,211,5568.0,-5357.0
YDR525W-A,0,-1,212,5571.0,-5359.0
YGR066C,0,-1,141,5509.0,-5368.0
