0,1,2,3,4,5,6
DNA replication,chromatin organization,regulation of cell cycle,,,,
mitotic cell cycle,DNA replication,chromatin organization,regulation of cell cycle,,,
chromatin organization,regulation of cell cycle,,,,,
mitotic cell cycle,chromatin organization,regulation of cell cycle,,,,
mitotic cell cycle,DNA replication,chromatin organization,transcription by RNA polymerase II,regulation of cell cycle,,
mitotic cell cycle,DNA repair,chromatin organization,transcription by RNA polymerase II,,,
mitotic cell cycle,rRNA processing,transcription by RNA polymerase II,,,,
rRNA processing,mitochondrion organization,,,,,
mitochondrion organization,tRNA processing,,,,,
endosomal transport,proteolysis involved in protein catabolic process,,,,,
endocytosis,mitochondrion organization,cytoskeleton organization,,,,
ribosomal subunit export from nucleus,tRNA processing,,,,,
endocytosis,cytoskeleton organization,endosomal transport,,,,
lipid metabolic process,endosomal transport,,,,,
lipid metabolic process,cytoskeleton organization,,,,,
lipid metabolic process,endosomal transport,proteolysis involved in protein catabolic process,,,,
cytoskeleton organization,tRNA processing,,,,,
lipid metabolic process,endocytosis,cytoskeleton organization,,,,
ribosomal subunit export from nucleus,cytoskeleton organization,,,,,
DNA-templated transcription initiation,transcription by RNA polymerase II,transposition,,,,
response to oxidative stress,RNA modification,,,,,
DNA recombination,chromosome segregation,meiotic cell cycle,regulation of cell cycle,,,
mitotic cell cycle,ribosomal large subunit biogenesis,,,,,
protein glycosylation,RNA modification,,,,,
protein glycosylation,carbohydrate transport,,,,,
amino acid transport,endosomal transport,,,,,
ion transport,endosomal transport,,,,,
DNA replication,DNA repair,RNA catabolic process,,,,
DNA recombination,RNA catabolic process,,,,,
DNA repair,DNA recombination,RNA catabolic process,,,,
DNA replication,DNA repair,DNA recombination,RNA catabolic process,,,
ion transport,cellular respiration,,,,,
protein phosphorylation,endocytosis,,,,,
protein phosphorylation,endocytosis,cytoskeleton organization,,,,
DNA repair,mRNA processing,RNA splicing,,,,
rRNA processing,mRNA processing,ribosomal large subunit biogenesis,,,,
transcription by RNA polymerase II,RNA splicing,,,,,
transcription by RNA polymerase II,mRNA processing,RNA splicing,,,,
transcription by RNA polymerase II,tRNA processing,,,,,
transcription by RNA polymerase II,mitochondrion organization,,,,,
mRNA processing,tRNA processing,,,,,
transcription by RNA polymerase II,mRNA processing,tRNA processing,,,,
mRNA processing,mitochondrion organization,,,,,
chromosome segregation,transposition,,,,,
transcription by RNA polymerase II,chromosome segregation,transposition,,,,
mitotic cell cycle,transcription by RNA polymerase II,protein phosphorylation,,,,
protein folding,ion transport,,,,,
DNA repair,chromosome segregation,meiotic cell cycle,,,,
DNA repair,DNA recombination,chromosome segregation,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,DNA repair,chromosome segregation,meiotic cell cycle,,
mitotic cell cycle,DNA repair,chromosome segregation,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,meiotic cell cycle,regulation of cell cycle,,,
mRNA processing,protein folding,,,,,
mRNA processing,protein folding,RNA splicing,,,,
mitotic cell cycle,DNA replication,DNA repair,DNA recombination,chromosome segregation,,
lipid metabolic process,peroxisome organization,,,,,
transcription by RNA polymerase I,mRNA processing,protein phosphorylation,,,,
transcription by RNA polymerase I,protein phosphorylation,,,,,
transcription by RNA polymerase I,rRNA processing,ribosomal small subunit biogenesis,,,,
transcription by RNA polymerase I,rRNA processing,,,,,
ion transport,cellular ion homeostasis,vacuole organization,,,,
cellular ion homeostasis,vacuole organization,,,,,
protein glycosylation,ion transport,,,,,
transcription by RNA polymerase II,cellular ion homeostasis,,,,,
DNA-templated transcription initiation,transcription by RNA polymerase II,cellular ion homeostasis,,,,
mitotic cell cycle,response to osmotic stress,pseudohyphal growth,,,,
response to osmotic stress,pseudohyphal growth,,,,,
protein phosphorylation,response to osmotic stress,pseudohyphal growth,,,,
mitotic cell cycle,protein phosphorylation,response to osmotic stress,pseudohyphal growth,,,
mitotic cell cycle,protein phosphorylation,response to osmotic stress,,,,
mitotic cell cycle,protein phosphorylation,pseudohyphal growth,,,,
transcription by RNA polymerase II,tRNA processing,RNA modification,,,,
DNA replication,DNA repair,chromatin organization,,,,
DNA replication,DNA repair,chromatin organization,transcription by RNA polymerase II,,,
DNA repair,chromatin organization,DNA-templated transcription initiation,,,,
DNA replication,DNA repair,transcription by RNA polymerase II,,,,
DNA replication,DNA repair,chromatin organization,DNA-templated transcription initiation,transcription by RNA polymerase II,,
DNA replication,DNA repair,DNA recombination,chromatin organization,,,
mitotic cell cycle,chromatin organization,chromosome segregation,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,DNA repair,DNA recombination,chromatin organization,chromosome segregation,meiotic cell cycle
mitotic cell cycle,DNA replication,DNA repair,chromatin organization,chromosome segregation,,
lipid metabolic process,ion transport,,,,,
cytoskeleton organization,ribosomal large subunit biogenesis,,,,,
ribosomal subunit export from nucleus,rRNA processing,ribosomal small subunit biogenesis,,,,
ribosomal subunit export from nucleus,ribosomal small subunit biogenesis,,,,,
mRNA processing,pseudohyphal growth,,,,,
mRNA processing,transposition,,,,,
lipid metabolic process,pseudohyphal growth,,,,,
conjugation with cellular fusion,mRNA processing,,,,,
mitochondrion organization,cytoskeleton organization,meiotic cell cycle,,,,
mitochondrion organization,meiotic cell cycle,,,,,
mitotic cell cycle,endocytosis,cytoskeleton organization,meiotic cell cycle,,,
pseudohyphal growth,meiotic cell cycle,regulation of cell cycle,,,,
mitotic cell cycle,conjugation with cellular fusion,response to osmotic stress,,,,
conjugation with cellular fusion,response to osmotic stress,pseudohyphal growth,,,,
mitotic cell cycle,conjugation with cellular fusion,response to osmotic stress,pseudohyphal growth,,,
conjugation with cellular fusion,response to osmotic stress,,,,,
DNA repair,chromatin organization,regulation of cell cycle,,,,
DNA repair,transcription by RNA polymerase II,regulation of cell cycle,,,,
DNA repair,chromatin organization,transcription by RNA polymerase II,regulation of cell cycle,,,
transcription by RNA polymerase II,ion transport,,,,,
mitotic cell cycle,response to osmotic stress,regulation of cell cycle,,,,
mitotic cell cycle,conjugation with cellular fusion,response to osmotic stress,regulation of cell cycle,,,
mitotic cell cycle,protein phosphorylation,chromosome segregation,,,,
mitotic cell cycle,protein phosphorylation,cytoskeleton organization,regulation of cell cycle,,,
conjugation with cellular fusion,lipid metabolic process,endocytosis,,,,
conjugation with cellular fusion,endocytosis,,,,,
conjugation with cellular fusion,lipid metabolic process,exocytosis,,,,
ion transport,response to osmotic stress,,,,,
ribosomal subunit export from nucleus,mitotic cell cycle,,,,,
ion transport,lipid transport,,,,,
RNA catabolic process,meiotic cell cycle,,,,,
mitotic cell cycle,DNA repair,protein phosphorylation,,,,
cytoplasmic translation,translational elongation,,,,,
response to oxidative stress,ribosomal small subunit biogenesis,,,,,
response to osmotic stress,response to oxidative stress,ribosomal small subunit biogenesis,,,,
lipid metabolic process,response to heat,,,,,
protein folding,mitochondrion organization,proteolysis involved in protein catabolic process,,,,
cellular ion homeostasis,response to heat,,,,,
mitotic cell cycle,transcription by RNA polymerase II,meiotic cell cycle,,,,
mitotic cell cycle,cellular ion homeostasis,regulation of cell cycle,,,,
mRNA processing,cellular ion homeostasis,,,,,
mitotic cell cycle,transcription by RNA polymerase II,meiotic cell cycle,regulation of cell cycle,,,
mitotic cell cycle,DNA-templated transcription termination,transcription by RNA polymerase II,regulation of cell cycle,,,
DNA-templated transcription termination,rRNA processing,transcription by RNA polymerase II,mRNA processing,,,
transcription by RNA polymerase II,mRNA processing,chromosome segregation,,,,
transcription by RNA polymerase II,chromosome segregation,meiotic cell cycle,,,,
DNA-templated transcription termination,rRNA processing,transcription by RNA polymerase II,,,,
lipid metabolic process,vacuole organization,,,,,
lipid metabolic process,cytoskeleton organization,vacuole organization,,,,
mitotic cell cycle,DNA repair,response to oxidative stress,cytoskeleton organization,,,
response to osmotic stress,meiotic cell cycle,,,,,
mitotic cell cycle,DNA repair,transcription by RNA polymerase II,cytoskeleton organization,,,
DNA repair,transcription by RNA polymerase II,meiotic cell cycle,,,,
mitotic cell cycle,exocytosis,meiotic cell cycle,,,,
response to oxidative stress,vacuole organization,,,,,
mitotic cell cycle,DNA-templated transcription initiation,transcription by RNA polymerase II,,,,
mitotic cell cycle,protein phosphorylation,transposition,,,,
mitotic cell cycle,protein phosphorylation,transposition,regulation of cell cycle,,,
vacuole organization,proteolysis involved in protein catabolic process,,,,,
transcription by RNA polymerase II,meiotic cell cycle,proteolysis involved in protein catabolic process,,,,
transcription by RNA polymerase I,ion transport,cellular ion homeostasis,vacuole organization,,,
mitotic cell cycle,DNA repair,cytoskeleton organization,,,,
translational initiation,mitochondrial translation,,,,,
DNA replication,transcription by RNA polymerase III,,,,,
protein phosphorylation,lipid metabolic process,,,,,
RNA catabolic process,mitochondrion organization,,,,,
conjugation with cellular fusion,protein folding,proteolysis involved in protein catabolic process,,,,
mitotic cell cycle,conjugation with cellular fusion,cytoskeleton organization,chromosome segregation,,,
DNA recombination,rRNA processing,RNA catabolic process,,,,
DNA recombination,transcription by RNA polymerase II,meiotic cell cycle,,,,
protein phosphorylation,exocytosis,,,,,
protein phosphorylation,vacuole organization,,,,,
ion transport,RNA splicing,,,,,
mRNA processing,ion transport,RNA splicing,,,,
mitochondrial translation,ribosomal large subunit biogenesis,,,,,
chromatin organization,transcription by RNA polymerase III,,,,,
mitotic cell cycle,transcription by RNA polymerase II,pseudohyphal growth,regulation of cell cycle,,,
mitotic cell cycle,transcription by RNA polymerase II,pseudohyphal growth,,,,
mRNA processing,RNA catabolic process,RNA splicing,,,,
rRNA processing,mRNA processing,RNA catabolic process,tRNA processing,RNA splicing,,
rRNA processing,mRNA processing,RNA catabolic process,RNA splicing,,,
mitotic cell cycle,protein phosphorylation,protein dephosphorylation,regulation of cell cycle,,,
protein phosphorylation,protein dephosphorylation,regulation of cell cycle,,,,
DNA recombination,proteolysis involved in protein catabolic process,,,,,
DNA repair,DNA recombination,chromosome segregation,transposition,meiotic cell cycle,,
DNA-templated transcription initiation,transcription by RNA polymerase I,transcription by RNA polymerase II,,,,
DNA-templated transcription initiation,rRNA processing,transcription by RNA polymerase II,,,,
DNA replication,DNA repair,chromatin organization,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,DNA repair,transcription by RNA polymerase II,regulation of cell cycle,,
protein phosphorylation,response to osmotic stress,regulation of cell cycle,,,,
mitotic cell cycle,conjugation with cellular fusion,cytoskeleton organization,chromosome segregation,meiotic cell cycle,,
mitotic cell cycle,conjugation with cellular fusion,chromosome segregation,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,chromatin organization,chromosome segregation,regulation of cell cycle,,
mitotic cell cycle,conjugation with cellular fusion,transcription by RNA polymerase II,,,,
chromatin organization,transcription by RNA polymerase II,mRNA processing,,,,
conjugation with cellular fusion,ribosomal large subunit biogenesis,,,,,
DNA repair,protein phosphorylation,chromosome segregation,meiotic cell cycle,,,
transcription by RNA polymerase I,protein phosphorylation,transposition,,,,
DNA repair,DNA recombination,DNA-templated transcription initiation,transcription by RNA polymerase II,,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,protein phosphorylation,response to osmotic stress,pseudohyphal growth,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,protein phosphorylation,pseudohyphal growth,,,
pseudohyphal growth,RNA modification,,,,,
mitotic cell cycle,protein phosphorylation,response to osmotic stress,regulation of cell cycle,,,
mitotic cell cycle,conjugation with cellular fusion,invasive growth in response to glucose limitation,protein phosphorylation,pseudohyphal growth,regulation of cell cycle,
mitotic cell cycle,DNA repair,chromatin organization,transcription by RNA polymerase II,chromosome segregation,,
DNA-templated transcription termination,transcription by RNA polymerase II,tRNA processing,,,,
protein dephosphorylation,mitochondrion organization,,,,,
protein dephosphorylation,response to osmotic stress,,,,,
rRNA processing,tRNA processing,RNA modification,,,,
mitotic cell cycle,transcription by RNA polymerase I,transcription by RNA polymerase III,protein phosphorylation,cellular ion homeostasis,,
conjugation with cellular fusion,lipid metabolic process,,,,,
protein glycosylation,cellular respiration,,,,,
DNA replication,DNA repair,chromatin organization,transcription by RNA polymerase II,transcription by RNA polymerase III,,
mitotic cell cycle,DNA replication,cytoskeleton organization,pseudohyphal growth,,,
RNA modification,meiotic cell cycle,,,,,
DNA replication,response to oxidative stress,vacuole organization,,,,
