Gene,Original Label,Modern Label,Mito Localized,Confidence,Background Confidence,AG bioProcOnly Rank,AG AllTerm Rank,AG Local,AG bioPIXIE,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,,
YIL145C,-1,0,-1,3.514232225,2.458738366,1848,2800,2996,1563,2023,3432,4439,4271,,
YPR188C,-1,-1,-1,2.143469558,2.01320864,3609,2425,1540,1564,1893,910,910,1341,,
YOR010C,0,0,-1,1.622637502,1.332103373,4349,4240,1341,1565,4133,3835,5310,5146,,
YIL040W,0,0,-1,4.662460342,4.397069077,798,4092,961,1566,2991,2492,1169,4334,,
YJR150C,-1,-1,-1,2.518425051,3.090225709,3039,5132,2414,1567,4127,5490,4732,4286,,
YOR171C,-1,-1,-1,1.841460592,1.419099631,4096,2205,1456,1568,2107,911,2202,3910,,
YML019W,-1,-1,-1,5.231282775,4.332467167,454,3948,1802,1569,1214,2090,3433,4939,,
YIR013C,0,-1,-1,1.733657553,2.287602371,4213,3189,2572,1570,4173,5447,4462,4189,,
YOR276W,0,-1,-1,4.409715719,2.534036833,1041,146,794,1571,202,3488,4003,4051,,
YMR113W,0,0,1,1.445511153,0.893432708,4576,1936,2259,1573,911,814,1469,1934,,
YDR338C,0,0,-1,2.602041848,2.496466013,2903,2695,1691,1574,6028,3201,2567,2238,,
YIR036C,0,0,-1,3.617949498,2.852230291,1747,468,1418,1575,5534,1504,2201,2127,,
YGL261C,0,0,-1,5.458751321,5.429083263,346,122,1613,1576,5913,4075,4455,3826,,
YCL047C,0,-1,-1,1.147423649,0.338034685,4871,2094,2549,1577,5663,1819,1826,2894,,
YHR142W,-1,-1,-1,1.166128861,1.021712449,4850,4978,1562,1578,2791,2683,326,241,,
YHR133C,-1,-1,-1,2.301853444,1.226777685,3368,3120,2378,1579,1502,2411,3007,4992,,
YCR004C,0,0,1,4.8423382,5.012009249,678,2120,1253,1580,4983,877,2011,2301,,
YOL007C,0,0,-1,2.232210627,1.496928707,3481,3015,1408,1581,5463,3657,3644,3939,,
YMR163C,-1,-1,-1,4.076449469,3.811064656,1362,5282,1317,1582,2277,1933,2277,1785,,
YBR130C,0,0,-1,2.249273841,1.795017116,3452,1840,871,1583,2285,718,3718,5394,,
YPR043W,0,-1,-1,7.234344569,6.165365307,42,2143,2200,1584,1247,4622,2956,4857,,
YLR396C,-1,-1,-1,3.911128302,3.387041496,1520,4189,1302,1585,1372,600,1841,1763,,
YMR149W,-1,-1,-1,3.519866873,3.108932409,1841,1046,803,1586,1394,690,920,1320,,
YOL110W,0,0,-1,1.480682338,1.390034584,4527,2067,2256,1587,2405,3745,966,625,,
YBR025C,0,-1,-1,1.47191476,0.752579554,4546,433,2876,1588,5636,3721,1918,1474,,
YHR140W,0,0,-1,1.708176655,2.402447451,4249,2373,1735,1589,5006,3774,3296,3784,,
YKL211C,0,0,-1,2.080776917,1.764861588,3688,3668,2366,1590,636,2137,2750,1874,,
YHR099W,-1,-1,-1,2.100352912,1.898462617,3660,978,1665,1591,1850,4247,4520,3319,,
YJL014W,-1,-1,-1,1.601420848,0.771576969,4380,4391,2150,1592,2921,852,876,1057,,
YAL059W,-1,-1,-1,3.081000102,1.836018536,2263,3761,3871,1593,475,4739,4967,4756,,
YIL151C,0,-1,-1,1.320349385,1.280502841,4690,1191,1261,1594,5797,4196,2983,3229,,
YJL196C,-1,-1,-1,3.793594663,3.208275136,1622,714,735,1595,2710,729,1138,1627,,
YNL190W,-1,0,-1,1.712959574,1.393614882,4237,3870,3557,1596,1347,4070,5666,5528,,
YLR406C,0,-1,-1,2.375204485,1.305875092,3252,2215,1009,1597,813,4899,3925,5531,,
YGR053C,0,-1,-1,3.469735514,2.528969361,1888,8,969,1598,5934,4581,3536,2367,,
YOR270C,-1,-1,-1,2.060973191,1.263596508,3720,2480,3076,1599,630,1956,2074,1518,,
YNL202W,-1,-1,-1,0.956944386,1.056420051,4991,4327,1976,1600,1207,4672,2405,1450,,
YGL028C,0,0,-1,2.811367134,2.631548297,2582,4859,1621,1601,2807,3893,1853,1083,,
YPL183C,-1,-1,-1,2.871311301,1.000967108,2505,4693,1674,1602,4511,3954,5180,3988,,
YBR171W,0,0,-1,4.739936155,4.580716113,744,5228,1095,1603,5471,1413,228,272,,
YKL080W,-1,-1,-1,3.454427623,1.996162756,1898,2904,499,1604,1327,1391,3185,5292,,
YPL056C,0,0,-1,2.74480328,2.201223122,2697,1527,2210,1605,4950,3524,3111,2782,,
YLR238W,-1,-1,-1,1.921439423,0.575057776,3982,1330,1695,1606,675,1350,3004,3922,,
YNR074C,-1,-1,1,4.354910102,5.23604728,1114,2311,2031,1607,825,4360,4258,3693,,
YNL026W,1,1,1,3.784682981,3.077784509,1631,926,1076,1608,58,45,455,1351,,
YNL129W,0,0,-1,5.399740046,5.077966816,372,1483,1816,1609,467,2587,2911,2044,,
YFR039C,0,-1,-1,4.597033827,4.184894938,855,450,1457,1610,5682,1548,2420,3075,,
YBR092C,0,0,-1,0.386056983,-0.022908324,5215,5758,3707,1611,4103,5024,5615,5223,,
YBR127C,-1,-1,-1,2.305666058,1.79646124,3364,1447,831,1612,3449,1106,672,890,,
YBR129C,-1,-1,1,2.351210606,1.519831404,3296,1633,2070,1613,1647,1020,495,795,,
YML087C,0,0,-1,5.056559742,5.697556642,549,2398,1157,1614,4547,1303,1218,3489,,
YPL088W,0,0,-1,2.678600085,2.086209154,2784,3508,1527,1616,2399,2953,2158,1373,,
YGR154C,0,0,-1,4.879401066,4.403330274,654,2197,1270,1617,2041,4042,3865,4042,,
YDR435C,0,0,-1,5.2595814,4.750821441,439,1730,1219,1618,335,2540,2556,1620,,
YKL096W,0,-1,-1,5.69600677,5.53149128,268,2415,1178,1619,3977,2818,1830,1885,,
YOL083W,0,0,-1,1.72517396,0.083202848,4222,140,1831,1620,5133,3031,4763,3594,,
YCR048W,-1,-1,-1,2.270557698,1.399957413,3417,4310,3042,1621,3936,4123,3127,3529,,
YBR222C,0,-1,-1,5.72879477,5.405731028,259,2610,2426,1622,4606,2717,2762,2350,,
YFL054C,0,-1,-1,2.263983925,1.831940714,3428,4360,1987,1623,1764,3607,1151,1023,,
YGL234W,0,0,-1,1.755089516,1.530918302,4190,4740,2479,1624,3895,4983,4965,3189,,
YAL060W,0,0,-1,4.469784034,3.29951599,987,387,1137,1625,412,1720,2334,1767,,
YJL193W,0,-1,-1,3.184337941,1.762469203,2183,1206,2300,1626,4333,1756,4283,5175,,
YMR034C,-1,-1,-1,1.96437681,1.628290069,3917,2518,1886,1627,4343,4148,3362,2363,,
YBL082C,-1,-1,-1,2.634995658,1.905579864,2855,3551,1328,1628,3755,4404,1290,1095,,
YLR042C,0,0,-1,4.755990577,4.726394646,732,5157,1742,1629,4303,4267,5586,5436,,
YJL057C,-1,-1,-1,3.727131749,2.070670388,1671,376,795,1630,5899,2972,4393,3428,,
YDR326C,0,-1,1,2.256476169,1.583845605,3440,4531,1047,1631,2031,4205,3405,1649,,
YGR016W,0,0,-1,5.183614147,4.48713339,480,541,1338,1632,5103,4439,4472,4273,,
YGR141W,0,0,-1,3.441251214,2.29045742,1916,52,1173,1633,934,1242,3419,3931,,
YGR059W,-1,-1,-1,2.71947601,2.6218418,2732,3059,2475,1634,3336,5364,5128,3481,,
YPR027C,0,0,-1,1.616138057,1.758021619,4355,1165,2456,1635,4277,4137,3107,2783,,
YLR353W,-1,-1,-1,2.705776168,2.433447928,2746,2777,630,1636,945,1359,1927,2312,,
YIL177C,0,0,-1,1.133550385,1.27030396,4884,3389,2892,1637,5394,4510,5153,3887,,
YNL219C,-1,-1,-1,0.999298249,0.313353526,4967,3429,3389,1638,2634,906,3847,5448,,
YLR165C,-1,-1,1,1.721549985,0.859511331,4229,2458,1930,1639,1817,3207,3011,3359,,
YPR184W,0,0,1,3.920834301,2.711540644,1511,375,998,1640,373,4105,3566,1622,,
YLR408C,0,0,-1,2.021146198,1.032033475,3792,1475,2701,1641,5623,1220,1486,4848,,
YDR293C,0,-1,-1,2.297461337,0.955738841,3376,1831,2318,1642,485,1501,4094,4709,,
YDL143W,-1,-1,-1,0.965584796,0.331768999,4985,3691,3040,1644,1331,1085,1642,1760,,
YFL034W,0,0,-1,2.810512766,2.265876388,2584,464,1990,1645,5935,2864,706,800,,
YPL166W,0,1,-1,3.612059048,3.060540093,1757,449,3837,1646,2954,4742,3137,2147,,
YDR245W,0,-1,-1,1.827225946,0.732858713,4110,4131,1757,1647,460,1559,368,503,,
YHR087W,0,-1,-1,4.188371538,3.51506367,1258,14,2661,1648,262,4435,3533,2634,,
YKR017C,0,-1,-1,1.850720985,0.838964376,4080,451,1716,1649,5334,3523,3715,3258,,
YAL038W,0,0,-1,6.499566362,6.794669148,103,3222,2296,1650,3580,4152,2752,1865,,
YJR047C,-1,-1,-1,7.433517689,6.277411653,32,2983,2548,1651,1485,2396,608,512,,
YDL014W,-1,-1,-1,4.830171949,3.277150761,687,1798,814,1652,635,5087,5028,4512,,
YHR028C,0,0,-1,2.587115635,2.045073899,2927,1292,1517,1653,515,2441,2440,1600,,
YDR208W,-1,-1,-1,1.931102905,0.925073114,3964,2519,2819,1654,1137,1455,3716,2205,,
YBR031W,0,-1,-1,7.272699788,6.765662218,40,1970,2289,1655,2746,4376,4423,3168,,
YDL075W,0,-1,-1,7.088285405,6.971706654,49,2932,1387,1656,2297,5316,4796,4561,,
YDR302W,-1,-1,-1,1.54754962,0.44719417,4463,4345,3124,1657,1569,1643,1492,1919,,
YLR189C,-1,-1,-1,3.006221227,2.148235321,2334,1228,1983,1658,865,1994,3220,2951,,
YNL279W,-1,-1,-1,0.789213064,0.714604315,5080,5380,3834,1659,3795,4667,5740,5516,,
YBR033W,0,-1,-1,1.621848711,1.560389098,4350,2162,1860,1661,5383,3364,930,687,,
YOL109W,0,0,1,5.883478358,5.921558549,208,2335,1125,1663,3548,4315,1867,1527,,
YLR392C,0,-1,-1,2.009842085,0.775729811,3812,206,2928,1664,4506,1790,2555,2134,,
YGR194C,0,0,-1,6.049659837,4.921855251,175,1660,1653,1665,121,1054,2068,1766,,
YHR157W,-1,-1,-1,1.674890857,1.112353905,4284,3830,2610,1666,4021,5353,3902,2650,,
YEL020C,0,-1,-1,5.422675712,5.025408267,359,2228,2466,1667,4495,1069,1719,2325,,
YNL323W,-1,-1,-1,2.074669141,1.426806579,3700,2199,3405,1668,2341,363,1242,1551,,
YOR267C,-1,-1,-1,1.613091603,0.929393965,4357,1285,2999,1669,2054,2205,5136,4656,,
YBR297W,0,-1,-1,5.000431315,5.377427781,580,3035,1399,1670,2873,3899,5208,5478,,
YER020W,-1,-1,1,2.321818206,0.922937459,3346,826,2079,1671,1313,3459,4678,2413,,
YKR030W,0,0,-1,2.691531439,2.004136295,2764,1792,1714,1673,2112,995,2010,2690,,
YDL198C,1,1,1,3.203345103,2.970330272,2162,2304,1362,1674,1712,2180,953,950,,
YKL057C,0,-1,-1,0.635330594,0.10762323,5140,1001,3038,1675,1802,267,1415,5199,,
YGR240C,0,-1,1,6.178673154,6.130882624,152,3994,2605,1676,3466,3592,2841,1632,,
YDL079C,-1,-1,-1,1.516536319,1.40035977,4496,3726,2332,1677,3648,3955,5689,5641,,
YHR172W,-1,-1,-1,1.353570815,0.347714244,4655,2303,963,1678,2411,4358,3821,3947,,
YBR154C,-1,-1,-1,6.442042652,4.872643453,109,4580,1870,1679,414,3569,1178,1091,,
YOR098C,-1,-1,-1,3.165005537,2.223678152,2196,3360,3537,1680,2695,4472,339,702,,
YER056C-A,0,-1,-1,7.446375748,6.809613681,30,2957,1944,1681,861,5162,1672,5446,,
YNL075W,-1,-1,-1,0.734739496,0.070418318,5100,3610,1469,1682,243,4748,5319,5742,,
YGR281W,0,-1,-1,3.068242371,2.912138183,2275,1333,2122,1683,1290,2311,4902,4007,,
YFR043C,0,0,-1,1.448716974,0.566658035,4573,315,2499,1684,5197,1738,2551,3917,,
YKL119C,-1,-1,-1,4.704992934,4.083893547,765,4117,1537,1685,2368,1806,1969,1602,,
YPR102C,-1,-1,-1,4.685931319,2.869343735,780,1039,889,1686,955,4722,3908,5706,,
YBR102C,-1,-1,-1,1.022747475,0.714641251,4954,4830,1211,1687,1461,3109,2174,973,,
YDL140C,-1,-1,1,4.208971077,3.271052766,1237,2973,3277,1688,1910,3732,5741,5783,,
YJL225C,0,0,-1,1.398490585,1.153883835,4614,2940,2387,1689,5360,3680,4916,3883,,
YDR119W,0,-1,-1,2.2870119,0.959997284,3395,4934,837,1690,4906,3934,5216,4649,,
YAL047C,-1,-1,-1,1.642180732,1.521446993,4324,3836,4166,1691,2831,3856,1331,904,,
YKL053C-A,1,1,1,7.181846893,6.602017175,45,736,1114,1692,85,5500,2988,2355,,
YCR089W,-1,-1,-1,5.55188479,5.091855957,314,4723,2032,1693,3873,5011,2145,1565,,
YNL166C,-1,-1,-1,2.081060422,1.041035847,3687,3826,636,1694,926,2211,3061,2179,,
YDL024C,-1,-1,-1,3.098577038,2.337404433,2248,3973,2190,1695,3213,5189,3681,2372,,
YDR009W,0,-1,-1,1.534089343,1.073688557,4478,3109,2100,1696,3899,5285,5334,4821,,
YFR029W,0,0,-1,2.29691545,1.424038569,3377,1510,1560,1697,1069,3096,522,881,,
YDR127W,0,0,-1,1.467030384,1.719142228,4552,1989,2028,1698,3501,3353,4093,2305,,
YPR198W,0,0,-1,1.611798731,1.221764413,4360,2038,2007,1699,2770,3111,3560,3394,,
YGL054C,-1,-1,-1,4.849415403,4.465973403,673,3847,904,1700,2636,1539,1404,2184,,
YOL002C,-1,-1,-1,1.296080329,0.763920741,4722,4601,3037,1701,1970,3654,1515,1010,,
YJR158W,-1,-1,-1,2.64957397,2.63255919,2831,2729,2703,1702,3778,4805,4892,4482,,
YNL023C,0,-1,-1,2.169839496,0.898848417,3570,5288,2352,1703,5520,3295,3651,1711,,
YBL027W,0,-1,-1,7.166640949,6.665112346,46,2340,2068,1704,579,4724,1398,895,,
YLR092W,-1,-1,-1,5.113066566,5.265422657,516,2288,2143,1705,3988,3192,1039,968,,
YBL006C,-1,-1,-1,2.766231603,2.170454149,2654,1471,1547,1706,1644,1565,313,441,,
YGL258W,0,0,-1,1.92014493,0.794377815,3986,843,1989,1707,5904,5050,3049,3095,,
YCR005C,-1,-1,1,3.323048389,3.558574601,2039,2095,1388,1708,3170,2932,381,279,,
YGR142W,-1,-1,-1,2.900336566,2.690407081,2464,992,1941,1711,2969,4399,2130,1154,,
YHL031C,0,0,-1,2.487030005,2.28973983,3093,1249,1645,1712,1577,1530,2324,5034,,
YJR044C,-1,-1,-1,4.21614144,3.323531639,1230,393,890,1713,186,437,915,1005,,
YER185W,-1,-1,-1,4.855955498,4.509701548,667,4520,2275,1714,4292,5327,3990,3132,,
YAL031C,-1,-1,-1,1.766295982,1.053587159,4177,3254,2417,1715,2820,2339,2242,2229,,
YER128W,0,0,-1,2.992975446,2.465993793,2352,610,1068,1716,5238,3437,5048,4626,,
YDL239C,1,1,-1,4.277351825,3.254646401,1173,1137,745,1717,3600,4906,4409,1730,,
YJR075W,0,-1,-1,3.316057642,2.092129888,2045,4776,1598,1718,2733,999,283,183,,
YDL124W,-1,-1,-1,4.133759244,2.580719617,1302,407,2518,1719,422,3727,5355,5483,,
YDL048C,0,-1,1,5.712620964,5.821774892,264,665,1144,1720,6037,4063,2894,1273,,
YJL163C,0,0,-1,3.560837411,3.047311612,1800,4,918,1721,4331,4004,5349,4501,,
YNL270C,-1,-1,-1,1.734487389,2.110923247,4212,3944,2365,1722,2389,5136,3120,3104,,
YBR182C,-1,-1,-1,2.62732304,1.840972657,2876,4761,2120,1723,3252,5286,4880,4481,,
YPL264C,0,0,-1,4.784334713,4.988565079,719,379,1667,1724,6029,3270,1402,1397,,
YER039C,-1,-1,-1,5.151843238,4.970520559,500,3699,1407,1725,5299,3623,4371,4455,,
YOR032C,-1,-1,-1,1.463292709,0.466027005,4555,2890,1759,1726,1739,4956,5635,5159,,
YCL024W,-1,-1,-1,0.624618544,0.182278766,5146,4396,2233,1727,2509,3839,4673,4518,,
YDL110C,0,-1,-1,4.665726448,2.805508566,794,195,2340,1728,5704,1368,2051,2717,,
YMR004W,0,-1,-1,1.800623623,0.880996253,4140,1763,2932,1729,658,431,2266,4111,,
YOR347C,0,0,1,5.500340756,5.527541324,323,1174,1815,1730,1641,1845,3260,1709,,
YGL263W,0,-1,-1,2.385988221,2.554101064,3237,273,1771,1731,5880,5428,3285,2604,,
YIR035C,0,0,-1,2.879408223,2.838607382,2487,1529,2119,1732,6094,4012,5179,4816,,
YLR027C,0,0,-1,5.34891486,5.86529795,401,2823,1470,1733,1427,2085,423,490,,
YPL084W,-1,-1,-1,2.26368474,0.706141313,3431,1570,3536,1734,1433,1146,3347,2181,,
YLL025W,0,0,-1,1.702340495,1.246543725,4258,319,2348,1735,6000,4274,4272,3587,,
YDR162C,-1,0,-1,2.754686986,2.212014372,2681,1812,1763,1736,2590,1384,1980,1682,,
YBR271W,0,0,-1,1.938886243,0.431082188,3953,4800,1767,1737,1036,4936,2169,1346,,
YER140W,-1,-1,1,4.362355551,3.169545571,1100,4643,1880,1738,5836,3278,4311,4066,,
YER158C,0,-1,-1,5.844752981,5.431252195,219,508,2208,1739,5486,4321,4474,3145,,
YBR038W,-1,-1,-1,1.98064144,1.791662934,3891,2246,2606,1740,3440,2130,515,591,,
YGL136C,-1,-1,1,4.317087164,3.811814519,1144,2959,1900,1741,1082,1274,2115,2900,,
YFR048W,0,-1,-1,1.851636914,1.894087381,4079,1134,1395,1742,2204,2712,2881,3357,,
YDR441C,-1,0,-1,2.523120383,1.416179976,3031,4969,2279,1743,5516,3137,3028,2049,,
YJR160C,-1,-1,-1,2.422758278,2.663612527,3188,2711,1991,1744,4036,5245,4991,4298,,
YKL154W,0,0,-1,4.888499874,4.079147239,648,3693,1067,1745,354,595,1588,4595,,
YDR497C,0,-1,-1,2.071349057,1.943248655,3707,3056,3546,1746,2196,2780,4011,4780,,
YJL186W,-1,-1,-1,4.22268304,4.037152935,1218,4468,1646,1747,2550,1983,2416,2069,,
YLR023C,-1,-1,-1,1.274664641,1.377893787,4752,1954,3221,1748,2505,2011,877,882,,
YPL230W,-1,-1,-1,5.660205076,5.070240327,280,2928,1372,1749,4604,4099,4828,3289,,
YLL021W,-1,-1,-1,2.488482739,1.236986118,3088,3821,2860,1750,3001,2538,1662,1298,,
YER184C,0,-1,-1,2.191887524,1.442669807,3542,3500,1956,1751,4695,5171,3661,3673,,
YIL041W,-1,-1,-1,1.640365505,1.308699637,4329,2007,2995,1752,4984,505,366,133,,
YLR397C,0,-1,-1,3.821615622,2.288087958,1596,1554,1663,1753,1295,4345,4488,1969,,
YER066W,0,0,-1,1.99921959,1.178499436,3828,160,1682,1754,4561,2100,1167,1354,,
YMR159C,0,1,-1,2.551856636,2.145701055,2978,4136,2436,1755,3246,4915,5642,5158,,
YJL094C,-1,-1,1,1.369285142,1.003554455,4643,3087,2433,1756,3164,3405,4856,4374,,
YDR071C,-1,-1,-1,4.456369859,5.347319957,1002,2765,2325,1757,916,1450,986,1230,,
YMR133W,-1,-1,-1,1.627103537,0.594530667,4342,2400,1539,1758,3447,5374,4456,1792,,
YOR154W,0,-1,-1,4.430663885,3.504481705,1033,2250,2035,1759,4770,3735,5223,4573,,
YLL061W,-1,-1,-1,1.213944058,1.409561573,4816,3330,3403,1760,3537,4053,5068,4769,,
YKR091W,0,-1,-1,3.052827924,2.715055001,2283,51,1349,1761,949,3802,1757,1302,,
YJL089W,-1,-1,-1,2.465470036,1.892706619,3124,1559,1484,1762,1789,5371,4704,4284,,
YIL144W,-1,-1,-1,4.325841121,3.651012903,1136,3834,1027,1763,1283,2986,5320,5355,,
YGR261C,0,0,-1,2.504602707,1.914648838,3064,4013,2162,1764,3116,394,1401,3601,,
YBR288C,0,-1,-1,1.667744505,1.114671632,4292,5097,2272,1765,1833,943,635,693,,
YJL036W,-1,1,-1,3.569168061,2.253133886,1791,885,1351,1766,851,1436,3440,3741,,
YDR027C,-1,-1,1,2.001223014,1.518246442,3818,3652,2044,1767,3019,1535,3698,3042,,
YJR133W,0,0,-1,4.277254729,3.688327256,1174,988,1199,1768,5245,107,337,4310,,
YDR056C,0,0,-1,2.95734306,2.637431108,2396,1411,895,1769,5092,270,1012,3193,,
YOL086C,0,0,-1,3.719121829,2.99983243,1680,816,833,1770,3292,3843,2148,2862,,
YPR041W,-1,-1,-1,5.930488054,4.825120105,201,3494,2244,1771,416,2335,3177,2873,,
YJL049W,0,-1,-1,2.668410416,1.793151656,2797,334,2006,1772,5539,3868,4809,5272,,
YML067C,0,0,-1,1.239450946,0.397051257,4790,4004,3993,1773,3002,2886,2516,4534,,
YJR004C,-1,-1,-1,5.833913256,4.525731247,223,3965,1725,1774,3186,3789,3086,1788,,
YBL091C-A,-1,-1,-1,5.416633091,5.370235054,362,3993,1917,1775,4494,5576,1243,537,,
YOR090C,-1,-1,1,1.546228727,0.882874163,4465,2299,1651,1776,633,655,1803,1643,,
YEL072W,0,-1,-1,2.756415265,2.666962663,2673,101,1595,1777,4899,3238,5182,4223,,
YJR073C,-1,-1,1,4.214494117,3.894790584,1232,540,703,1778,1797,2475,3475,2702,,
YJR013W,-1,-1,-1,3.949876054,3.823312202,1481,4736,1914,1779,2271,217,997,4420,,
YCR028C,-1,-1,-1,1.410511957,1.151950132,4603,5232,1881,1780,3675,4588,661,949,,
YPL249C,-1,-1,-1,1.853544788,1.740493472,4077,2922,912,1781,2843,2236,3308,3877,,
YNL012W,-1,-1,-1,2.027696709,1.31842505,3784,2521,1869,1782,641,4422,4028,3578,,
YML100W,0,0,-1,4.665032259,3.157075946,795,177,947,1783,670,3010,4813,4774,,
YNL264C,-1,-1,-1,1.78856059,1.387762087,4157,3558,3441,1784,2363,698,2162,2721,,
YDR122W,-1,-1,-1,5.893670341,5.343401754,206,1592,1949,1785,321,2857,4724,3185,,
YDL133W,0,-1,-1,2.961012209,1.516790397,2391,136,1193,1786,4939,1899,1999,3069,,
YDR516C,-1,-1,1,3.57238179,2.579435552,1788,1941,1974,1787,996,1515,3538,3444,,
YIL043C,0,-1,1,5.706069608,5.635853139,265,4691,1451,1788,1626,2804,1915,1613,,
YOL107W,0,0,-1,1.470375771,0.888177941,4547,1090,2043,1789,5564,3088,5566,5686,,
YBR143C,0,-1,-1,2.988919025,1.388596599,2357,1199,1761,1790,1420,4182,605,717,,
YBR159W,-1,-1,-1,4.439233608,4.27788587,1023,4722,1683,1791,712,727,670,786,,
YBR048W,-1,-1,-1,7.033497759,6.750476884,55,3077,3113,1792,2834,5096,4553,5240,,
YOL161C,0,0,-1,1.890275203,1.372431336,4019,718,2512,1793,5175,5090,3999,3812,,
YOR306C,-1,-1,-1,6.475482298,5.332556644,105,5065,1733,1794,2152,4143,1902,1681,,
YFL052W,0,-1,-1,5.265386488,5.536562941,437,2990,1647,1795,4526,5352,5765,5529,,
YCL035C,-1,-1,-1,4.479538473,2.86330203,975,430,2266,1796,194,2193,4332,5494,,
YIL166C,0,-1,-1,4.891590436,4.430570514,647,721,2167,1797,2528,3891,3219,1822,,
YMR033W,-1,-1,-1,5.256888332,4.752371509,441,3250,1712,1798,1421,1797,3396,2085,,
YML118W,0,-1,-1,1.880263726,0.838969072,4034,3335,2302,1799,5706,5354,4059,2660,,
YEL051W,-1,-1,-1,1.922168404,1.107047149,3981,2607,2773,1800,1688,1323,1861,2289,,
YDR247W,-1,-1,-1,2.234781835,2.288061039,3476,906,2336,1801,3735,4864,5342,4096,,
YMR193W,-1,-1,1,5.014531465,3.951428356,571,188,1255,1802,4472,15,125,783,,
YBR098W,-1,-1,-1,2.059734025,1.95569561,3726,4615,2309,1803,3418,4193,5562,4845,,
YBR070C,-1,-1,-1,4.300765017,4.132249042,1156,4648,1619,1804,2869,2471,3373,5506,,
YNR060W,-1,-1,-1,1.394181356,0.96686658,4619,2859,1981,1805,3944,5033,3724,3675,,
YML036W,-1,-1,-1,2.370494909,2.05766035,3261,3130,2342,1806,1665,1673,2101,4021,,
YOR257W,-1,-1,-1,4.450334583,4.426199734,1013,2486,1214,1807,667,1319,2244,5232,,
YML131W,-1,0,-1,5.855256701,5.987562547,215,1374,1393,1808,775,3769,4479,3011,,
YIL053W,-1,-1,-1,4.838850065,3.856085291,681,1364,1022,1809,844,4692,5232,4520,,
YGL004C,-1,-1,-1,3.345760016,2.344438597,2012,930,1897,1810,828,1235,3024,2595,,
YDL229W,-1,-1,-1,1.236955323,0.529869931,4793,3850,2890,1811,3868,5510,5570,5749,,
YCR023C,-1,0,-1,4.514557283,4.265334075,938,4903,1644,1812,5151,1132,1726,3637,,
YKL048C,-1,-1,-1,2.478938473,1.859479964,3104,3402,2977,1813,3076,1661,1064,948,,
YBL039C,-1,-1,-1,1.448887629,-0.035263188,4571,5358,2230,1814,1681,5167,5770,5420,,
YLR185W,0,-1,-1,6.766125346,6.713184344,77,1700,2107,1815,2237,4572,4297,2065,,
YOR328W,0,-1,-1,2.447206373,2.580705452,3158,2882,2526,1816,2753,3165,4268,3967,,
YGL171W,-1,-1,-1,6.715371779,4.623577991,80,4694,1835,1817,204,5020,5747,5718,,
YJL031C,0,0,-1,2.80395253,1.983949952,2593,2482,1578,1818,563,901,2013,4020,,
YBR172C,0,0,-1,1.934069476,1.101963628,3959,3681,2541,1819,876,2612,934,705,,
YGR041W,-1,-1,-1,2.373763907,2.241990701,3255,3510,714,1820,2657,3339,2787,2178,,
YKL191W,-1,-1,-1,4.403754194,3.168832009,1048,2112,1483,1821,1109,4246,4186,2390,,
YPL079W,0,-1,-1,7.066565249,6.063818261,53,3520,2685,1822,1572,4779,3970,5596,,
YER103W,-1,-1,-1,1.628618468,0.329639661,4336,1934,2377,1823,933,3755,1273,1310,,
YLR034C,-1,-1,-1,1.107268415,0.74047685,4907,3734,3686,1824,3657,2005,4640,5177,,
YMR175W,-1,0,-1,1.46769186,0.879363428,4550,3333,1945,1825,2647,5361,3463,1907,,
YGR216C,-1,-1,-1,1.756410079,0.931735102,4187,4338,2360,1826,1680,865,1878,1963,,
YGR172C,0,0,-1,2.541745021,1.641502219,3002,3748,1827,1827,2928,1193,1312,1515,,
YHR113W,0,0,-1,4.151553136,2.481659643,1290,527,1425,1828,159,643,2016,2406,,
YBR287W,0,0,-1,5.139210036,5.198501593,506,2771,1122,1829,4551,3498,4088,4173,,
YGL003C,-1,-1,-1,3.09493768,2.429083113,2249,1454,1963,1830,2885,2705,872,1160,,
YOR166C,0,-1,-1,2.78334435,2.097105533,2628,909,2303,1831,5244,2027,1557,1480,,
YHL002W,0,-1,-1,2.165385372,0.663108286,3577,2240,2529,1832,1051,1934,1710,1323,,
YLL018C-A,1,1,1,2.928745712,2.98768436,2429,4732,2362,1833,4406,5594,1429,619,,
YMR073C,0,0,-1,1.550206011,1.198283001,4458,134,3034,1834,1614,413,713,1185,,
YHR101C,0,0,-1,0.652858515,0.515493839,5134,4563,3751,1835,3602,2637,2319,3209,,
YGR061C,0,0,-1,3.826122281,3.040197714,1591,1740,1685,1836,3375,4767,5701,4974,,
YGR067C,0,-1,-1,1.744265869,1.623642666,4203,2368,2086,1837,4314,4330,4992,3296,,
YCL051W,-1,-1,-1,2.553643108,1.867594093,2976,883,1921,1838,719,2756,2962,3521,,
YDR438W,0,0,1,1.848325131,1.316848156,4083,2003,2647,1839,4840,3863,3807,3127,,
YPR105C,0,0,-1,1.527720093,0.947316383,4489,3742,2268,1840,2212,537,1095,1321,,
YNL030W,-1,-1,-1,3.206760969,2.144854607,2156,1064,2750,1841,500,2626,1395,5543,,
YDR151C,-1,-1,-1,1.200965322,0.725293657,4829,2718,2281,1842,3288,3625,2313,1214,,
